"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","rt_ref","rt_paired","ref_cat_num","paired_cat_num","ref_cat","paired_cat","text_Gabbro","text_Diorite","time_obs","time_resp","text_Basalt","text_Pumice","text_Pegmatite","text_Andesite","time_fb1","time_fb2","text_Peridotite"
"","","","","","","","","","","","html-button-response","397","2.0.0","3660426","5c65feca0d7f5f00014b853d","4","26","1200","","","","","","","","","<img src= rock_img/I_Pegmatite_13.jpg style=""width:8cm; height:4.95cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is pegmatite</strong></p>","0","corr_feedback","3","train","12","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","399","2.0.0","3662138","5c65feca0d7f5f00014b853d","4","26","1710","","","","","","","","","","0","start_train","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","400","2.0.0","3668120","5c65feca0d7f5f00014b853d","4","26","","","","","","","","","","","","cat_selection","3","train","1","","","","","","","4754.60000000149","1225.3999999985099","4","1","Gabbro","Andesite","","","","","","","","","","",""
"","","","","","","","","","","","paired-cat-display","401","1.0.0","3708792","5c65feca0d7f5f00014b853d","4","26","","","","","","","","","","","","paired_cat_display","3","train","1","","","","","","","","","","","","","Defined surface, Patterns in the composite material","","6332.79999999702","34336.70000000298","","","","Patterns in the composite material","","",""
"","","","","","","","","","","","html-button-response","402","2.0.0","3717036","5c65feca0d7f5f00014b853d","4","26","","","","","","","","","","","","cat_selection","3","train","2","","","","","","","7141.0999999940395","1102","6","7","Pegmatite","Peridotite","","","","","","","","","","",""
"","","","","","","","","","","","paired-cat-display","403","1.0.0","3788439","5c65feca0d7f5f00014b853d","4","26","","","","","","","","","","","","paired_cat_display","3","train","2","","","","","","","","","","","","","","","5914.69999999553","65486","","","Stratification of the composite material, Patterns in the composite material","","","","Defined surface, Patterns in the composite material"
"","","","","","","","","","","","html-button-response","404","2.0.0","3794642","5c65feca0d7f5f00014b853d","4","26","","","","","","","","","","","","cat_selection","3","train","3","","","","","","","4315.60000000149","1886.2999999970198","4","3","Gabbro","Diorite","","","","","","","","","","",""
"","","","","","","","","","","","paired-cat-display","405","1.0.0","3844908","5c65feca0d7f5f00014b853d","4","26","","","","","","","","","","","","paired_cat_display","3","train","3","","","","","","","","","","","","","Refined composite material, Patterns in the composite material","Repeating patterns in the composite material","6172.60000000149","44090.30000000447","","","","","","",""
"","","","","","","","","","","","html-button-response","407","2.0.0","3847301","5c65feca0d7f5f00014b853d","4","26","2392","","","","","","","","","","0","start_test","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","408","2.0.0","3866212","5c65feca0d7f5f00014b853d","4","26","18910","","","","","","","","","<img src= ""rock_img/I_Gabbro_03.jpg"" style=""width:8cm; height:8.52cm;""><p>What type of rock is this?</p>","0","class_response","3","test","1","Andesite","Gabbro","03","false","1","4","","","","","","","","","","","","","","","","",""
