"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","rt_ref","rt_paired","ref_cat_num","paired_cat_num","ref_cat","paired_cat","text_Diorite","text_Pumice","time_obs","time_resp"
"","","","","","","","","","","","html-keyboard-response","10","2.0.0","163284","66e4bf7868bc6f68b6154b91","4","19","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","2","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","11","2.0.0","165100","66e4bf7868bc6f68b6154b91","4","19","1790","","","","","","","","","<img src= ""rock_img/I_Peridotite_05.jpg"" style=""width:8cm; height:7.1499999999999995cm;""><p>What type of rock is this?</p>","1","class_response","0","test","3","Basalt","Peridotite","05","false","2","7","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","12","2.0.0","165608","66e4bf7868bc6f68b6154b91","4","19","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","3","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","13","2.0.0","167295","66e4bf7868bc6f68b6154b91","4","19","1676","","","","","","","","","<img src= ""rock_img/I_Basalt_04.jpg"" style=""width:8cm; height:7.53cm;""><p>What type of rock is this?</p>","6","class_response","0","test","4","Peridotite","Basalt","04","false","7","2","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","14","2.0.0","167799","66e4bf7868bc6f68b6154b91","4","19","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","4","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","15","2.0.0","170554","66e4bf7868bc6f68b6154b91","4","19","2744","","","","","","","","","<img src= ""rock_img/I_Andesite_14.jpg"" style=""width:8cm; height:5.449999999999999cm;""><p>What type of rock is this?</p>","5","class_response","0","test","5","Pegmatite","Andesite","14","false","6","1","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","16","2.0.0","171058","66e4bf7868bc6f68b6154b91","4","19","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","5","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","17","2.0.0","174502","66e4bf7868bc6f68b6154b91","4","19","3435","","","","","","","","","<img src= ""rock_img/I_Andesite_11.jpg"" style=""width:8cm; height:4.92cm;""><p>What type of rock is this?</p>","2","class_response","0","test","6","Diorite","Andesite","11","false","3","1","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","18","2.0.0","175006","66e4bf7868bc6f68b6154b91","4","19","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","6","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","19","2.0.0","179594","66e4bf7868bc6f68b6154b91","4","19","4576","","","","","","","","","<img src= ""rock_img/I_Gabbro_10.jpg"" style=""width:8cm; height:5.680000000000001cm;""><p>What type of rock is this?</p>","3","class_response","0","test","7","Gabbro","Gabbro","10","true","4","4","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","20","2.0.0","180098","66e4bf7868bc6f68b6154b91","4","19","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","7","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","21","2.0.0","204327","66e4bf7868bc6f68b6154b91","4","19","24218","","","","","","","","","<img src= ""rock_img/I_Obsidian_08.jpg"" style=""width:8cm; height:7.39cm;""><p>What type of rock is this?</p>","6","class_response","0","test","8","Peridotite","Obsidian","08","false","7","5","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","22","2.0.0","204831","66e4bf7868bc6f68b6154b91","4","19","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","8","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","23","2.0.0","287719","66e4bf7868bc6f68b6154b91","4","19","82877","","","","","","","","","<img src= ""rock_img/I_Pegmatite_10.jpg"" style=""width:8cm; height:4.16cm;""><p>What type of rock is this?</p>","4","class_response","0","test","9","Obsidian","Pegmatite","10","false","5","6","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","24","2.0.0","288223","66e4bf7868bc6f68b6154b91","4","19","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","9","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","25","2.0.0","288806","66e4bf7868bc6f68b6154b91","4","19","575","","","","","","","","","<img src= ""rock_img/I_Andesite_02.jpg"" style=""width:8cm; height:8.5cm;""><p>What type of rock is this?</p>","5","class_response","0","test","10","Pegmatite","Andesite","02","false","6","1","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","26","2.0.0","289311","66e4bf7868bc6f68b6154b91","4","19","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","10","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","27","2.0.0","290001","66e4bf7868bc6f68b6154b91","4","19","678","","","","","","","","","<img src= ""rock_img/I_Pumice_09.jpg"" style=""width:8cm; height:6.44cm;""><p>What type of rock is this?</p>","5","class_response","0","test","11","Pegmatite","Pumice","09","false","6","8","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","28","2.0.0","290504","66e4bf7868bc6f68b6154b91","4","19","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","11","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","29","2.0.0","294362","66e4bf7868bc6f68b6154b91","4","19","3847","","","","","","","","","<img src= ""rock_img/I_Pegmatite_03.jpg"" style=""width:8cm; height:5.239999999999999cm;""><p>What type of rock is this?</p>","7","class_response","0","test","12","Pumice","Pegmatite","03","false","8","6","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","30","2.0.0","294865","66e4bf7868bc6f68b6154b91","4","19","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","12","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","31","2.0.0","296921","66e4bf7868bc6f68b6154b91","4","19","2046","","","","","","","","","<img src= ""rock_img/I_Peridotite_08.jpg"" style=""width:8cm; height:6.7cm;""><p>What type of rock is this?</p>","6","class_response","0","test","13","Peridotite","Peridotite","08","true","7","7","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","32","2.0.0","297426","66e4bf7868bc6f68b6154b91","4","19","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","13","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","33","2.0.0","304605","66e4bf7868bc6f68b6154b91","4","19","7169","","","","","","","","","<img src= ""rock_img/I_Peridotite_06.jpg"" style=""width:8cm; height:7.53cm;""><p>What type of rock is this?</p>","1","class_response","0","test","14","Basalt","Peridotite","06","false","2","7","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","34","2.0.0","305107","66e4bf7868bc6f68b6154b91","4","19","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","14","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","35","2.0.0","305902","66e4bf7868bc6f68b6154b91","4","19","790","","","","","","","","","<img src= ""rock_img/I_Diorite_12.jpg"" style=""width:8cm; height:4.88cm;""><p>What type of rock is this?</p>","5","class_response","0","test","15","Pegmatite","Diorite","12","false","6","3","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","36","2.0.0","306406","66e4bf7868bc6f68b6154b91","4","19","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","15","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","37","2.0.0","309074","66e4bf7868bc6f68b6154b91","4","19","2658","","","","","","","","","<img src= ""rock_img/I_Obsidian_11.jpg"" style=""width:8cm; height:6.05cm;""><p>What type of rock is this?</p>","3","class_response","0","test","16","Gabbro","Obsidian","11","false","4","5","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","38","2.0.0","309578","66e4bf7868bc6f68b6154b91","4","19","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","16","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","39","2.0.0","311797","66e4bf7868bc6f68b6154b91","4","19","2208","","","","","","","","","<img src= ""rock_img/I_Obsidian_16.jpg"" style=""width:8cm; height:9.3cm;""><p>What type of rock is this?</p>","3","class_response","0","test","17","Gabbro","Obsidian","16","false","4","5","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","40","2.0.0","312300","66e4bf7868bc6f68b6154b91","4","19","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","17","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","41","2.0.0","316140","66e4bf7868bc6f68b6154b91","4","19","3835","","","","","","","","","<img src= ""rock_img/I_Diorite_09.jpg"" style=""width:8cm; height:5.27cm;""><p>What type of rock is this?</p>","3","class_response","0","test","18","Gabbro","Diorite","09","false","4","3","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","42","2.0.0","316644","66e4bf7868bc6f68b6154b91","4","19","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","18","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","43","2.0.0","323571","66e4bf7868bc6f68b6154b91","4","19","6915","","","","","","","","","<img src= ""rock_img/I_Pumice_13.jpg"" style=""width:8cm; height:8.200000000000001cm;""><p>What type of rock is this?</p>","1","class_response","0","test","19","Basalt","Pumice","13","false","2","8","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","44","2.0.0","324075","66e4bf7868bc6f68b6154b91","4","19","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","19","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","45","2.0.0","326995","66e4bf7868bc6f68b6154b91","4","19","2910","","","","","","","","","<img src= ""rock_img/I_Gabbro_03.jpg"" style=""width:8cm; height:8.52cm;""><p>What type of rock is this?</p>","0","class_response","0","test","20","Andesite","Gabbro","03","false","1","4","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","46","2.0.0","327499","66e4bf7868bc6f68b6154b91","4","19","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","20","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","47","2.0.0","331267","66e4bf7868bc6f68b6154b91","4","19","3758","","","","","","","","","<img src= ""rock_img/I_Andesite_04.jpg"" style=""width:8cm; height:5.96cm;""><p>What type of rock is this?</p>","3","class_response","0","test","21","Gabbro","Andesite","04","false","4","1","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","48","2.0.0","331771","66e4bf7868bc6f68b6154b91","4","19","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","21","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","49","2.0.0","332897","66e4bf7868bc6f68b6154b91","4","19","1117","","","","","","","","","<img src= ""rock_img/I_Basalt_06.jpg"" style=""width:8cm; height:7.06cm;""><p>What type of rock is this?</p>","0","class_response","0","test","22","Andesite","Basalt","06","false","1","2","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","50","2.0.0","333401","66e4bf7868bc6f68b6154b91","4","19","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","22","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","51","2.0.0","333907","66e4bf7868bc6f68b6154b91","4","19","494","","","","","","","","","<img src= ""rock_img/I_Andesite_07.jpg"" style=""width:8cm; height:5.93cm;""><p>What type of rock is this?</p>","5","class_response","0","test","23","Pegmatite","Andesite","07","false","6","1","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","52","2.0.0","334411","66e4bf7868bc6f68b6154b91","4","19","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","23","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","53","2.0.0","334872","66e4bf7868bc6f68b6154b91","4","19","450","","","","","","","","","<img src= ""rock_img/I_Basalt_14.jpg"" style=""width:8cm; height:5.82cm;""><p>What type of rock is this?</p>","1","class_response","0","test","24","Basalt","Basalt","14","true","2","2","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","54","2.0.0","335376","66e4bf7868bc6f68b6154b91","4","19","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","24","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","55","2.0.0","336890","66e4bf7868bc6f68b6154b91","4","19","1510","","","","","","","","","<img src= ""rock_img/I_Pumice_02.jpg"" style=""width:8cm; height:7.3999999999999995cm;""><p>What type of rock is this?</p>","7","class_response","0","test","25","Pumice","Pumice","02","true","8","8","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","56","2.0.0","337393","66e4bf7868bc6f68b6154b91","4","19","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","25","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","57","2.0.0","340306","66e4bf7868bc6f68b6154b91","4","19","2902","","","","","","","","","<img src= ""rock_img/I_Basalt_10.jpg"" style=""width:8cm; height:5.85cm;""><p>What type of rock is this?</p>","2","class_response","0","test","26","Diorite","Basalt","10","false","3","2","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","58","2.0.0","340809","66e4bf7868bc6f68b6154b91","4","19","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","26","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","59","2.0.0","341725","66e4bf7868bc6f68b6154b91","4","19","904","","","","","","","","","<img src= ""rock_img/I_Peridotite_16.jpg"" style=""width:8cm; height:6.989999999999999cm;""><p>What type of rock is this?</p>","1","class_response","0","test","27","Basalt","Peridotite","16","false","2","7","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","60","2.0.0","342228","66e4bf7868bc6f68b6154b91","4","19","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","27","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","61","2.0.0","343001","66e4bf7868bc6f68b6154b91","4","19","763","","","","","","","","","<img src= ""rock_img/I_Gabbro_01.jpg"" style=""width:8cm; height:5.21cm;""><p>What type of rock is this?</p>","1","class_response","0","test","28","Basalt","Gabbro","01","false","2","4","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","62","2.0.0","343504","66e4bf7868bc6f68b6154b91","4","19","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","28","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","63","2.0.0","344832","66e4bf7868bc6f68b6154b91","4","19","1318","","","","","","","","","<img src= ""rock_img/I_Gabbro_14.jpg"" style=""width:8cm; height:8.48cm;""><p>What type of rock is this?</p>","1","class_response","0","test","29","Basalt","Gabbro","14","false","2","4","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","64","2.0.0","345336","66e4bf7868bc6f68b6154b91","4","19","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","29","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","65","2.0.0","346128","66e4bf7868bc6f68b6154b91","4","19","782","","","","","","","","","<img src= ""rock_img/I_Peridotite_12.jpg"" style=""width:8cm; height:4.54cm;""><p>What type of rock is this?</p>","5","class_response","0","test","30","Pegmatite","Peridotite","12","false","6","7","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","66","2.0.0","346633","66e4bf7868bc6f68b6154b91","4","19","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","30","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","67","2.0.0","355694","66e4bf7868bc6f68b6154b91","4","19","9053","","","","","","","","","<img src= ""rock_img/I_Diorite_10.jpg"" style=""width:8cm; height:5.949999999999999cm;""><p>What type of rock is this?</p>","0","class_response","0","test","31","Andesite","Diorite","10","false","1","3","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","68","2.0.0","356198","66e4bf7868bc6f68b6154b91","4","19","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","31","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","69","2.0.0","356962","66e4bf7868bc6f68b6154b91","4","19","754","","","","","","","","","<img src= ""rock_img/I_Pumice_08.jpg"" style=""width:8cm; height:6.67cm;""><p>What type of rock is this?</p>","0","class_response","0","test","32","Andesite","Pumice","08","false","1","8","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","70","2.0.0","357467","66e4bf7868bc6f68b6154b91","4","19","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","32","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","71","2.0.0","357976","66e4bf7868bc6f68b6154b91","4","19","498","","","","","","","","","<img src= ""rock_img/I_Diorite_16.jpg"" style=""width:8cm; height:6.74cm;""><p>What type of rock is this?</p>","5","class_response","0","test","33","Pegmatite","Diorite","16","false","6","3","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","72","2.0.0","358480","66e4bf7868bc6f68b6154b91","4","19","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","33","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","73","2.0.0","359273","66e4bf7868bc6f68b6154b91","4","19","784","","","","","","","","","<img src= ""rock_img/I_Obsidian_06.jpg"" style=""width:8cm; height:6.8cm;""><p>What type of rock is this?</p>","1","class_response","0","test","34","Basalt","Obsidian","06","false","2","5","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","74","2.0.0","359777","66e4bf7868bc6f68b6154b91","4","19","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","34","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","75","2.0.0","360500","66e4bf7868bc6f68b6154b91","4","19","713","","","","","","","","","<img src= ""rock_img/I_Basalt_01.jpg"" style=""width:8cm; height:7.880000000000001cm;""><p>What type of rock is this?</p>","1","class_response","0","test","35","Basalt","Basalt","01","true","2","2","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","76","2.0.0","361004","66e4bf7868bc6f68b6154b91","4","19","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","35","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","77","2.0.0","361481","66e4bf7868bc6f68b6154b91","4","19","467","","","","","","","","","<img src= ""rock_img/I_Diorite_13.jpg"" style=""width:8cm; height:6.29cm;""><p>What type of rock is this?</p>","5","class_response","0","test","36","Pegmatite","Diorite","13","false","6","3","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","78","2.0.0","361983","66e4bf7868bc6f68b6154b91","4","19","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","36","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","79","2.0.0","362601","66e4bf7868bc6f68b6154b91","4","19","614","","","","","","","","","<img src= ""rock_img/I_Gabbro_09.jpg"" style=""width:8cm; height:7.279999999999999cm;""><p>What type of rock is this?</p>","2","class_response","0","test","37","Diorite","Gabbro","09","false","3","4","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","80","2.0.0","363104","66e4bf7868bc6f68b6154b91","4","19","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","37","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","81","2.0.0","363658","66e4bf7868bc6f68b6154b91","4","19","543","","","","","","","","","<img src= ""rock_img/I_Pegmatite_05.jpg"" style=""width:8cm; height:7.300000000000001cm;""><p>What type of rock is this?</p>","4","class_response","0","test","38","Obsidian","Pegmatite","05","false","5","6","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","82","2.0.0","364162","66e4bf7868bc6f68b6154b91","4","19","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","38","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","83","2.0.0","364690","66e4bf7868bc6f68b6154b91","4","19","519","","","","","","","","","<img src= ""rock_img/I_Peridotite_07.jpg"" style=""width:8cm; height:4.83cm;""><p>What type of rock is this?</p>","5","class_response","0","test","39","Pegmatite","Peridotite","07","false","6","7","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","84","2.0.0","365194","66e4bf7868bc6f68b6154b91","4","19","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","39","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","85","2.0.0","365841","66e4bf7868bc6f68b6154b91","4","19","636","","","","","","","","","<img src= ""rock_img/I_Diorite_08.jpg"" style=""width:8cm; height:6.37cm;""><p>What type of rock is this?</p>","0","class_response","0","test","40","Andesite","Diorite","08","false","1","3","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","86","2.0.0","366344","66e4bf7868bc6f68b6154b91","4","19","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","40","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","87","2.0.0","367040","66e4bf7868bc6f68b6154b91","4","19","690","","","","","","","","","<img src= ""rock_img/I_Pumice_15.jpg"" style=""width:8cm; height:7.86cm;""><p>What type of rock is this?</p>","5","class_response","0","test","41","Pegmatite","Pumice","15","false","6","8","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","88","2.0.0","367544","66e4bf7868bc6f68b6154b91","4","19","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","41","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","89","2.0.0","368021","66e4bf7868bc6f68b6154b91","4","19","469","","","","","","","","","<img src= ""rock_img/I_Gabbro_13.jpg"" style=""width:8cm; height:5.08cm;""><p>What type of rock is this?</p>","5","class_response","0","test","42","Pegmatite","Gabbro","13","false","6","4","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","90","2.0.0","368525","66e4bf7868bc6f68b6154b91","4","19","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","42","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","91","2.0.0","369245","66e4bf7868bc6f68b6154b91","4","19","711","","","","","","","","","<img src= ""rock_img/I_Pegmatite_08.jpg"" style=""width:8cm; height:7.68cm;""><p>What type of rock is this?</p>","2","class_response","0","test","43","Diorite","Pegmatite","08","false","3","6","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","92","2.0.0","369749","66e4bf7868bc6f68b6154b91","4","19","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","43","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","93","2.0.0","370345","66e4bf7868bc6f68b6154b91","4","19","585","","","","","","","","","<img src= ""rock_img/I_Obsidian_07.jpg"" style=""width:8cm; height:4.76cm;""><p>What type of rock is this?</p>","1","class_response","0","test","44","Basalt","Obsidian","07","false","2","5","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","94","2.0.0","370849","66e4bf7868bc6f68b6154b91","4","19","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","44","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","95","2.0.0","371753","66e4bf7868bc6f68b6154b91","4","19","894","","","","","","","","","<img src= ""rock_img/I_Pegmatite_15.jpg"" style=""width:8cm; height:6cm;""><p>What type of rock is this?</p>","0","class_response","0","test","45","Andesite","Pegmatite","15","false","1","6","","","","","","","","","",""
