"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","rt_ref","rt_paired","ref_cat_num","paired_cat_num","ref_cat","paired_cat"
"","","","","","","","","","","","html-keyboard-response","36","2.0.0","649748","6732593eff011c52764cee0f","4","12","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","15","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","37","2.0.0","652530","6732593eff011c52764cee0f","4","12","2770","","","","","","","","","<img src= ""rock_img/I_Andesite_07.jpg"" style=""width:8cm; height:5.93cm;""><p>What type of rock is this?</p>","2","class_response","0","test","16","Diorite","Andesite","07","false","3","1","","","","","",""
"","","","","","","","","","","","html-keyboard-response","38","2.0.0","653046","6732593eff011c52764cee0f","4","12","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","16","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","39","2.0.0","702427","6732593eff011c52764cee0f","4","12","49374","","","","","","","","","<img src= ""rock_img/I_Gabbro_01.jpg"" style=""width:8cm; height:5.21cm;""><p>What type of rock is this?</p>","2","class_response","0","test","17","Diorite","Gabbro","01","false","3","4","","","","","",""
"","","","","","","","","","","","html-keyboard-response","40","2.0.0","702931","6732593eff011c52764cee0f","4","12","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","17","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","41","2.0.0","709691","6732593eff011c52764cee0f","4","12","6741","","","","","","","","","<img src= ""rock_img/I_Pegmatite_10.jpg"" style=""width:8cm; height:4.16cm;""><p>What type of rock is this?</p>","0","class_response","0","test","18","Andesite","Pegmatite","10","false","1","6","","","","","",""
"","","","","","","","","","","","html-keyboard-response","42","2.0.0","710204","6732593eff011c52764cee0f","4","12","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","18","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","43","2.0.0","716206","6732593eff011c52764cee0f","4","12","5988","","","","","","","","","<img src= ""rock_img/I_Peridotite_12.jpg"" style=""width:8cm; height:4.54cm;""><p>What type of rock is this?</p>","2","class_response","0","test","19","Diorite","Peridotite","12","false","3","7","","","","","",""
"","","","","","","","","","","","html-keyboard-response","44","2.0.0","716714","6732593eff011c52764cee0f","4","12","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","19","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","45","2.0.0","740271","6732593eff011c52764cee0f","4","12","23547","","","","","","","","","<img src= ""rock_img/I_Diorite_08.jpg"" style=""width:8cm; height:6.37cm;""><p>What type of rock is this?</p>","5","class_response","0","test","20","Pegmatite","Diorite","08","false","6","3","","","","","",""
"","","","","","","","","","","","html-keyboard-response","46","2.0.0","740792","6732593eff011c52764cee0f","4","12","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","20","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","47","2.0.0","748908","6732593eff011c52764cee0f","4","12","8104","","","","","","","","","<img src= ""rock_img/I_Peridotite_14.jpg"" style=""width:8cm; height:5.3cm;""><p>What type of rock is this?</p>","7","class_response","0","test","21","Pumice","Peridotite","14","false","8","7","","","","","",""
