"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","rt_ref","rt_paired","ref_cat_num","paired_cat_num","ref_cat","paired_cat","text_Gabbro","text_Andesite","time_obs","time_resp"
"","","","","","","","","","","","html-button-response","21","2.0.0","90263","66d7b253c64eb18aa549d79c","4","24","1282","","","","","","","","","<img src= ""rock_img/I_Basalt_16.jpg"" style=""width:8cm; height:7.659999999999999cm;""><p>What type of rock is this?</p>","1","class_response","0","test","8","Basalt","Basalt","16","true","2","2","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","22","2.0.0","90769","66d7b253c64eb18aa549d79c","4","24","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","8","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","23","2.0.0","92162","66d7b253c64eb18aa549d79c","4","24","1391","","","","","","","","","<img src= ""rock_img/I_Pegmatite_16.jpg"" style=""width:8cm; height:5.8cm;""><p>What type of rock is this?</p>","0","class_response","0","test","9","Andesite","Pegmatite","16","false","1","6","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","24","2.0.0","92672","66d7b253c64eb18aa549d79c","4","24","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","9","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","25","2.0.0","93641","66d7b253c64eb18aa549d79c","4","24","968","","","","","","","","","<img src= ""rock_img/I_Gabbro_14.jpg"" style=""width:8cm; height:8.48cm;""><p>What type of rock is this?</p>","1","class_response","0","test","10","Basalt","Gabbro","14","false","2","4","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","26","2.0.0","94152","66d7b253c64eb18aa549d79c","4","24","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","10","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","27","2.0.0","95374","66d7b253c64eb18aa549d79c","4","24","1220","","","","","","","","","<img src= ""rock_img/I_Peridotite_15.jpg"" style=""width:8cm; height:6cm;""><p>What type of rock is this?</p>","5","class_response","0","test","11","Pegmatite","Peridotite","15","false","6","7","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","28","2.0.0","95875","66d7b253c64eb18aa549d79c","4","24","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","11","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","29","2.0.0","97102","66d7b253c64eb18aa549d79c","4","24","1227","","","","","","","","","<img src= ""rock_img/I_Diorite_02.jpg"" style=""width:8cm; height:6.27cm;""><p>What type of rock is this?</p>","6","class_response","0","test","12","Peridotite","Diorite","02","false","7","3","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","30","2.0.0","97608","66d7b253c64eb18aa549d79c","4","24","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","12","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","31","2.0.0","98873","66d7b253c64eb18aa549d79c","4","24","1264","","","","","","","","","<img src= ""rock_img/I_Peridotite_07.jpg"" style=""width:8cm; height:4.83cm;""><p>What type of rock is this?</p>","2","class_response","0","test","13","Diorite","Peridotite","07","false","3","7","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","32","2.0.0","99387","66d7b253c64eb18aa549d79c","4","24","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","13","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","33","2.0.0","100423","66d7b253c64eb18aa549d79c","4","24","1034","","","","","","","","","<img src= ""rock_img/I_Peridotite_06.jpg"" style=""width:8cm; height:7.53cm;""><p>What type of rock is this?</p>","2","class_response","0","test","14","Diorite","Peridotite","06","false","3","7","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","34","2.0.0","100924","66d7b253c64eb18aa549d79c","4","24","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","14","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","35","2.0.0","102016","66d7b253c64eb18aa549d79c","4","24","1091","","","","","","","","","<img src= ""rock_img/I_Basalt_08.jpg"" style=""width:8cm; height:10.44cm;""><p>What type of rock is this?</p>","1","class_response","0","test","15","Basalt","Basalt","08","true","2","2","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","36","2.0.0","102521","66d7b253c64eb18aa549d79c","4","24","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","15","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","37","2.0.0","103402","66d7b253c64eb18aa549d79c","4","24","879","","","","","","","","","<img src= ""rock_img/I_Gabbro_01.jpg"" style=""width:8cm; height:5.21cm;""><p>What type of rock is this?</p>","5","class_response","0","test","16","Pegmatite","Gabbro","01","false","6","4","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","38","2.0.0","103903","66d7b253c64eb18aa549d79c","4","24","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","16","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","39","2.0.0","104776","66d7b253c64eb18aa549d79c","4","24","872","","","","","","","","","<img src= ""rock_img/I_Diorite_10.jpg"" style=""width:8cm; height:5.949999999999999cm;""><p>What type of rock is this?</p>","2","class_response","0","test","17","Diorite","Diorite","10","true","3","3","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","40","2.0.0","105281","66d7b253c64eb18aa549d79c","4","24","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","17","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","41","2.0.0","106315","66d7b253c64eb18aa549d79c","4","24","1033","","","","","","","","","<img src= ""rock_img/I_Andesite_11.jpg"" style=""width:8cm; height:4.92cm;""><p>What type of rock is this?</p>","6","class_response","0","test","18","Peridotite","Andesite","11","false","7","1","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","42","2.0.0","106822","66d7b253c64eb18aa549d79c","4","24","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","18","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","43","2.0.0","108452","66d7b253c64eb18aa549d79c","4","24","1629","","","","","","","","","<img src= ""rock_img/I_Basalt_10.jpg"" style=""width:8cm; height:5.85cm;""><p>What type of rock is this?</p>","5","class_response","0","test","19","Pegmatite","Basalt","10","false","6","2","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","44","2.0.0","108953","66d7b253c64eb18aa549d79c","4","24","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","19","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","45","2.0.0","110379","66d7b253c64eb18aa549d79c","4","24","1425","","","","","","","","","<img src= ""rock_img/I_Pumice_03.jpg"" style=""width:8cm; height:6.64cm;""><p>What type of rock is this?</p>","7","class_response","0","test","20","Pumice","Pumice","03","true","8","8","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","46","2.0.0","110880","66d7b253c64eb18aa549d79c","4","24","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","20","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","47","2.0.0","112013","66d7b253c64eb18aa549d79c","4","24","1132","","","","","","","","","<img src= ""rock_img/I_Andesite_07.jpg"" style=""width:8cm; height:5.93cm;""><p>What type of rock is this?</p>","0","class_response","0","test","21","Andesite","Andesite","07","true","1","1","","","","","","","","","",""
