"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num"
"","","","","","","","","","","","html-keyboard-response","52","2.0.0","103159","66fc0d1538357d2081dda6b9","3","38","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","23","","","","","",""
"","","","","","","","","","","","html-button-response","53","2.0.0","104868","66fc0d1538357d2081dda6b9","3","38","1707","","","","","","","","","<img src= ""rock_img/I_Andesite_11.jpg"" style=""width:8cm; height:4.92cm;""><p>What type of rock is this?</p>","3","class_response","0","test","24","Gabbro","Andesite","11","false","4","1"
"","","","","","","","","","","","html-keyboard-response","54","2.0.0","105381","66fc0d1538357d2081dda6b9","3","38","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","24","","","","","",""
"","","","","","","","","","","","html-button-response","55","2.0.0","106144","66fc0d1538357d2081dda6b9","3","38","760","","","","","","","","","<img src= ""rock_img/I_Andesite_09.jpg"" style=""width:8cm; height:6cm;""><p>What type of rock is this?</p>","2","class_response","0","test","25","Diorite","Andesite","09","false","3","1"
"","","","","","","","","","","","html-keyboard-response","56","2.0.0","106649","66fc0d1538357d2081dda6b9","3","38","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","25","","","","","",""
"","","","","","","","","","","","html-button-response","57","2.0.0","107568","66fc0d1538357d2081dda6b9","3","38","917","","","","","","","","","<img src= ""rock_img/I_Obsidian_09.jpg"" style=""width:8cm; height:5cm;""><p>What type of rock is this?</p>","6","class_response","0","test","26","Peridotite","Obsidian","09","false","7","5"
"","","","","","","","","","","","html-keyboard-response","58","2.0.0","108070","66fc0d1538357d2081dda6b9","3","38","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","26","","","","","",""
"","","","","","","","","","","","html-button-response","59","2.0.0","109022","66fc0d1538357d2081dda6b9","3","38","950","","","","","","","","","<img src= ""rock_img/I_Diorite_06.jpg"" style=""width:8cm; height:6.03cm;""><p>What type of rock is this?</p>","5","class_response","0","test","27","Pegmatite","Diorite","06","false","6","3"
"","","","","","","","","","","","html-keyboard-response","60","2.0.0","109527","66fc0d1538357d2081dda6b9","3","38","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","27","","","","","",""
"","","","","","","","","","","","html-button-response","61","2.0.0","110348","66fc0d1538357d2081dda6b9","3","38","819","","","","","","","","","<img src= ""rock_img/I_Peridotite_16.jpg"" style=""width:8cm; height:6.989999999999999cm;""><p>What type of rock is this?</p>","1","class_response","0","test","28","Basalt","Peridotite","16","false","2","7"
"","","","","","","","","","","","html-keyboard-response","62","2.0.0","110861","66fc0d1538357d2081dda6b9","3","38","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","28","","","","","",""
"","","","","","","","","","","","html-button-response","63","2.0.0","111831","66fc0d1538357d2081dda6b9","3","38","968","","","","","","","","","<img src= ""rock_img/I_Obsidian_06.jpg"" style=""width:8cm; height:6.8cm;""><p>What type of rock is this?</p>","0","class_response","0","test","29","Andesite","Obsidian","06","false","1","5"
"","","","","","","","","","","","html-keyboard-response","64","2.0.0","112338","66fc0d1538357d2081dda6b9","3","38","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","29","","","","","",""
"","","","","","","","","","","","html-button-response","65","2.0.0","113018","66fc0d1538357d2081dda6b9","3","38","677","","","","","","","","","<img src= ""rock_img/I_Peridotite_04.jpg"" style=""width:8cm; height:6.680000000000001cm;""><p>What type of rock is this?</p>","4","class_response","0","test","30","Obsidian","Peridotite","04","false","5","7"
"","","","","","","","","","","","html-keyboard-response","66","2.0.0","113520","66fc0d1538357d2081dda6b9","3","38","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","30","","","","","",""
"","","","","","","","","","","","html-button-response","67","2.0.0","114778","66fc0d1538357d2081dda6b9","3","38","1257","","","","","","","","","<img src= ""rock_img/I_Gabbro_05.jpg"" style=""width:8cm; height:6cm;""><p>What type of rock is this?</p>","5","class_response","0","test","31","Pegmatite","Gabbro","05","false","6","4"
"","","","","","","","","","","","html-keyboard-response","68","2.0.0","115283","66fc0d1538357d2081dda6b9","3","38","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","31","","","","","",""
"","","","","","","","","","","","html-button-response","69","2.0.0","115936","66fc0d1538357d2081dda6b9","3","38","652","","","","","","","","","<img src= ""rock_img/I_Diorite_02.jpg"" style=""width:8cm; height:6.27cm;""><p>What type of rock is this?</p>","1","class_response","0","test","32","Basalt","Diorite","02","false","2","3"
"","","","","","","","","","","","html-keyboard-response","70","2.0.0","116438","66fc0d1538357d2081dda6b9","3","38","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","32","","","","","",""
"","","","","","","","","","","","html-button-response","71","2.0.0","117766","66fc0d1538357d2081dda6b9","3","38","1326","","","","","","","","","<img src= ""rock_img/I_Pegmatite_06.jpg"" style=""width:8cm; height:5.17cm;""><p>What type of rock is this?</p>","2","class_response","0","test","33","Diorite","Pegmatite","06","false","3","6"
"","","","","","","","","","","","html-keyboard-response","72","2.0.0","118275","66fc0d1538357d2081dda6b9","3","38","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","33","","","","","",""
"","","","","","","","","","","","html-button-response","73","2.0.0","118992","66fc0d1538357d2081dda6b9","3","38","715","","","","","","","","","<img src= ""rock_img/I_Peridotite_02.jpg"" style=""width:8cm; height:5.859999999999999cm;""><p>What type of rock is this?</p>","1","class_response","0","test","34","Basalt","Peridotite","02","false","2","7"
"","","","","","","","","","","","html-keyboard-response","74","2.0.0","119501","66fc0d1538357d2081dda6b9","3","38","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","34","","","","","",""
"","","","","","","","","","","","html-button-response","75","2.0.0","120401","66fc0d1538357d2081dda6b9","3","38","898","","","","","","","","","<img src= ""rock_img/I_Obsidian_16.jpg"" style=""width:8cm; height:9.3cm;""><p>What type of rock is this?</p>","1","class_response","0","test","35","Basalt","Obsidian","16","false","2","5"
"","","","","","","","","","","","html-keyboard-response","76","2.0.0","120909","66fc0d1538357d2081dda6b9","3","38","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","35","","","","","",""
"","","","","","","","","","","","html-button-response","77","2.0.0","121999","66fc0d1538357d2081dda6b9","3","38","1088","","","","","","","","","<img src= ""rock_img/I_Pegmatite_13.jpg"" style=""width:8cm; height:4.95cm;""><p>What type of rock is this?</p>","5","class_response","0","test","36","Pegmatite","Pegmatite","13","true","6","6"
"","","","","","","","","","","","html-keyboard-response","78","2.0.0","122500","66fc0d1538357d2081dda6b9","3","38","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","36","","","","","",""
"","","","","","","","","","","","html-button-response","79","2.0.0","123275","66fc0d1538357d2081dda6b9","3","38","773","","","","","","","","","<img src= ""rock_img/I_Peridotite_10.jpg"" style=""width:8cm; height:5.390000000000001cm;""><p>What type of rock is this?</p>","2","class_response","0","test","37","Diorite","Peridotite","10","false","3","7"
"","","","","","","","","","","","html-keyboard-response","80","2.0.0","123790","66fc0d1538357d2081dda6b9","3","38","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","37","","","","","",""
