"rt","url","trial_type","trial_index","plugin_version","time_elapsed","subject","condition","success","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","value","ref_cat_num","paired_cat_num","time_obs","ref_cat","paired_cat","ref_prob_dist","paired_prob_dist","text_Pegmatite","text_Diorite","time_resp","text_Gabbro","time_fb1","time_fb2","text_Obsidian","text_Basalt","text_Peridotite"
"926","","html-button-response","49","2.0.0","89912","test","3","","","","","","","<img src= ""rock_img/I_Peridotite_14.jpg"" style=""width:8cm; height:5.3cm;""><p>What type of rock is this?</p>","6","class_response","0","test","24","Peridotite","Peridotite","14","true","7","7","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","50","2.0.0","90414","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","24","","","","","","","","","","","","","","","","","","","","","","",""
"2265","","html-button-response","51","2.0.0","92682","test","3","","","","","","","<img src= ""rock_img/I_Gabbro_12.jpg"" style=""width:8cm; height:7.800000000000001cm;""><p>What type of rock is this?</p>","1","class_response","0","test","25","Basalt","Gabbro","12","false","2","4","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","52","2.0.0","93184","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","25","","","","","","","","","","","","","","","","","","","","","","",""
"","","call-function","53","2.0.0","93208","test","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15481","","instructions","54","2.0.0","108689","test","3","","","","","","[{""page_index"":0,""viewing_time"":12490},{""page_index"":1,""viewing_time"":2990}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1799","","html-button-response","55","2.0.0","110491","test","3","","","","","","","","0","start_train","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1515","","html-button-response","56","2.0.0","112009","test","3","","","","","","","<img src= ""rock_img/I_Gabbro_16.jpg"" style=""width:8cm; height:6.44cm;""><p>What type of rock is this?</p>","1","class_response","1","train","2","Basalt","Gabbro","16","false","2","4","","","","","","","","","","","","","","","","",""
"1693","","html-button-response","57","2.0.0","113705","test","3","","","","","","","<img src= rock_img/I_Gabbro_16.jpg style=""width:8cm; height:6.44cm;""><p style='font-size: 30px; color: red;'><strong>Incorrect!</strong></p><p style='font-size: 30px;'><strong>This rock is gabbro</strong></p>","0","corr_feedback","1","train","2","","","","","","","","","","","","","","","","","","","","","","",""
"3151","","html-button-response","58","2.0.0","116859","test","3","","","","","","","<img src= ""rock_img/I_Pumice_05.jpg"" style=""width:8cm; height:7.25cm;""><p>What type of rock is this?</p>","7","class_response","1","train","3","Pumice","Pumice","05","true","8","8","","","","","","","","","","","","","","","","",""
"979","","html-button-response","59","2.0.0","117840","test","3","","","","","","","<img src= rock_img/I_Pumice_05.jpg style=""width:8cm; height:7.25cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is pumice</strong></p>","0","corr_feedback","1","train","3","","","","","","","","","","","","","","","","","","","","","","",""
"1369","","html-button-response","60","2.0.0","119211","test","3","","","","","","","<img src= ""rock_img/I_Pegmatite_06.jpg"" style=""width:8cm; height:5.17cm;""><p>What type of rock is this?</p>","4","class_response","1","train","4","Obsidian","Pegmatite","06","false","5","6","","","","","","","","","","","","","","","","",""
"1451","","html-button-response","61","2.0.0","120665","test","3","","","","","","","<img src= rock_img/I_Pegmatite_06.jpg style=""width:8cm; height:5.17cm;""><p style='font-size: 30px; color: red;'><strong>Incorrect!</strong></p><p style='font-size: 30px;'><strong>This rock is pegmatite</strong></p>","0","corr_feedback","1","train","4","","","","","","","","","","","","","","","","","","","","","","",""
"2578","","html-button-response","62","2.0.0","123244","test","3","","","","","","","<img src= ""rock_img/I_Diorite_14.jpg"" style=""width:8cm; height:5.71cm;""><p>What type of rock is this?</p>","0","class_response","1","train","5","Andesite","Diorite","14","false","1","3","","","","","","","","","","","","","","","","",""
"996","","html-button-response","63","2.0.0","124241","test","3","","","","","","","<img src= rock_img/I_Diorite_14.jpg style=""width:8cm; height:5.71cm;""><p style='font-size: 30px; color: red;'><strong>Incorrect!</strong></p><p style='font-size: 30px;'><strong>This rock is diorite</strong></p>","0","corr_feedback","1","train","5","","","","","","","","","","","","","","","","","","","","","","",""
"2304","","html-button-response","64","2.0.0","126547","test","3","","","","","","","<img src= ""rock_img/I_Andesite_04.jpg"" style=""width:8cm; height:5.96cm;""><p>What type of rock is this?</p>","0","class_response","1","train","6","Andesite","Andesite","04","true","1","1","","","","","","","","","","","","","","","","",""
