"rt","url","trial_type","trial_index","plugin_version","time_elapsed","subject","condition","success","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","value","ref_cat_num","paired_cat_num","time_obs","ref_cat","paired_cat","ref_prob_dist","paired_prob_dist","text_Pegmatite","text_Diorite","time_resp","text_Gabbro","time_fb1","time_fb2","text_Obsidian","text_Basalt","text_Peridotite"
"null","","html-keyboard-response","200","2.0.0","549535","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","2","test","15","","","","","","","","","","","","","","","","","","","","","","",""
"2057","","html-button-response","201","2.0.0","551594","test","3","","","","","","","<img src= ""rock_img/I_Gabbro_10.jpg"" style=""width:8cm; height:5.680000000000001cm;""><p>What type of rock is this?</p>","3","class_response","2","test","16","Gabbro","Gabbro","10","true","4","4","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","202","2.0.0","552096","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","2","test","16","","","","","","","","","","","","","","","","","","","","","","",""
"1079","","html-button-response","203","2.0.0","553177","test","3","","","","","","","<img src= ""rock_img/I_Pumice_04.jpg"" style=""width:8cm; height:6.819999999999999cm;""><p>What type of rock is this?</p>","7","class_response","2","test","17","Pumice","Pumice","04","true","8","8","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","204","2.0.0","553678","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","2","test","17","","","","","","","","","","","","","","","","","","","","","","",""
"560","","html-button-response","205","2.0.0","554241","test","3","","","","","","","<img src= ""rock_img/I_Pumice_09.jpg"" style=""width:8cm; height:6.44cm;""><p>What type of rock is this?</p>","7","class_response","2","test","18","Pumice","Pumice","09","true","8","8","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","206","2.0.0","554743","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","2","test","18","","","","","","","","","","","","","","","","","","","","","","",""
"1262","","html-button-response","207","2.0.0","556008","test","3","","","","","","","<img src= ""rock_img/I_Basalt_10.jpg"" style=""width:8cm; height:5.85cm;""><p>What type of rock is this?</p>","4","class_response","2","test","19","Obsidian","Basalt","10","false","5","2","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","208","2.0.0","556509","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","2","test","19","","","","","","","","","","","","","","","","","","","","","","",""
"1506","","html-button-response","209","2.0.0","558017","test","3","","","","","","","<img src= ""rock_img/I_Andesite_14.jpg"" style=""width:8cm; height:5.449999999999999cm;""><p>What type of rock is this?</p>","5","class_response","2","test","20","Pegmatite","Andesite","14","false","6","1","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","210","2.0.0","558518","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","2","test","20","","","","","","","","","","","","","","","","","","","","","","",""
"2739","","html-button-response","211","2.0.0","561259","test","3","","","","","","","<img src= ""rock_img/I_Peridotite_06.jpg"" style=""width:8cm; height:7.53cm;""><p>What type of rock is this?</p>","6","class_response","2","test","21","Peridotite","Peridotite","06","true","7","7","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","212","2.0.0","561761","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","2","test","21","","","","","","","","","","","","","","","","","","","","","","",""
"1053","","html-button-response","213","2.0.0","562817","test","3","","","","","","","<img src= ""rock_img/I_Gabbro_14.jpg"" style=""width:8cm; height:8.48cm;""><p>What type of rock is this?</p>","2","class_response","2","test","22","Diorite","Gabbro","14","false","3","4","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","214","2.0.0","563318","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","2","test","22","","","","","","","","","","","","","","","","","","","","","","",""
"1227","","html-button-response","215","2.0.0","564548","test","3","","","","","","","<img src= ""rock_img/I_Peridotite_08.jpg"" style=""width:8cm; height:6.7cm;""><p>What type of rock is this?</p>","2","class_response","2","test","23","Diorite","Peridotite","08","false","3","7","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","216","2.0.0","565048","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","2","test","23","","","","","","","","","","","","","","","","","","","","","","",""
"2248","","html-button-response","217","2.0.0","567297","test","3","","","","","","","<img src= ""rock_img/I_Basalt_14.jpg"" style=""width:8cm; height:5.82cm;""><p>What type of rock is this?</p>","1","class_response","2","test","24","Basalt","Basalt","14","true","2","2","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","218","2.0.0","567799","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","2","test","24","","","","","","","","","","","","","","","","","","","","","","",""
"2899","","html-button-response","219","2.0.0","570700","test","3","","","","","","","<img src= ""rock_img/I_Basalt_04.jpg"" style=""width:8cm; height:7.53cm;""><p>What type of rock is this?</p>","1","class_response","2","test","25","Basalt","Basalt","04","true","2","2","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","220","2.0.0","571201","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","2","test","25","","","","","","","","","","","","","","","","","","","","","","",""
"","","html-button-response","221","2.0.0","575973","test","3","","","","","","","","","cycle_feedback","","","","","","","","","","","","","","","","","","","","","","3119.5","1644.8000000715256","","",""
"905","","html-button-response","223","2.0.0","576881","test","3","","","","","","","","0","start_train","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1733","","html-button-response","224","2.0.0","578616","test","3","","","","","","","<img src= ""rock_img/I_Basalt_11.jpg"" style=""width:8cm; height:5.359999999999999cm;""><p>What type of rock is this?</p>","1","class_response","3","train","2","Basalt","Basalt","11","true","2","2","","","","","","","","","","","","","","","","",""
"2827","","html-button-response","225","2.0.0","581446","test","3","","","","","","","<img src= rock_img/I_Basalt_11.jpg style=""width:8cm; height:5.359999999999999cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is basalt</strong></p>","0","corr_feedback","3","train","2","","","","","","","","","","","","","","","","","","","","","","",""
"3127","","html-button-response","226","2.0.0","584575","test","3","","","","","","","<img src= ""rock_img/I_Pumice_05.jpg"" style=""width:8cm; height:7.25cm;""><p>What type of rock is this?</p>","7","class_response","3","train","3","Pumice","Pumice","05","true","8","8","","","","","","","","","","","","","","","","",""
"725","","html-button-response","227","2.0.0","585301","test","3","","","","","","","<img src= rock_img/I_Pumice_05.jpg style=""width:8cm; height:7.25cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is pumice</strong></p>","0","corr_feedback","3","train","3","","","","","","","","","","","","","","","","","","","","","","",""
"1122","","html-button-response","228","2.0.0","586424","test","3","","","","","","","<img src= ""rock_img/I_Pegmatite_08.jpg"" style=""width:8cm; height:7.68cm;""><p>What type of rock is this?</p>","4","class_response","3","train","4","Obsidian","Pegmatite","08","false","5","6","","","","","","","","","","","","","","","","",""
"1438","","html-button-response","229","2.0.0","587863","test","3","","","","","","","<img src= rock_img/I_Pegmatite_08.jpg style=""width:8cm; height:7.68cm;""><p style='font-size: 30px; color: red;'><strong>Incorrect!</strong></p><p style='font-size: 30px;'><strong>This rock is pegmatite</strong></p>","0","corr_feedback","3","train","4","","","","","","","","","","","","","","","","","","","","","","",""
"2920","","html-button-response","230","2.0.0","590785","test","3","","","","","","","<img src= ""rock_img/I_Andesite_07.jpg"" style=""width:8cm; height:5.93cm;""><p>What type of rock is this?</p>","6","class_response","3","train","5","Peridotite","Andesite","07","false","7","1","","","","","","","","","","","","","","","","",""
"918","","html-button-response","231","2.0.0","591705","test","3","","","","","","","<img src= rock_img/I_Andesite_07.jpg style=""width:8cm; height:5.93cm;""><p style='font-size: 30px; color: red;'><strong>Incorrect!</strong></p><p style='font-size: 30px;'><strong>This rock is andesite</strong></p>","0","corr_feedback","3","train","5","","","","","","","","","","","","","","","","","","","","","","",""
"949","","html-button-response","232","2.0.0","592656","test","3","","","","","","","<img src= ""rock_img/I_Diorite_09.jpg"" style=""width:8cm; height:5.27cm;""><p>What type of rock is this?</p>","0","class_response","3","train","6","Andesite","Diorite","09","false","1","3","","","","","","","","","","","","","","","","",""
"959","","html-button-response","233","2.0.0","593617","test","3","","","","","","","<img src= rock_img/I_Diorite_09.jpg style=""width:8cm; height:5.27cm;""><p style='font-size: 30px; color: red;'><strong>Incorrect!</strong></p><p style='font-size: 30px;'><strong>This rock is diorite</strong></p>","0","corr_feedback","3","train","6","","","","","","","","","","","","","","","","","","","","","","",""
"2330","","html-button-response","234","2.0.0","595949","test","3","","","","","","","<img src= ""rock_img/I_Peridotite_02.jpg"" style=""width:8cm; height:5.859999999999999cm;""><p>What type of rock is this?</p>","5","class_response","3","train","7","Pegmatite","Peridotite","02","false","6","7","","","","","","","","","","","","","","","","",""
"739","","html-button-response","235","2.0.0","596690","test","3","","","","","","","<img src= rock_img/I_Peridotite_02.jpg style=""width:8cm; height:5.859999999999999cm;""><p style='font-size: 30px; color: red;'><strong>Incorrect!</strong></p><p style='font-size: 30px;'><strong>This rock is peridotite</strong></p>","0","corr_feedback","3","train","7","","","","","","","","","","","","","","","","","","","","","","",""
"2140","","html-button-response","236","2.0.0","598831","test","3","","","","","","","<img src= ""rock_img/I_Basalt_02.jpg"" style=""width:8cm; height:6.45cm;""><p>What type of rock is this?</p>","1","class_response","3","train","8","Basalt","Basalt","02","true","2","2","","","","","","","","","","","","","","","","",""
"693","","html-button-response","237","2.0.0","599525","test","3","","","","","","","<img src= rock_img/I_Basalt_02.jpg style=""width:8cm; height:6.45cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is basalt</strong></p>","0","corr_feedback","3","train","8","","","","","","","","","","","","","","","","","","","","","","",""
"1042","","html-button-response","238","2.0.0","600568","test","3","","","","","","","<img src= ""rock_img/I_Pumice_03.jpg"" style=""width:8cm; height:6.64cm;""><p>What type of rock is this?</p>","7","class_response","3","train","9","Pumice","Pumice","03","true","8","8","","","","","","","","","","","","","","","","",""
"577","","html-button-response","239","2.0.0","601146","test","3","","","","","","","<img src= rock_img/I_Pumice_03.jpg style=""width:8cm; height:6.64cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is pumice</strong></p>","0","corr_feedback","3","train","9","","","","","","","","","","","","","","","","","","","","","","",""
"2308","","html-button-response","240","2.0.0","603456","test","3","","","","","","","<img src= ""rock_img/I_Pegmatite_06.jpg"" style=""width:8cm; height:5.17cm;""><p>What type of rock is this?</p>","5","class_response","3","train","10","Pegmatite","Pegmatite","06","true","6","6","","","","","","","","","","","","","","","","",""
"652","","html-button-response","241","2.0.0","604110","test","3","","","","","","","<img src= rock_img/I_Pegmatite_06.jpg style=""width:8cm; height:5.17cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is pegmatite</strong></p>","0","corr_feedback","3","train","10","","","","","","","","","","","","","","","","","","","","","","",""
"1238","","html-button-response","242","2.0.0","605349","test","3","","","","","","","<img src= ""rock_img/I_Gabbro_16.jpg"" style=""width:8cm; height:6.44cm;""><p>What type of rock is this?</p>","6","class_response","3","train","11","Peridotite","Gabbro","16","false","7","4","","","","","","","","","","","","","","","","",""
"674","","html-button-response","243","2.0.0","606024","test","3","","","","","","","<img src= rock_img/I_Gabbro_16.jpg style=""width:8cm; height:6.44cm;""><p style='font-size: 30px; color: red;'><strong>Incorrect!</strong></p><p style='font-size: 30px;'><strong>This rock is gabbro</strong></p>","0","corr_feedback","3","train","11","","","","","","","","","","","","","","","","","","","","","","",""
"1149","","html-button-response","244","2.0.0","607174","test","3","","","","","","","<img src= ""rock_img/I_Obsidian_05.jpg"" style=""width:8cm; height:6.33cm;""><p>What type of rock is this?</p>","4","class_response","3","train","12","Obsidian","Obsidian","05","true","5","5","","","","","","","","","","","","","","","","",""
"503","","html-button-response","245","2.0.0","607678","test","3","","","","","","","<img src= rock_img/I_Obsidian_05.jpg style=""width:8cm; height:6.33cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is obsidian</strong></p>","0","corr_feedback","3","train","12","","","","","","","","","","","","","","","","","","","","","","",""
"2292","","html-button-response","246","2.0.0","609971","test","3","","","","","","","<img src= ""rock_img/I_Diorite_14.jpg"" style=""width:8cm; height:5.71cm;""><p>What type of rock is this?</p>","5","class_response","3","train","13","Pegmatite","Diorite","14","false","6","3","","","","","","","","","","","","","","","","",""
"765","","html-button-response","247","2.0.0","610738","test","3","","","","","","","<img src= rock_img/I_Diorite_14.jpg style=""width:8cm; height:5.71cm;""><p style='font-size: 30px; color: red;'><strong>Incorrect!</strong></p><p style='font-size: 30px;'><strong>This rock is diorite</strong></p>","0","corr_feedback","3","train","13","","","","","","","","","","","","","","","","","","","","","","",""
"","","html-button-response","249","2.0.0","611783","test","3","","","","","","","","","cat_selection","3","train","14","","","","","","","","3","7","1043","Diorite","Peridotite","[0,0,0.37812094750477876,0.32137699332446634,0,0,0.300502059170755,0]","[0,0,0,0.5641995214053106,0,0.25905968332749757,0.17674079526719177,0]","","","","","","","","",""
"","","paired-cat-display","250","1.0.0","629340","test","3","","","","","","","","","paired_cat_display","3","train","14","","","","","","","","","","6473.5","","","","","","dark background with light pseckles","11081.399999976158","","","","","","more of green tint"
"","","html-button-response","251","2.0.0","630340","test","3","","","","","","","","","cat_selection","3","train","15","","","","","","","","7","3","998.6999999284744","Peridotite","Diorite","[0,0,0.37812094750477876,0.32137699332446634,0,0,0.300502059170755,0]","[0.016400731065213506,0,0.9662509031298697,0,0.017348365804916666,0,0,0]","","","","","","","","",""
"","","paired-cat-display","252","1.0.0","645400","test","3","","","","","","","","","paired_cat_display","3","train","15","","","","","","","","","","5864.100000023842","","","","","","light background with dark speckles","9193.199999928474","","","","","","more of a green tiny"
"","","html-button-response","253","2.0.0","646183","test","3","","","","","","","","","cat_selection","3","train","16","","","","","","","","3","4","782.1999999284744","Diorite","Gabbro","[0,0,0.37812094750477876,0.32137699332446634,0,0,0.300502059170755,0]","[0,0,0,0.5641995214053106,0,0.25905968332749757,0.17674079526719177,0]","","","","","","","","",""
"","","paired-cat-display","254","1.0.0","667249","test","3","","","","","","","","","paired_cat_display","3","train","16","","","","","","","","","","7859.299999952316","","","","","","light background with dark speckles","13203.100000023842","brown or gray and more solid","","","","",""
"1146","","html-button-response","256","2.0.0","668396","test","3","","","","","","","","0","start_test","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4985","","html-button-response","257","2.0.0","673383","test","3","","","","","","","<img src= ""rock_img/I_Pegmatite_07.jpg"" style=""width:8cm; height:6.7cm;""><p>What type of rock is this?</p>","2","class_response","3","test","2","Diorite","Pegmatite","07","false","3","6","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","258","2.0.0","673885","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","3","test","2","","","","","","","","","","","","","","","","","","","","","","",""
"3125","","html-button-response","259","2.0.0","677013","test","3","","","","","","","<img src= ""rock_img/I_Gabbro_14.jpg"" style=""width:8cm; height:8.48cm;""><p>What type of rock is this?</p>","3","class_response","3","test","3","Gabbro","Gabbro","14","true","4","4","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","260","2.0.0","677514","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","3","test","3","","","","","","","","","","","","","","","","","","","","","","",""
"3061","","html-button-response","261","2.0.0","680578","test","3","","","","","","","<img src= ""rock_img/I_Basalt_04.jpg"" style=""width:8cm; height:7.53cm;""><p>What type of rock is this?</p>","3","class_response","3","test","4","Gabbro","Basalt","04","false","4","2","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","262","2.0.0","681080","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","3","test","4","","","","","","","","","","","","","","","","","","","","","","",""
"4641","","html-button-response","263","2.0.0","685723","test","3","","","","","","","<img src= ""rock_img/I_Diorite_11.jpg"" style=""width:8cm; height:7.11cm;""><p>What type of rock is this?</p>","0","class_response","3","test","5","Andesite","Diorite","11","false","1","3","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","264","2.0.0","686225","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","3","test","5","","","","","","","","","","","","","","","","","","","","","","",""
"3001","","html-button-response","265","2.0.0","689229","test","3","","","","","","","<img src= ""rock_img/I_Peridotite_08.jpg"" style=""width:8cm; height:6.7cm;""><p>What type of rock is this?</p>","5","class_response","3","test","6","Pegmatite","Peridotite","08","false","6","7","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","266","2.0.0","689731","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","3","test","6","","","","","","","","","","","","","","","","","","","","","","",""
"4380","","html-button-response","267","2.0.0","694114","test","3","","","","","","","<img src= ""rock_img/I_Diorite_13.jpg"" style=""width:8cm; height:6.29cm;""><p>What type of rock is this?</p>","2","class_response","3","test","7","Diorite","Diorite","13","true","3","3","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","268","2.0.0","694615","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","3","test","7","","","","","","","","","","","","","","","","","","","","","","",""
"5033","","html-button-response","269","2.0.0","699651","test","3","","","","","","","<img src= ""rock_img/I_Gabbro_10.jpg"" style=""width:8cm; height:5.680000000000001cm;""><p>What type of rock is this?</p>","1","class_response","3","test","8","Basalt","Gabbro","10","false","2","4","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","270","2.0.0","700153","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","3","test","8","","","","","","","","","","","","","","","","","","","","","","",""
"1342","","html-button-response","271","2.0.0","701498","test","3","","","","","","","<img src= ""rock_img/I_Diorite_16.jpg"" style=""width:8cm; height:6.74cm;""><p>What type of rock is this?</p>","6","class_response","3","test","9","Peridotite","Diorite","16","false","7","3","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","272","2.0.0","702000","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","3","test","9","","","","","","","","","","","","","","","","","","","","","","",""
"2248","","html-button-response","273","2.0.0","704250","test","3","","","","","","","<img src= ""rock_img/I_Basalt_10.jpg"" style=""width:8cm; height:5.85cm;""><p>What type of rock is this?</p>","1","class_response","3","test","10","Basalt","Basalt","10","true","2","2","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","274","2.0.0","704753","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","3","test","10","","","","","","","","","","","","","","","","","","","","","","",""
"2327","","html-button-response","275","2.0.0","707082","test","3","","","","","","","<img src= ""rock_img/I_Basalt_14.jpg"" style=""width:8cm; height:5.82cm;""><p>What type of rock is this?</p>","1","class_response","3","test","11","Basalt","Basalt","14","true","2","2","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","276","2.0.0","707584","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","3","test","11","","","","","","","","","","","","","","","","","","","","","","",""
"1394","","html-button-response","277","2.0.0","708980","test","3","","","","","","","<img src= ""rock_img/I_Andesite_02.jpg"" style=""width:8cm; height:8.5cm;""><p>What type of rock is this?</p>","1","class_response","3","test","12","Basalt","Andesite","02","false","2","1","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","278","2.0.0","709482","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","3","test","12","","","","","","","","","","","","","","","","","","","","","","",""
"3750","","html-button-response","279","2.0.0","713234","test","3","","","","","","","<img src= ""rock_img/I_Peridotite_06.jpg"" style=""width:8cm; height:7.53cm;""><p>What type of rock is this?</p>","2","class_response","3","test","13","Diorite","Peridotite","06","false","3","7","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","280","2.0.0","713736","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","3","test","13","","","","","","","","","","","","","","","","","","","","","","",""
"974","","html-button-response","281","2.0.0","714713","test","3","","","","","","","<img src= ""rock_img/I_Pumice_09.jpg"" style=""width:8cm; height:6.44cm;""><p>What type of rock is this?</p>","7","class_response","3","test","14","Pumice","Pumice","09","true","8","8","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","282","2.0.0","715215","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","3","test","14","","","","","","","","","","","","","","","","","","","","","","",""
"1016","","html-button-response","283","2.0.0","716233","test","3","","","","","","","<img src= ""rock_img/I_Obsidian_12.jpg"" style=""width:8cm; height:6.53cm;""><p>What type of rock is this?</p>","4","class_response","3","test","15","Obsidian","Obsidian","12","true","5","5","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","284","2.0.0","716735","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","3","test","15","","","","","","","","","","","","","","","","","","","","","","",""
"1200","","html-button-response","285","2.0.0","717937","test","3","","","","","","","<img src= ""rock_img/I_Pumice_04.jpg"" style=""width:8cm; height:6.819999999999999cm;""><p>What type of rock is this?</p>","7","class_response","3","test","16","Pumice","Pumice","04","true","8","8","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","286","2.0.0","718439","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","3","test","16","","","","","","","","","","","","","","","","","","","","","","",""
"1879","","html-button-response","287","2.0.0","720319","test","3","","","","","","","<img src= ""rock_img/I_Andesite_14.jpg"" style=""width:8cm; height:5.449999999999999cm;""><p>What type of rock is this?</p>","2","class_response","3","test","17","Diorite","Andesite","14","false","3","1","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","288","2.0.0","720821","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","3","test","17","","","","","","","","","","","","","","","","","","","","","","",""
"2239","","html-button-response","289","2.0.0","723064","test","3","","","","","","","<img src= ""rock_img/I_Peridotite_14.jpg"" style=""width:8cm; height:5.3cm;""><p>What type of rock is this?</p>","6","class_response","3","test","18","Peridotite","Peridotite","14","true","7","7","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","290","2.0.0","723566","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","3","test","18","","","","","","","","","","","","","","","","","","","","","","",""
"2134","","html-button-response","291","2.0.0","725703","test","3","","","","","","","<img src= ""rock_img/I_Gabbro_12.jpg"" style=""width:8cm; height:7.800000000000001cm;""><p>What type of rock is this?</p>","3","class_response","3","test","19","Gabbro","Gabbro","12","true","4","4","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","292","2.0.0","726204","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","3","test","19","","","","","","","","","","","","","","","","","","","","","","",""
"2499","","html-button-response","293","2.0.0","728706","test","3","","","","","","","<img src= ""rock_img/I_Andesite_03.jpg"" style=""width:8cm; height:5.73cm;""><p>What type of rock is this?</p>","0","class_response","3","test","20","Andesite","Andesite","03","true","1","1","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","294","2.0.0","729208","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","3","test","20","","","","","","","","","","","","","","","","","","","","","","",""
"2654","","html-button-response","295","2.0.0","731864","test","3","","","","","","","<img src= ""rock_img/I_Pegmatite_09.jpg"" style=""width:8cm; height:4.03cm;""><p>What type of rock is this?</p>","2","class_response","3","test","21","Diorite","Pegmatite","09","false","3","6","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","296","2.0.0","732366","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","3","test","21","","","","","","","","","","","","","","","","","","","","","","",""
"1145","","html-button-response","297","2.0.0","733514","test","3","","","","","","","<img src= ""rock_img/I_Obsidian_06.jpg"" style=""width:8cm; height:6.8cm;""><p>What type of rock is this?</p>","4","class_response","3","test","22","Obsidian","Obsidian","06","true","5","5","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","298","2.0.0","734016","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","3","test","22","","","","","","","","","","","","","","","","","","","","","","",""
"878","","html-button-response","299","2.0.0","734896","test","3","","","","","","","<img src= ""rock_img/I_Obsidian_14.jpg"" style=""width:8cm; height:7.64cm;""><p>What type of rock is this?</p>","4","class_response","3","test","23","Obsidian","Obsidian","14","true","5","5","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","300","2.0.0","735398","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","3","test","23","","","","","","","","","","","","","","","","","","","","","","",""
"1106","","html-button-response","301","2.0.0","736506","test","3","","","","","","","<img src= ""rock_img/I_Pumice_02.jpg"" style=""width:8cm; height:7.3999999999999995cm;""><p>What type of rock is this?</p>","7","class_response","3","test","24","Pumice","Pumice","02","true","8","8","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","302","2.0.0","737008","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","3","test","24","","","","","","","","","","","","","","","","","","","","","","",""
"2727","","html-button-response","303","2.0.0","739736","test","3","","","","","","","<img src= ""rock_img/I_Pegmatite_16.jpg"" style=""width:8cm; height:5.8cm;""><p>What type of rock is this?</p>","5","class_response","3","test","25","Pegmatite","Pegmatite","16","true","6","6","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","304","2.0.0","740238","test","3","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","3","test","25","","","","","","","","","","","","","","","","","","","","","","",""
"","","html-button-response","305","2.0.0","745698","test","3","","","","","","","","","cycle_feedback","","","","","","","","","","","","","","","","","","","","","","2103.7000000476837","3350.2999999523163","","",""
"1328","","html-button-response","307","2.0.0","747027","test","3","","","","","","","","0","start_train","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1500","","html-button-response","308","2.0.0","748529","test","3","","","","","","","<img src= ""rock_img/I_Pumice_05.jpg"" style=""width:8cm; height:7.25cm;""><p>What type of rock is this?</p>","7","class_response","4","train","2","Pumice","Pumice","05","true","8","8","","","","","","","","","","","","","","","","",""
"725","","html-button-response","309","2.0.0","749256","test","3","","","","","","","<img src= rock_img/I_Pumice_05.jpg style=""width:8cm; height:7.25cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is pumice</strong></p>","0","corr_feedback","4","train","2","","","","","","","","","","","","","","","","","","","","","","",""
"2137","","html-button-response","310","2.0.0","751394","test","3","","","","","","","<img src= ""rock_img/I_Peridotite_02.jpg"" style=""width:8cm; height:5.859999999999999cm;""><p>What type of rock is this?</p>","6","class_response","4","train","3","Peridotite","Peridotite","02","true","7","7","","","","","","","","","","","","","","","","",""
