"rt","url","trial_type","trial_index","plugin_version","time_elapsed","subject","condition","success","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","value","time_fb1","time_fb2"
"2807","","html-button-response","19","2.0.0","344717","rob","1","","","","","","","<img src= ""rock_img/I_Pumice_13.jpg"" style=""width:8cm; height:8.200000000000001cm;""><p>What type of rock is this?</p>","7","class_response","0","test","9","Pumice","Pumice","13","true","8","8","","",""
"null","","html-keyboard-response","20","2.0.0","345229","rob","1","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","9","","","","","","","","",""
"3421","","html-button-response","21","2.0.0","348653","rob","1","","","","","","","<img src= ""rock_img/I_Obsidian_10.jpg"" style=""width:8cm; height:6.260000000000001cm;""><p>What type of rock is this?</p>","4","class_response","0","test","10","Obsidian","Obsidian","10","true","5","5","","",""
"null","","html-keyboard-response","22","2.0.0","349156","rob","1","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","10","","","","","","","","",""
"6015","","html-button-response","23","2.0.0","355173","rob","1","","","","","","","<img src= ""rock_img/I_Gabbro_15.jpg"" style=""width:8cm; height:6.29cm;""><p>What type of rock is this?</p>","3","class_response","0","test","11","Gabbro","Gabbro","15","true","4","4","","",""
"null","","html-keyboard-response","24","2.0.0","355678","rob","1","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","11","","","","","","","","",""
"1877","","html-button-response","25","2.0.0","357557","rob","1","","","","","","","<img src= ""rock_img/I_Pumice_16.jpg"" style=""width:8cm; height:6.79cm;""><p>What type of rock is this?</p>","7","class_response","0","test","12","Pumice","Pumice","16","true","8","8","","",""
"null","","html-keyboard-response","26","2.0.0","358061","rob","1","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","12","","","","","","","","",""
"1230","","html-button-response","27","2.0.0","359293","rob","1","","","","","","","<img src= ""rock_img/I_Pumice_09.jpg"" style=""width:8cm; height:6.44cm;""><p>What type of rock is this?</p>","7","class_response","0","test","13","Pumice","Pumice","09","true","8","8","","",""
"null","","html-keyboard-response","28","2.0.0","359805","rob","1","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","13","","","","","","","","",""
"2359","","html-button-response","29","2.0.0","362165","rob","1","","","","","","","<img src= ""rock_img/I_Gabbro_13.jpg"" style=""width:8cm; height:5.08cm;""><p>What type of rock is this?</p>","3","class_response","0","test","14","Gabbro","Gabbro","13","true","4","4","","",""
"null","","html-keyboard-response","30","2.0.0","362672","rob","1","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","14","","","","","","","","",""
"2299","","html-button-response","31","2.0.0","364973","rob","1","","","","","","","<img src= ""rock_img/I_Peridotite_08.jpg"" style=""width:8cm; height:6.7cm;""><p>What type of rock is this?</p>","6","class_response","0","test","15","Peridotite","Peridotite","08","true","7","7","","",""
"null","","html-keyboard-response","32","2.0.0","365475","rob","1","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","15","","","","","","","","",""
"2384","","html-button-response","33","2.0.0","367861","rob","1","","","","","","","<img src= ""rock_img/I_Diorite_13.jpg"" style=""width:8cm; height:6.29cm;""><p>What type of rock is this?</p>","2","class_response","0","test","16","Diorite","Diorite","13","true","3","3","","",""
"null","","html-keyboard-response","34","2.0.0","368362","rob","1","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","16","","","","","","","","",""
"2065","","html-button-response","35","2.0.0","370429","rob","1","","","","","","","<img src= ""rock_img/I_Obsidian_05.jpg"" style=""width:8cm; height:6.33cm;""><p>What type of rock is this?</p>","4","class_response","0","test","17","Obsidian","Obsidian","05","true","5","5","","",""
"null","","html-keyboard-response","36","2.0.0","370933","rob","1","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","17","","","","","","","","",""
"3246","","html-button-response","37","2.0.0","374181","rob","1","","","","","","","<img src= ""rock_img/I_Peridotite_04.jpg"" style=""width:8cm; height:6.680000000000001cm;""><p>What type of rock is this?</p>","5","class_response","0","test","18","Pegmatite","Peridotite","04","false","6","7","","",""
"null","","html-keyboard-response","38","2.0.0","374689","rob","1","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","18","","","","","","","","",""
"1522","","html-button-response","39","2.0.0","376213","rob","1","","","","","","","<img src= ""rock_img/I_Andesite_06.jpg"" style=""width:8cm; height:6.840000000000001cm;""><p>What type of rock is this?</p>","0","class_response","0","test","19","Andesite","Andesite","06","true","1","1","","",""
"null","","html-keyboard-response","40","2.0.0","376726","rob","1","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","19","","","","","","","","",""
"2197","","html-button-response","41","2.0.0","378925","rob","1","","","","","","","<img src= ""rock_img/I_Diorite_09.jpg"" style=""width:8cm; height:5.27cm;""><p>What type of rock is this?</p>","2","class_response","0","test","20","Diorite","Diorite","09","true","3","3","","",""
"null","","html-keyboard-response","42","2.0.0","379438","rob","1","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","20","","","","","","","","",""
"2870","","html-button-response","43","2.0.0","382309","rob","1","","","","","","","<img src= ""rock_img/I_Pegmatite_11.jpg"" style=""width:8cm; height:8.14cm;""><p>What type of rock is this?</p>","5","class_response","0","test","21","Pegmatite","Pegmatite","11","true","6","6","","",""
"null","","html-keyboard-response","44","2.0.0","382816","rob","1","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","21","","","","","","","","",""
"2355","","html-button-response","45","2.0.0","385174","rob","1","","","","","","","<img src= ""rock_img/I_Basalt_14.jpg"" style=""width:8cm; height:5.82cm;""><p>What type of rock is this?</p>","3","class_response","0","test","22","Gabbro","Basalt","14","false","4","2","","",""
"null","","html-keyboard-response","46","2.0.0","385686","rob","1","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","22","","","","","","","","",""
"2340","","html-button-response","47","2.0.0","388029","rob","1","","","","","","","<img src= ""rock_img/I_Basalt_10.jpg"" style=""width:8cm; height:5.85cm;""><p>What type of rock is this?</p>","1","class_response","0","test","23","Basalt","Basalt","10","true","2","2","","",""
"null","","html-keyboard-response","48","2.0.0","388538","rob","1","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","23","","","","","","","","",""
"2370","","html-button-response","49","2.0.0","390910","rob","1","","","","","","","<img src= ""rock_img/I_Basalt_08.jpg"" style=""width:8cm; height:10.44cm;""><p>What type of rock is this?</p>","1","class_response","0","test","24","Basalt","Basalt","08","true","2","2","","",""
"null","","html-keyboard-response","50","2.0.0","391423","rob","1","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","24","","","","","","","","",""
"2459","","html-button-response","51","2.0.0","393885","rob","1","","","","","","","<img src= ""rock_img/I_Peridotite_16.jpg"" style=""width:8cm; height:6.989999999999999cm;""><p>What type of rock is this?</p>","6","class_response","0","test","25","Peridotite","Peridotite","16","true","7","7","","",""
"null","","html-keyboard-response","52","2.0.0","394401","rob","1","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","25","","","","","","","","",""
"","","call-function","53","2.0.0","394418","rob","1","","","","","","","","","","","","","","","","","","","","",""
"60299","","instructions","54","2.0.0","454716","rob","1","","","","","","[{""page_index"":0,""viewing_time"":17707},{""page_index"":1,""viewing_time"":36808},{""page_index"":2,""viewing_time"":5784}]","","","","","","","","","","","","","","",""
"18487","","html-button-response","55","2.0.0","473204","rob","1","","","","","","","","0","start_train","","","","","","","","","","","",""
"4119","","html-button-response","56","2.0.0","477324","rob","1","","","","","","","<img src= ""rock_img/I_Basalt_16.jpg"" style=""width:8cm; height:7.659999999999999cm;""><p>What type of rock is this?</p>","3","class_response","1","train","2","Gabbro","Basalt","16","false","4","2","","",""
"4254","","html-button-response","57","2.0.0","481580","rob","1","","","","","","","<img src= rock_img/I_Basalt_16.jpg style=""width:8cm; height:7.659999999999999cm;""><p style='font-size: 30px; color: red;'><strong>Incorrect!</strong></p><p style='font-size: 30px;'><strong>This rock is basalt</strong></p>","0","corr_feedback","1","train","2","","","","","","","","",""
"1927","","html-button-response","58","2.0.0","483508","rob","1","","","","","","","<img src= ""rock_img/I_Andesite_02.jpg"" style=""width:8cm; height:8.5cm;""><p>What type of rock is this?</p>","0","class_response","1","train","3","Andesite","Andesite","02","true","1","1","","",""
"1896","","html-button-response","59","2.0.0","485404","rob","1","","","","","","","<img src= rock_img/I_Andesite_02.jpg style=""width:8cm; height:8.5cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is andesite</strong></p>","0","corr_feedback","1","train","3","","","","","","","","",""
"2671","","html-button-response","60","2.0.0","488076","rob","1","","","","","","","<img src= ""rock_img/I_Diorite_11.jpg"" style=""width:8cm; height:7.11cm;""><p>What type of rock is this?</p>","2","class_response","1","train","4","Diorite","Diorite","11","true","3","3","","",""
"1848","","html-button-response","61","2.0.0","489925","rob","1","","","","","","","<img src= rock_img/I_Diorite_11.jpg style=""width:8cm; height:7.11cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is diorite</strong></p>","0","corr_feedback","1","train","4","","","","","","","","",""
"3166","","html-button-response","62","2.0.0","493092","rob","1","","","","","","","<img src= ""rock_img/I_Peridotite_12.jpg"" style=""width:8cm; height:4.54cm;""><p>What type of rock is this?</p>","6","class_response","1","train","5","Peridotite","Peridotite","12","true","7","7","","",""
"1703","","html-button-response","63","2.0.0","494796","rob","1","","","","","","","<img src= rock_img/I_Peridotite_12.jpg style=""width:8cm; height:4.54cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is peridotite</strong></p>","0","corr_feedback","1","train","5","","","","","","","","",""
"1663","","html-button-response","64","2.0.0","496460","rob","1","","","","","","","<img src= ""rock_img/I_Pumice_02.jpg"" style=""width:8cm; height:7.3999999999999995cm;""><p>What type of rock is this?</p>","7","class_response","1","train","6","Pumice","Pumice","02","true","8","8","","",""
"1335","","html-button-response","65","2.0.0","497796","rob","1","","","","","","","<img src= rock_img/I_Pumice_02.jpg style=""width:8cm; height:7.3999999999999995cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is pumice</strong></p>","0","corr_feedback","1","train","6","","","","","","","","",""
"2695","","html-button-response","66","2.0.0","500492","rob","1","","","","","","","<img src= ""rock_img/I_Andesite_14.jpg"" style=""width:8cm; height:5.449999999999999cm;""><p>What type of rock is this?</p>","0","class_response","1","train","7","Andesite","Andesite","14","true","1","1","","",""
"1423","","html-button-response","67","2.0.0","501916","rob","1","","","","","","","<img src= rock_img/I_Andesite_14.jpg style=""width:8cm; height:5.449999999999999cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is andesite</strong></p>","0","corr_feedback","1","train","7","","","","","","","","",""
"9287","","html-button-response","68","2.0.0","511204","rob","1","","","","","","","<img src= ""rock_img/I_Gabbro_03.jpg"" style=""width:8cm; height:8.52cm;""><p>What type of rock is this?</p>","3","class_response","1","train","8","Gabbro","Gabbro","03","true","4","4","","",""
"2495","","html-button-response","69","2.0.0","513700","rob","1","","","","","","","<img src= rock_img/I_Gabbro_03.jpg style=""width:8cm; height:8.52cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is gabbro</strong></p>","0","corr_feedback","1","train","8","","","","","","","","",""
"1815","","html-button-response","70","2.0.0","515516","rob","1","","","","","","","<img src= ""rock_img/I_Basalt_05.jpg"" style=""width:8cm; height:8.18cm;""><p>What type of rock is this?</p>","1","class_response","1","train","9","Basalt","Basalt","05","true","2","2","","",""
"1519","","html-button-response","71","2.0.0","517036","rob","1","","","","","","","<img src= rock_img/I_Basalt_05.jpg style=""width:8cm; height:8.18cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is basalt</strong></p>","0","corr_feedback","1","train","9","","","","","","","","",""
"1632","","html-button-response","72","2.0.0","518668","rob","1","","","","","","","<img src= ""rock_img/I_Pegmatite_09.jpg"" style=""width:8cm; height:4.03cm;""><p>What type of rock is this?</p>","5","class_response","1","train","10","Pegmatite","Pegmatite","09","true","6","6","","",""
"1279","","html-button-response","73","2.0.0","519948","rob","1","","","","","","","<img src= rock_img/I_Pegmatite_09.jpg style=""width:8cm; height:4.03cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is pegmatite</strong></p>","0","corr_feedback","1","train","10","","","","","","","","",""
"1615","","html-button-response","74","2.0.0","521564","rob","1","","","","","","","<img src= ""rock_img/I_Diorite_12.jpg"" style=""width:8cm; height:4.88cm;""><p>What type of rock is this?</p>","2","class_response","1","train","11","Diorite","Diorite","12","true","3","3","","",""
"1487","","html-button-response","75","2.0.0","523052","rob","1","","","","","","","<img src= rock_img/I_Diorite_12.jpg style=""width:8cm; height:4.88cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is diorite</strong></p>","0","corr_feedback","1","train","11","","","","","","","","",""
"2296","","html-button-response","76","2.0.0","525348","rob","1","","","","","","","<img src= ""rock_img/I_Basalt_09.jpg"" style=""width:8cm; height:6.2cm;""><p>What type of rock is this?</p>","1","class_response","1","train","12","Basalt","Basalt","09","true","2","2","","",""
"1295","","html-button-response","77","2.0.0","526644","rob","1","","","","","","","<img src= rock_img/I_Basalt_09.jpg style=""width:8cm; height:6.2cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is basalt</strong></p>","0","corr_feedback","1","train","12","","","","","","","","",""
"3271","","html-button-response","78","2.0.0","529916","rob","1","","","","","","","<img src= ""rock_img/I_Gabbro_14.jpg"" style=""width:8cm; height:8.48cm;""><p>What type of rock is this?</p>","3","class_response","1","train","13","Gabbro","Gabbro","14","true","4","4","","",""
"1351","","html-button-response","79","2.0.0","531268","rob","1","","","","","","","<img src= rock_img/I_Gabbro_14.jpg style=""width:8cm; height:8.48cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is gabbro</strong></p>","0","corr_feedback","1","train","13","","","","","","","","",""
"9231","","html-button-response","80","2.0.0","540499","rob","1","","","","","","","<img src= ""rock_img/I_Peridotite_06.jpg"" style=""width:8cm; height:7.53cm;""><p>What type of rock is this?</p>","5","class_response","1","train","14","Pegmatite","Peridotite","06","false","6","7","","",""
"2423","","html-button-response","81","2.0.0","542922","rob","1","","","","","","","<img src= rock_img/I_Peridotite_06.jpg style=""width:8cm; height:7.53cm;""><p style='font-size: 30px; color: red;'><strong>Incorrect!</strong></p><p style='font-size: 30px;'><strong>This rock is peridotite</strong></p>","0","corr_feedback","1","train","14","","","","","","","","",""
"3648","","html-button-response","82","2.0.0","546571","rob","1","","","","","","","<img src= ""rock_img/I_Basalt_11.jpg"" style=""width:8cm; height:5.359999999999999cm;""><p>What type of rock is this?</p>","1","class_response","1","train","15","Basalt","Basalt","11","true","2","2","","",""
"1631","","html-button-response","83","2.0.0","548203","rob","1","","","","","","","<img src= rock_img/I_Basalt_11.jpg style=""width:8cm; height:5.359999999999999cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is basalt</strong></p>","0","corr_feedback","1","train","15","","","","","","","","",""
"1551","","html-button-response","84","2.0.0","549755","rob","1","","","","","","","<img src= ""rock_img/I_Peridotite_10.jpg"" style=""width:8cm; height:5.390000000000001cm;""><p>What type of rock is this?</p>","6","class_response","1","train","16","Peridotite","Peridotite","10","true","7","7","","",""
"1231","","html-button-response","85","2.0.0","550987","rob","1","","","","","","","<img src= rock_img/I_Peridotite_10.jpg style=""width:8cm; height:5.390000000000001cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is peridotite</strong></p>","0","corr_feedback","1","train","16","","","","","","","","",""
"3456","","html-button-response","86","2.0.0","554444","rob","1","","","","","","","<img src= ""rock_img/I_Andesite_10.jpg"" style=""width:8cm; height:4.16cm;""><p>What type of rock is this?</p>","0","class_response","1","train","17","Andesite","Andesite","10","true","1","1","","",""
"1223","","html-button-response","87","2.0.0","555667","rob","1","","","","","","","<img src= rock_img/I_Andesite_10.jpg style=""width:8cm; height:4.16cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is andesite</strong></p>","0","corr_feedback","1","train","17","","","","","","","","",""
"2239","","html-button-response","88","2.0.0","557907","rob","1","","","","","","","<img src= ""rock_img/I_Gabbro_05.jpg"" style=""width:8cm; height:6cm;""><p>What type of rock is this?</p>","6","class_response","1","train","18","Peridotite","Gabbro","05","false","7","4","","",""
"4447","","html-button-response","89","2.0.0","562355","rob","1","","","","","","","<img src= rock_img/I_Gabbro_05.jpg style=""width:8cm; height:6cm;""><p style='font-size: 30px; color: red;'><strong>Incorrect!</strong></p><p style='font-size: 30px;'><strong>This rock is gabbro</strong></p>","0","corr_feedback","1","train","18","","","","","","","","",""
"3247","","html-button-response","90","2.0.0","565603","rob","1","","","","","","","<img src= ""rock_img/I_Basalt_02.jpg"" style=""width:8cm; height:6.45cm;""><p>What type of rock is this?</p>","1","class_response","1","train","19","Basalt","Basalt","02","true","2","2","","",""
"1543","","html-button-response","91","2.0.0","567147","rob","1","","","","","","","<img src= rock_img/I_Basalt_02.jpg style=""width:8cm; height:6.45cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is basalt</strong></p>","0","corr_feedback","1","train","19","","","","","","","","",""
"3039","","html-button-response","92","2.0.0","570187","rob","1","","","","","","","<img src= ""rock_img/I_Obsidian_11.jpg"" style=""width:8cm; height:6.05cm;""><p>What type of rock is this?</p>","4","class_response","1","train","20","Obsidian","Obsidian","11","true","5","5","","",""
"1359","","html-button-response","93","2.0.0","571547","rob","1","","","","","","","<img src= rock_img/I_Obsidian_11.jpg style=""width:8cm; height:6.05cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is obsidian</strong></p>","0","corr_feedback","1","train","20","","","","","","","","",""
"1343","","html-button-response","94","2.0.0","572891","rob","1","","","","","","","<img src= ""rock_img/I_Obsidian_02.jpg"" style=""width:8cm; height:7.51cm;""><p>What type of rock is this?</p>","4","class_response","1","train","21","Obsidian","Obsidian","02","true","5","5","","",""
"1103","","html-button-response","95","2.0.0","573994","rob","1","","","","","","","<img src= rock_img/I_Obsidian_02.jpg style=""width:8cm; height:7.51cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is obsidian</strong></p>","0","corr_feedback","1","train","21","","","","","","","","",""
"2776","","html-button-response","96","2.0.0","576771","rob","1","","","","","","","<img src= ""rock_img/I_Pegmatite_16.jpg"" style=""width:8cm; height:5.8cm;""><p>What type of rock is this?</p>","5","class_response","1","train","22","Pegmatite","Pegmatite","16","true","6","6","","",""
"1191","","html-button-response","97","2.0.0","577963","rob","1","","","","","","","<img src= rock_img/I_Pegmatite_16.jpg style=""width:8cm; height:5.8cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is pegmatite</strong></p>","0","corr_feedback","1","train","22","","","","","","","","",""
"1551","","html-button-response","98","2.0.0","579515","rob","1","","","","","","","<img src= ""rock_img/I_Pegmatite_13.jpg"" style=""width:8cm; height:4.95cm;""><p>What type of rock is this?</p>","5","class_response","1","train","23","Pegmatite","Pegmatite","13","true","6","6","","",""
"1135","","html-button-response","99","2.0.0","580651","rob","1","","","","","","","<img src= rock_img/I_Pegmatite_13.jpg style=""width:8cm; height:4.95cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is pegmatite</strong></p>","0","corr_feedback","1","train","23","","","","","","","","",""
"1215","","html-button-response","100","2.0.0","581866","rob","1","","","","","","","<img src= ""rock_img/I_Pegmatite_03.jpg"" style=""width:8cm; height:5.239999999999999cm;""><p>What type of rock is this?</p>","5","class_response","1","train","24","Pegmatite","Pegmatite","03","true","6","6","","",""
"1232","","html-button-response","101","2.0.0","583099","rob","1","","","","","","","<img src= rock_img/I_Pegmatite_03.jpg style=""width:8cm; height:5.239999999999999cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is pegmatite</strong></p>","0","corr_feedback","1","train","24","","","","","","","","",""
"7807","","html-button-response","102","2.0.0","590906","rob","1","","","","","","","<img src= ""rock_img/I_Diorite_06.jpg"" style=""width:8cm; height:6.03cm;""><p>What type of rock is this?</p>","3","class_response","1","train","25","Gabbro","Diorite","06","false","4","3","","",""
"2872","","html-button-response","103","2.0.0","593779","rob","1","","","","","","","<img src= rock_img/I_Diorite_06.jpg style=""width:8cm; height:6.03cm;""><p style='font-size: 30px; color: red;'><strong>Incorrect!</strong></p><p style='font-size: 30px;'><strong>This rock is diorite</strong></p>","0","corr_feedback","1","train","25","","","","","","","","",""
"1511","","html-button-response","104","2.0.0","595291","rob","1","","","","","","","<img src= ""rock_img/I_Diorite_07.jpg"" style=""width:8cm; height:5.239999999999999cm;""><p>What type of rock is this?</p>","2","class_response","1","train","26","Diorite","Diorite","07","true","3","3","","",""
"975","","html-button-response","105","2.0.0","596267","rob","1","","","","","","","<img src= rock_img/I_Diorite_07.jpg style=""width:8cm; height:5.239999999999999cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is diorite</strong></p>","0","corr_feedback","1","train","26","","","","","","","","",""
"1431","","html-button-response","106","2.0.0","597699","rob","1","","","","","","","<img src= ""rock_img/I_Diorite_16.jpg"" style=""width:8cm; height:6.74cm;""><p>What type of rock is this?</p>","2","class_response","1","train","27","Diorite","Diorite","16","true","3","3","","",""
"983","","html-button-response","107","2.0.0","598683","rob","1","","","","","","","<img src= rock_img/I_Diorite_16.jpg style=""width:8cm; height:6.74cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is diorite</strong></p>","0","corr_feedback","1","train","27","","","","","","","","",""
"1463","","html-button-response","108","2.0.0","600147","rob","1","","","","","","","<img src= ""rock_img/I_Pumice_04.jpg"" style=""width:8cm; height:6.819999999999999cm;""><p>What type of rock is this?</p>","7","class_response","1","train","28","Pumice","Pumice","04","true","8","8","","",""
"1199","","html-button-response","109","2.0.0","601347","rob","1","","","","","","","<img src= rock_img/I_Pumice_04.jpg style=""width:8cm; height:6.819999999999999cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is pumice</strong></p>","0","corr_feedback","1","train","28","","","","","","","","",""
"2911","","html-button-response","110","2.0.0","604259","rob","1","","","","","","","<img src= ""rock_img/I_Pegmatite_05.jpg"" style=""width:8cm; height:7.300000000000001cm;""><p>What type of rock is this?</p>","5","class_response","1","train","29","Pegmatite","Pegmatite","05","true","6","6","","",""
