"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","rt_ref","rt_paired","ref_cat_num","paired_cat_num","ref_cat","paired_cat","text_Andesite","text_Pegmatite","time_obs","time_resp","text_Basalt","text_Diorite","text_Peridotite","time_fb1","time_fb2","text_Gabbro","text_Pumice","text_Obsidian"
"","","","","","","","","","","","html-button-response","392","2.0.0","1430146","672e94acace1a62a2786c048","4","3","3887","","","","","","","","","<img src= ""rock_img/I_Andesite_14.jpg"" style=""width:8cm; height:5.449999999999999cm;""><p>What type of rock is this?</p>","6","class_response","3","train","10","Peridotite","Andesite","14","false","7","1","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","393","2.0.0","1431171","672e94acace1a62a2786c048","4","3","1023","","","","","","","","","<img src= rock_img/I_Andesite_14.jpg style=""width:8cm; height:5.449999999999999cm;""><p style='font-size: 30px; color: red;'><strong>Incorrect!</strong></p><p style='font-size: 30px;'><strong>This rock is andesite</strong></p>","0","corr_feedback","3","train","10","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","394","2.0.0","1433022","672e94acace1a62a2786c048","4","3","1850","","","","","","","","","<img src= ""rock_img/I_Gabbro_01.jpg"" style=""width:8cm; height:5.21cm;""><p>What type of rock is this?</p>","6","class_response","3","train","11","Peridotite","Gabbro","01","false","7","4","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","395","2.0.0","1433960","672e94acace1a62a2786c048","4","3","936","","","","","","","","","<img src= rock_img/I_Gabbro_01.jpg style=""width:8cm; height:5.21cm;""><p style='font-size: 30px; color: red;'><strong>Incorrect!</strong></p><p style='font-size: 30px;'><strong>This rock is gabbro</strong></p>","0","corr_feedback","3","train","11","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","396","2.0.0","1437476","672e94acace1a62a2786c048","4","3","3514","","","","","","","","","<img src= ""rock_img/I_Pegmatite_11.jpg"" style=""width:8cm; height:8.14cm;""><p>What type of rock is this?</p>","4","class_response","3","train","12","Obsidian","Pegmatite","11","false","5","6","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","397","2.0.0","1439036","672e94acace1a62a2786c048","4","3","1559","","","","","","","","","<img src= rock_img/I_Pegmatite_11.jpg style=""width:8cm; height:8.14cm;""><p style='font-size: 30px; color: red;'><strong>Incorrect!</strong></p><p style='font-size: 30px;'><strong>This rock is pegmatite</strong></p>","0","corr_feedback","3","train","12","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","399","2.0.0","1440684","672e94acace1a62a2786c048","4","3","1646","","","","","","","","","","0","start_train","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","400","2.0.0","1451446","672e94acace1a62a2786c048","4","3","","","","","","","","","","","","cat_selection","3","train","1","","","","","","","6897.099999997765","3863.800000000745","5","1","Basalt","Pegmatite","","","","","","","","","","","",""
"","","","","","","","","","","","paired-cat-display","401","1.0.0","1491498","672e94acace1a62a2786c048","4","3","","","","","","","","","","","","paired_cat_display","3","train","1","","","","","","","","","","","","","Rough and some are spotty","","12973.199999999255","27074.5","","","","","","","","Shiny and some are colorful"
"","","","","","","","","","","","html-button-response","402","2.0.0","1496776","672e94acace1a62a2786c048","4","3","","","","","","","","","","","","cat_selection","3","train","2","","","","","","","2732.900000002235","2543.7999999970198","1","3","Obsidian","Andesite","","","","","","","","","","","",""
"","","","","","","","","","","","paired-cat-display","403","1.0.0","1527221","672e94acace1a62a2786c048","4","3","","","","","","","","","","","","paired_cat_display","3","train","2","","","","","","","","","","","","","Spotty and rough","","6497.699999999255","23945","","Small pores and colorful","","","","","",""
"","","","","","","","","","","","html-button-response","404","2.0.0","1530996","672e94acace1a62a2786c048","4","3","","","","","","","","","","","","cat_selection","3","train","3","","","","","","","3143.099999997765","630.2000000029802","3","7","Andesite","Diorite","","","","","","","","","","","",""
