"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","rt_ref","rt_paired","ref_cat_num","paired_cat_num","ref_cat","paired_cat","text_Pegmatite","text_Peridotite","time_obs","time_resp","text_Diorite","text_Andesite","text_Gabbro","text_Basalt","time_fb1","time_fb2","text_Pumice"
"","","","","","","","","","","","html-keyboard-response","70","2.0.0","184532","55d234b45bc5bc0005d9039d","4","34","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","32","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","71","2.0.0","190744","55d234b45bc5bc0005d9039d","4","34","6211","","","","","","","","","<img src= ""rock_img/I_Basalt_06.jpg"" style=""width:8cm; height:7.06cm;""><p>What type of rock is this?</p>","1","class_response","0","test","33","Basalt","Basalt","06","true","2","2","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","72","2.0.0","191248","55d234b45bc5bc0005d9039d","4","34","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","33","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","73","2.0.0","193991","55d234b45bc5bc0005d9039d","4","34","2742","","","","","","","","","<img src= ""rock_img/I_Pegmatite_13.jpg"" style=""width:8cm; height:4.95cm;""><p>What type of rock is this?</p>","3","class_response","0","test","34","Gabbro","Pegmatite","13","false","4","6","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","74","2.0.0","194492","55d234b45bc5bc0005d9039d","4","34","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","34","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","75","2.0.0","196371","55d234b45bc5bc0005d9039d","4","34","1878","","","","","","","","","<img src= ""rock_img/I_Pegmatite_09.jpg"" style=""width:8cm; height:4.03cm;""><p>What type of rock is this?</p>","6","class_response","0","test","35","Peridotite","Pegmatite","09","false","7","6","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","76","2.0.0","196872","55d234b45bc5bc0005d9039d","4","34","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","35","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","77","2.0.0","198713","55d234b45bc5bc0005d9039d","4","34","1840","","","","","","","","","<img src= ""rock_img/I_Peridotite_12.jpg"" style=""width:8cm; height:4.54cm;""><p>What type of rock is this?</p>","0","class_response","0","test","36","Andesite","Peridotite","12","false","1","7","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","78","2.0.0","199215","55d234b45bc5bc0005d9039d","4","34","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","36","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","79","2.0.0","200565","55d234b45bc5bc0005d9039d","4","34","1348","","","","","","","","","<img src= ""rock_img/I_Diorite_12.jpg"" style=""width:8cm; height:4.88cm;""><p>What type of rock is this?</p>","0","class_response","0","test","37","Andesite","Diorite","12","false","1","3","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","80","2.0.0","201070","55d234b45bc5bc0005d9039d","4","34","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","37","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","81","2.0.0","202217","55d234b45bc5bc0005d9039d","4","34","1146","","","","","","","","","<img src= ""rock_img/I_Diorite_14.jpg"" style=""width:8cm; height:5.71cm;""><p>What type of rock is this?</p>","0","class_response","0","test","38","Andesite","Diorite","14","false","1","3","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","82","2.0.0","202719","55d234b45bc5bc0005d9039d","4","34","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","38","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","83","2.0.0","203894","55d234b45bc5bc0005d9039d","4","34","1175","","","","","","","","","<img src= ""rock_img/I_Basalt_08.jpg"" style=""width:8cm; height:10.44cm;""><p>What type of rock is this?</p>","1","class_response","0","test","39","Basalt","Basalt","08","true","2","2","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","84","2.0.0","204402","55d234b45bc5bc0005d9039d","4","34","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","39","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","85","2.0.0","205611","55d234b45bc5bc0005d9039d","4","34","1208","","","","","","","","","<img src= ""rock_img/I_Andesite_05.jpg"" style=""width:8cm; height:4.12cm;""><p>What type of rock is this?</p>","2","class_response","0","test","40","Diorite","Andesite","05","false","3","1","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","86","2.0.0","206124","55d234b45bc5bc0005d9039d","4","34","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","40","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","87","2.0.0","207692","55d234b45bc5bc0005d9039d","4","34","1567","","","","","","","","","<img src= ""rock_img/I_Pumice_03.jpg"" style=""width:8cm; height:6.64cm;""><p>What type of rock is this?</p>","7","class_response","0","test","41","Pumice","Pumice","03","true","8","8","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","88","2.0.0","208193","55d234b45bc5bc0005d9039d","4","34","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","41","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","89","2.0.0","209612","55d234b45bc5bc0005d9039d","4","34","1418","","","","","","","","","<img src= ""rock_img/I_Pegmatite_06.jpg"" style=""width:8cm; height:5.17cm;""><p>What type of rock is this?</p>","6","class_response","0","test","42","Peridotite","Pegmatite","06","false","7","6","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","90","2.0.0","210114","55d234b45bc5bc0005d9039d","4","34","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","42","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","91","2.0.0","211268","55d234b45bc5bc0005d9039d","4","34","1153","","","","","","","","","<img src= ""rock_img/I_Obsidian_16.jpg"" style=""width:8cm; height:9.3cm;""><p>What type of rock is this?</p>","4","class_response","0","test","43","Obsidian","Obsidian","16","true","5","5","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","92","2.0.0","211780","55d234b45bc5bc0005d9039d","4","34","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","43","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","93","2.0.0","212874","55d234b45bc5bc0005d9039d","4","34","1092","","","","","","","","","<img src= ""rock_img/I_Pumice_10.jpg"" style=""width:8cm; height:7.609999999999999cm;""><p>What type of rock is this?</p>","7","class_response","0","test","44","Pumice","Pumice","10","true","8","8","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","94","2.0.0","213375","55d234b45bc5bc0005d9039d","4","34","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","44","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","95","2.0.0","216392","55d234b45bc5bc0005d9039d","4","34","3016","","","","","","","","","<img src= ""rock_img/I_Gabbro_15.jpg"" style=""width:8cm; height:6.29cm;""><p>What type of rock is this?</p>","2","class_response","0","test","45","Diorite","Gabbro","15","false","3","4","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","96","2.0.0","216893","55d234b45bc5bc0005d9039d","4","34","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","45","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","97","2.0.0","218251","55d234b45bc5bc0005d9039d","4","34","1356","","","","","","","","","<img src= ""rock_img/I_Pumice_15.jpg"" style=""width:8cm; height:7.86cm;""><p>What type of rock is this?</p>","7","class_response","0","test","46","Pumice","Pumice","15","true","8","8","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","98","2.0.0","218754","55d234b45bc5bc0005d9039d","4","34","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","46","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","99","2.0.0","220638","55d234b45bc5bc0005d9039d","4","34","1882","","","","","","","","","<img src= ""rock_img/I_Gabbro_09.jpg"" style=""width:8cm; height:7.279999999999999cm;""><p>What type of rock is this?</p>","1","class_response","0","test","47","Basalt","Gabbro","09","false","2","4","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","100","2.0.0","221139","55d234b45bc5bc0005d9039d","4","34","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","47","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","101","2.0.0","222219","55d234b45bc5bc0005d9039d","4","34","1079","","","","","","","","","<img src= ""rock_img/I_Diorite_11.jpg"" style=""width:8cm; height:7.11cm;""><p>What type of rock is this?</p>","0","class_response","0","test","48","Andesite","Diorite","11","false","1","3","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","102","2.0.0","222734","55d234b45bc5bc0005d9039d","4","34","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","48","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","103","2.0.0","258682","55d234b45bc5bc0005d9039d","4","34","35928","","","","","","","","[{""page_index"":0,""viewing_time"":29888},{""page_index"":1,""viewing_time"":6040}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","104","2.0.0","264956","55d234b45bc5bc0005d9039d","4","34","6273","","","","","","","","","","0","start_train","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","106","2.0.0","266764","55d234b45bc5bc0005d9039d","4","34","1806","","","","","","","","","<img src= ""rock_img/I_Basalt_11.jpg"" style=""width:8cm; height:5.359999999999999cm;""><p>What type of rock is this?</p>","1","class_response","1","train","1","Basalt","Basalt","11","true","2","2","","","","","","","","","","","","","","","","",""
