width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_type,trial_index,plugin_version,time_elapsed,subjID,condition,stimID,rt,url,success,value,timeout,failed_images,failed_audio,failed_video,view_history,stimulus,response,trialType,cycle,phase,trial,resp,cat,token,corr,resp_num,cat_num,rt_ref,rt_paired,ref_cat_num,paired_cat_num,ref_cat,paired_cat,text_Pegmatite,text_Peridotite,time_obs,time_resp,text_Gabbro,text_Andesite,text_Diorite,time_fb1,time_fb2,text_Basalt,text_Pumice,text_Obsidian
,,,,,,,,,,,html-button-response,35,2.0.0,429035,67022b62378fdf9d7675d86d,4,43,2442,,,,,,,,,"<img src= ""rock_img/I_Pegmatite_03.jpg"" style=""width:8cm; height:5.239999999999999cm;""><p>What type of rock is this?</p>",3,class_response,0,test,15,Gabbro,Pegmatite,3,FALSE,4,6,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,36,2.0.0,429537,67022b62378fdf9d7675d86d,4,43,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,15,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,37,2.0.0,430931,67022b62378fdf9d7675d86d,4,43,1392,,,,,,,,,"<img src= ""rock_img/I_Basalt_08.jpg"" style=""width:8cm; height:10.44cm;""><p>What type of rock is this?</p>",4,class_response,0,test,16,Obsidian,Basalt,8,FALSE,5,2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,38,2.0.0,431433,67022b62378fdf9d7675d86d,4,43,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,16,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,39,2.0.0,432819,67022b62378fdf9d7675d86d,4,43,1385,,,,,,,,,"<img src= ""rock_img/I_Pumice_10.jpg"" style=""width:8cm; height:7.609999999999999cm;""><p>What type of rock is this?</p>",7,class_response,0,test,17,Pumice,Pumice,10,TRUE,8,8,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,40,2.0.0,433321,67022b62378fdf9d7675d86d,4,43,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,17,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,41,2.0.0,436539,67022b62378fdf9d7675d86d,4,43,3216,,,,,,,,,"<img src= ""rock_img/I_Pegmatite_12.jpg"" style=""width:8cm; height:5.7cm;""><p>What type of rock is this?</p>",3,class_response,0,test,18,Gabbro,Pegmatite,12,FALSE,4,6,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,42,2.0.0,437040,67022b62378fdf9d7675d86d,4,43,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,18,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,43,2.0.0,438825,67022b62378fdf9d7675d86d,4,43,1783,,,,,,,,,"<img src= ""rock_img/I_Obsidian_07.jpg"" style=""width:8cm; height:4.76cm;""><p>What type of rock is this?</p>",4,class_response,0,test,19,Obsidian,Obsidian,7,TRUE,5,5,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,44,2.0.0,439329,67022b62378fdf9d7675d86d,4,43,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,19,,,,,,,,,,,,,,,,,,,,,,,,
