cat,token,D1,D2,D3,D4,D5,D6,D7,D8
Gabbro,3,-1.047,0.944,0.338,-1.007,1.157,-0.226,1.229,1.32
Gabbro,5,-1.597,-0.333,0.535,-0.264,-1.229,2.48,3.783,1.565
Gabbro,8,-1.257,-1.071,0.663,-0.878,-0.651,0.096,2.479,1.272
Gabbro,9,-2.462,-1.269,-0.613,1.063,-0.914,0.517,1.917,0.568
Gabbro,10,-2.171,-2.476,0.323,0.035,0.382,0.549,2.12,0.655
Gabbro,11,-1.052,-1.538,-0.845,-1.503,0.542,0.079,2.249,0.071
Gabbro,12,-1.034,-0.31,-0.305,-2.141,0.989,0.283,1.304,0.726
Gabbro,13,-2.116,-0.316,0.993,-1.253,-0.047,4.17,0.838,2.434
Gabbro,14,-2.57,-1.213,0.569,-0.077,-0.442,4.42,0.779,1.478
Gabbro,15,-2.255,-0.283,0.83,-1.127,0.245,3.749,1.336,2.402
Gabbro,16,-2.598,-2.908,0.044,-0.5,-0.755,3.628,0.779,1.496
Obsidian,2,-2.128,-3.697,-1.778,4.429,0.274,1.908,0.782,0.063
Obsidian,4,-2.633,-3.224,-1.654,3.974,-0.175,1.97,1.532,0.724
Obsidian,5,-1.511,-1.678,-0.469,4.593,-1.926,1.576,0.349,1.334
Obsidian,6,-1.999,-1.998,-0.426,4.883,0.94,3.932,-0.371,-0.237
Obsidian,7,-2.113,-2.249,-0.266,4.102,1.328,3.729,0.488,0.873
Obsidian,8,-1.567,-2.922,-1.297,4.915,0.586,1.729,0.952,-0.563
Obsidian,9,-2.177,-2.914,-1.618,4.007,-0.279,1.567,1.969,0.964
Obsidian,10,-1.513,-2.592,-1.2,4.84,-0.079,1.6,1.109,2.497
Obsidian,11,-2.299,-3.631,-1.583,4.17,-0.344,1.352,1.257,0.87
Obsidian,12,-2.284,-3.4,-1.333,4.229,-0.392,1.916,0.738,0.269
Obsidian,14,-2.811,-3.846,-1.41,2.769,-0.344,2.904,1.378,1.046
Obsidian,16,-2.861,-4.053,-1.255,3.458,-0.613,2.058,1.095,1.039
Pegmatite,3,1.337,0.091,-1.837,2.386,-2.52,3.996,4.344,2.043
Pegmatite,5,0.514,-0.057,0.527,3.845,0.09,3.397,3.394,1.826
Pegmatite,6,3.402,0.346,-0.845,1.372,0.48,4.403,3.399,2.707
Pegmatite,7,0.381,0.242,0.762,2.469,-1.84,4.474,3.762,-0.115
Pegmatite,8,-0.399,-1.056,0.321,3.854,-0.795,4.318,2.142,2.992
Pegmatite,9,1.488,0.246,-1.02,2.489,-2.247,4.371,4.559,1.548
Pegmatite,10,1.898,-0.356,-0.975,2.656,0.6,5.007,5.609,0.558
Pegmatite,11,0.037,-0.113,0.171,3.647,-1.138,5.875,1.583,-0.985
Pegmatite,12,0.782,0.086,-0.062,2.564,-1.058,-0.211,1.164,2.124
Pegmatite,13,1.323,-0.609,1.771,-0.839,-3.723,3.435,1.403,2.085
Pegmatite,15,0.675,0.843,-0.865,3.511,-1.765,3.921,2.608,4.309
Pegmatite,16,2.605,-0.695,-0.35,1.683,-4.104,0.282,0.867,1.691
Peridotite,2,0.233,0.627,2.088,0.001,-0.701,3.575,3.87,1.145
Peridotite,4,0.939,0.851,1.52,0.17,-2.131,3.812,1.278,-1.107
Peridotite,5,-0.605,-0.729,0.539,0.049,0.818,1.926,4.554,0.071
Peridotite,6,-0.27,0.751,0.745,1.556,-1.463,2.88,4.985,0.912
Peridotite,7,-0.303,0.41,0.508,-0.673,-0.164,1.991,4.895,0.582
Peridotite,8,-0.638,-0.195,1.328,-0.616,-1.379,2.11,4.014,0.452
Peridotite,10,0.145,0.943,0.909,-0.122,-0.855,1.207,4.435,0.611
Peridotite,12,0.355,1.259,1.873,0.957,0.007,2.038,3.805,1.578
Peridotite,13,0.575,-0.418,1.255,0.421,1.204,3.21,5.385,-2.201
Peridotite,14,2.231,0.413,-0.487,-1.085,0.989,4.962,3.694,1.449
Peridotite,15,1.095,1.574,0.374,0.933,-0.421,3.645,4.37,-0.996
Peridotite,16,-1.599,-0.396,-0.083,1.341,0.992,3.485,5.085,-0.186
Pumice,2,2.886,-2.492,3.162,0.145,1.13,1.851,0.612,-1.168
Pumice,3,2.696,-2.886,1.827,-1.315,-0.241,3,1.07,0.639
Pumice,4,2.034,-2.923,2.273,-1.167,-0.645,0.77,1.266,-0.339
Pumice,5,2.111,-2.74,2.759,-1.147,-0.684,3.391,3.195,-1.2
Pumice,6,2.631,-2.638,1.466,-1.361,0.291,4.731,1.372,-0.295
Pumice,8,2.716,-2.169,0.607,-1.267,-0.574,-0.377,1.509,-1.357
Pumice,9,2.638,-2.834,2.922,0.574,-0.439,0.886,1.009,-1.4
Pumice,10,3.633,-1.686,2.573,-0.264,0.288,1.185,2.305,-1.072
Pumice,13,2.37,-3.066,1.894,-1.688,-0.46,5.583,1.386,0.183
Pumice,14,1.719,-2.643,2.223,-1.482,-0.848,5.198,0.389,0.267
Pumice,15,1.699,-2.674,2.24,-2.065,-1.234,4.946,1.11,0.064
Pumice,16,0.202,-3.657,2.541,-0.937,-1.714,5.303,-0.404,-0.158
