participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,blocks.order,train_trials.order,SC_cond_filter.thisRepN,SC_cond_filter.thisTrialN,SC_cond_filter.thisN,SC_cond_filter.thisIndex,SC_cond_filter.ran,SC_cond_filter.order
66437fc81d7c8bf0cc3ed9ff,SCN,2024-06-25_18h03.36.420,LearnStrategy,2023.2.3,Win32,59.17159763,1,2,6,,,,,,,,1,01,,,,,,,,,,,6,0.04,0,,,,,,-0.108072917,-0.39453125,1,0,0,0.0405,Pegmatite_rect,5,0,5,0,1,,,,,,,,,,,,,,
66437fc81d7c8bf0cc3ed9ff,SCN,2024-06-25_18h03.36.420,LearnStrategy,2023.2.3,Win32,59.17159763,1,2,7,,,,,,,,5,07,,,,,,,,,,,6,0.58,0,,,,,,-0.08984375,-0.384114583,1,0,0,0.5804,Pegmatite_rect,6,0,6,0,1,,,,,,,,,,,,,,
66437fc81d7c8bf0cc3ed9ff,SCN,2024-06-25_18h03.36.420,LearnStrategy,2023.2.3,Win32,59.17159763,1,2,8,,,,,,,,2,04,,,,,,,,,,,2,4.107,1,,,,,,-0.139322917,-0.255208333,1,0,0,4.1066,Basalt_rect,7,0,7,0,1,,,,,,,,,,,,,,
66437fc81d7c8bf0cc3ed9ff,SCN,2024-06-25_18h03.36.420,LearnStrategy,2023.2.3,Win32,59.17159763,1,2,9,,,,,,,,4,09,,,,,,,,,,,2,0.437,0,,,,,,-0.139322917,-0.255208333,1,0,0,0.4373,Basalt_rect,8,0,8,0,1,,,,,,,,,,,,,,
66437fc81d7c8bf0cc3ed9ff,SCN,2024-06-25_18h03.36.420,LearnStrategy,2023.2.3,Win32,59.17159763,1,2,10,,,,,,,,6,03,,,,,,,,,,,5,1.977,0,,,,,,-0.33203125,-0.384114583,1,0,0,1.9771,Obsidian_rect,9,0,9,0,1,,,,,,,,,,,,,,
66437fc81d7c8bf0cc3ed9ff,SCN,2024-06-25_18h03.36.420,LearnStrategy,2023.2.3,Win32,59.17159763,1,2,11,,,,,,,,1,06,,,,,,,,,,,3,1.639,0,,,,,,0.14453125,-0.268229167,1,0,0,1.6389,Diorite_rect,10,0,10,0,1,,,,,,,,,,,,,,
66437fc81d7c8bf0cc3ed9ff,SCN,2024-06-25_18h03.36.420,LearnStrategy,2023.2.3,Win32,59.17159763,1,2,12,,,,,,,,6,15,,,,,,,,,,,3,0.196,0,,,,,,0.14453125,-0.268229167,1,0,0,0.1956,Diorite_rect,11,0,11,0,1,,,,,,,,,,,,,,
66437fc81d7c8bf0cc3ed9ff,SCN,2024-06-25_18h03.36.420,LearnStrategy,2023.2.3,Win32,59.17159763,1,2,13,,,,,,,,7,16,,,,,,,,,,,2,0.926,0,,,,,,-0.067708333,-0.26953125,1,0,0,0.9265,Basalt_rect,12,0,12,0,1,,,,,,,,,,,,,,
66437fc81d7c8bf0cc3ed9ff,SCN,2024-06-25_18h03.36.420,LearnStrategy,2023.2.3,Win32,59.17159763,1,2,14,,,,,,,,2,14,,,,,,,,,,,7,1.047,0,,,,,,0.153645833,-0.403645833,1,0,0,1.0467,Peridotite_rect,13,0,13,0,1,,,,,,,,,,,,,,
66437fc81d7c8bf0cc3ed9ff,SCN,2024-06-25_18h03.36.420,LearnStrategy,2023.2.3,Win32,59.17159763,1,2,15,,,,,,,,3,07,,,,,,,,,,,8,2.695,0,,,,,,0.352864583,-0.40625,1,0,0,2.6955,Pumice_rect,14,0,14,0,1,,,,,,,,,,,,,,
