participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,blocks.order,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,test_trials.order
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,1,05,1,2,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,4,16,1,3,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,5,16,1,4,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,2,09,1,5,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,8,06,1,6,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,5,02,1,7,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,1,02,1,8,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,8,10,2,1,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,5,10,2,2,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,1,01,2,3,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,3,09,2,4,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,6,03,2,5,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,2,10,2,6,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,2,04,2,7,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,6,11,2,8,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,4,11,3,1,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,7,14,3,2,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,2,12,3,3,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,8,02,3,4,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,2,05,3,5,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,1,03,3,6,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,5,09,3,7,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,2,16,3,8,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,8,15,4,1,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,6,08,4,2,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,7,02,4,3,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,3,06,4,4,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,3,16,4,5,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,3,14,4,6,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,7,07,4,7,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,5,11,4,8,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,4,15,5,1,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,1,09,5,2,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,6,05,5,3,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,7,10,5,4,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,5,07,5,5,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,4,01,5,6,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,4,10,5,7,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,7,08,5,8,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,3,07,6,1,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,4,12,6,2,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,6,12,6,3,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,6,09,6,4,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,7,06,6,5,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,8,16,6,6,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,8,03,6,7,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,1,11,6,8,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,3,08,1,1,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,1,05,1,2,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,4,16,1,3,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,5,16,1,4,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,2,09,1,5,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,8,06,1,6,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,5,02,1,7,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,1,02,1,8,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,8,10,2,1,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,5,10,2,2,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,1,01,2,3,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,3,09,2,4,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,6,03,2,5,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,2,10,2,6,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,2,04,2,7,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,6,11,2,8,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,4,11,3,1,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,7,14,3,2,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,2,12,3,3,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,8,02,3,4,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,2,05,3,5,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,1,03,3,6,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,5,09,3,7,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,2,16,3,8,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,8,15,4,1,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,6,08,4,2,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,7,02,4,3,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,3,06,4,4,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,3,16,4,5,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
64601d5bf3f4d849a794097c,SCN,2024-06-25_10h13.29.448,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,3,14,4,6,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,0,0,0,1,15
