participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse_2.x,learn_mouse_2.y,learn_mouse_2.leftButton,learn_mouse_2.midButton,learn_mouse_2.rightButton,learn_mouse_2.time,learn_mouse_2.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,blocks.order,train_trials.order,R_cond_filter.thisRepN,R_cond_filter.thisTrialN,R_cond_filter.thisN,R_cond_filter.thisIndex,R_cond_filter.ran,R_cond_filter.order
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,6,15,6,3,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,6,06,6,4,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,3,16,6,5,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,2,09,6,6,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,7,07,6,7,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,4,15,6,8,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,4,08,1,1,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,4,05,1,2,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,7,10,1,3,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,1,10,1,4,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,7,12,1,5,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,8,02,1,6,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,7,05,1,7,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,5,07,1,8,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,5,06,2,1,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
