participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_rec,token_rec,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,blocks.order,test_trials.order
65d306f8b16eb5011ccb2025,SCR,2024-06-25_11h23.20.732,LearnStrategy,2023.2.3,Win32,58.47953216,1,1,11,0.233072917,0.404947917,1,0,0,6.9352,Gabbro_08,4,08,6,6,6.935,6,08,0.399739583,-0.248697917,1,0,0,15.2309,Gabbro_rect,4,15.231,1,10,0,10,0,1,,,,,,,,,,,,,,,,,,,,
65d306f8b16eb5011ccb2025,SCR,2024-06-25_11h23.20.732,LearnStrategy,2023.2.3,Win32,58.47953216,1,1,12,0.565104167,0.259114583,1,0,0,6.6545,Basalt_08,2,08,5,8,6.654,5,04,-0.12890625,-0.25,1,0,0,6.1759,Basalt_rect,2,6.176,1,11,0,11,0,1,,,,,,,,,,,,,,,,,,,,
65d306f8b16eb5011ccb2025,SCR,2024-06-25_11h23.20.732,LearnStrategy,2023.2.3,Win32,58.47953216,1,1,13,-0.5390625,0.24609375,1,0,0,11.5301,Pegmatite_15,6,15,5,1,11.53,5,05,-0.37890625,-0.239583333,1,0,0,29.8128,Andesite_rect,1,29.813,0,12,0,12,0,1,,,,,,,,,,,,,,,,,,,,
65d306f8b16eb5011ccb2025,SCR,2024-06-25_11h23.20.732,LearnStrategy,2023.2.3,Win32,58.47953216,1,1,14,0.23828125,0.088541667,1,0,0,16.6265,Gabbro_15,4,15,4,6,16.626,8,05,-0.399739583,-0.234375,1,0,0,11.2651,Andesite_rect,1,11.265,0,13,0,13,0,1,,,,,,,,,,,,,,,,,,,,
65d306f8b16eb5011ccb2025,SCR,2024-06-25_11h23.20.732,LearnStrategy,2023.2.3,Win32,58.47953216,1,1,15,0.061197917,0.092447917,1,0,0,5.9287,Gabbro_03,4,03,4,5,5.929,1,06,0.380208333,-0.255208333,1,0,0,11.0273,Gabbro_rect,4,11.027,1,14,0,14,0,1,,,,,,,,,,,,,,,,,,,,
65d306f8b16eb5011ccb2025,SCR,2024-06-25_11h23.20.732,LearnStrategy,2023.2.3,Win32,58.47953216,1,1,16,0.071614583,-0.104166667,1,0,0,2.8326,Pumice_16,8,16,3,5,2.833,4,09,0.401041667,-0.393229167,1,0,0,4.426,Pumice_rect,8,4.426,1,15,0,15,0,1,,,,,,,,,,,,,,,,,,,,
65d306f8b16eb5011ccb2025,SCR,2024-06-25_11h23.20.732,LearnStrategy,2023.2.3,Win32,58.47953216,1,2,1,,,,,,,,4,16,,,,,,,,,,,,,4,7.778,1,,,,,,0.412760417,-0.235677083,1,0,0,7.778,Gabbro_rect,0,0,0,0,1,,,,,,,,
65d306f8b16eb5011ccb2025,SCR,2024-06-25_11h23.20.732,LearnStrategy,2023.2.3,Win32,58.47953216,1,2,2,,,,,,,,2,09,,,,,,,,,,,,,6,45.975,0,,,,,,-0.119791667,-0.3984375,1,0,0,45.9747,Pegmatite_rect,1,0,1,0,1,,,,,,,,
65d306f8b16eb5011ccb2025,SCR,2024-06-25_11h23.20.732,LearnStrategy,2023.2.3,Win32,58.47953216,1,2,3,,,,,,,,3,09,,,,,,,,,,,,,3,22.692,1,,,,,,0.104166667,-0.264322917,1,0,0,22.6917,Diorite_rect,2,0,2,0,1,,,,,,,,
65d306f8b16eb5011ccb2025,SCR,2024-06-25_11h23.20.732,LearnStrategy,2023.2.3,Win32,58.47953216,1,2,4,,,,,,,,1,14,,,,,,,,,,,,,3,14.731,0,,,,,,0.12109375,-0.233072917,1,0,0,14.7307,Diorite_rect,3,0,3,0,1,,,,,,,,
65d306f8b16eb5011ccb2025,SCR,2024-06-25_11h23.20.732,LearnStrategy,2023.2.3,Win32,58.47953216,1,2,5,,,,,,,,1,04,,,,,,,,,,,,,4,18.041,0,,,,,,0.333333333,-0.233072917,1,0,0,18.0413,Gabbro_rect,4,0,4,0,1,,,,,,,,
65d306f8b16eb5011ccb2025,SCR,2024-06-25_11h23.20.732,LearnStrategy,2023.2.3,Win32,58.47953216,1,2,6,,,,,,,,8,06,,,,,,,,,,,,,8,6.009,1,,,,,,0.39453125,-0.41015625,1,0,0,6.0093,Pumice_rect,5,0,5,0,1,,,,,,,,
65d306f8b16eb5011ccb2025,SCR,2024-06-25_11h23.20.732,LearnStrategy,2023.2.3,Win32,58.47953216,1,2,7,,,,,,,,7,02,,,,,,,,,,,,,3,12.206,0,,,,,,0.12109375,-0.25390625,1,0,0,12.2063,Diorite_rect,6,0,6,0,1,,,,,,,,
65d306f8b16eb5011ccb2025,SCR,2024-06-25_11h23.20.732,LearnStrategy,2023.2.3,Win32,58.47953216,1,2,8,,,,,,,,6,03,,,,,,,,,,,,,6,7.683,1,,,,,,-0.154947917,-0.404947917,1,0,0,7.6835,Pegmatite_rect,7,0,7,0,1,,,,,,,,
65d306f8b16eb5011ccb2025,SCR,2024-06-25_11h23.20.732,LearnStrategy,2023.2.3,Win32,58.47953216,1,2,9,,,,,,,,5,07,,,,,,,,,,,,,5,15.821,1,,,,,,-0.40625,-0.391927083,1,0,0,15.8205,Obsidian_rect,8,0,8,0,1,,,,,,,,
65d306f8b16eb5011ccb2025,SCR,2024-06-25_11h23.20.732,LearnStrategy,2023.2.3,Win32,58.47953216,1,2,10,,,,,,,,3,15,,,,,,,,,,,,,4,26.014,0,,,,,,0.358072917,-0.244791667,1,0,0,26.0145,Gabbro_rect,9,0,9,0,1,,,,,,,,
65d306f8b16eb5011ccb2025,SCR,2024-06-25_11h23.20.732,LearnStrategy,2023.2.3,Win32,58.47953216,1,2,11,,,,,,,,4,12,,,,,,,,,,,,,4,11.475,1,,,,,,0.36328125,-0.244791667,1,0,0,11.4747,Gabbro_rect,10,0,10,0,1,,,,,,,,
65d306f8b16eb5011ccb2025,SCR,2024-06-25_11h23.20.732,LearnStrategy,2023.2.3,Win32,58.47953216,1,2,12,,,,,,,,5,11,,,,,,,,,,,,,5,9.124,1,,,,,,-0.404947917,-0.40625,1,0,0,9.1241,Obsidian_rect,11,0,11,0,1,,,,,,,,
65d306f8b16eb5011ccb2025,SCR,2024-06-25_11h23.20.732,LearnStrategy,2023.2.3,Win32,58.47953216,1,2,13,,,,,,,,6,06,,,,,,,,,,,,,8,13.021,0,,,,,,0.385416667,-0.4140625,1,0,0,13.0208,Pumice_rect,12,0,12,0,1,,,,,,,,
65d306f8b16eb5011ccb2025,SCR,2024-06-25_11h23.20.732,LearnStrategy,2023.2.3,Win32,58.47953216,1,2,14,,,,,,,,8,13,,,,,,,,,,,,,8,4.482,1,,,,,,0.390625,-0.401041667,1,0,0,4.4821,Pumice_rect,13,0,13,0,1,,,,,,,,
65d306f8b16eb5011ccb2025,SCR,2024-06-25_11h23.20.732,LearnStrategy,2023.2.3,Win32,58.47953216,1,2,15,,,,,,,,2,06,,,,,,,,,,,,,4,8.556,0,,,,,,0.36328125,-0.251302083,1,0,0,8.5556,Gabbro_rect,14,0,14,0,1,,,,,,,,
65d306f8b16eb5011ccb2025,SCR,2024-06-25_11h23.20.732,LearnStrategy,2023.2.3,Win32,58.47953216,1,2,16,,,,,,,,7,05,,,,,,,,,,,,,4,44.834,0,,,,,,0.380208333,-0.259114583,1,0,0,44.8336,Gabbro_rect,15,0,15,0,1,,,,,,,,
65d306f8b16eb5011ccb2025,SCR,2024-06-25_11h23.20.732,LearnStrategy,2023.2.3,Win32,58.47953216,2,1,1,0.244791667,0.28125,1,0,0,18.9971,Basalt_02,2,02,5,6,18.997,2,04,-0.415364583,-0.240885417,1,0,0,36.332,Andesite_rect,1,36.332,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
65d306f8b16eb5011ccb2025,SCR,2024-06-25_11h23.20.732,LearnStrategy,2023.2.3,Win32,58.47953216,2,1,2,0.397135417,0.243489583,1,0,0,4.8283,Diorite_02,3,02,5,7,4.828,8,16,0.372395833,-0.247395833,1,0,0,16.2355,Gabbro_rect,4,16.236,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,
65d306f8b16eb5011ccb2025,SCR,2024-06-25_11h23.20.732,LearnStrategy,2023.2.3,Win32,58.47953216,2,1,3,-0.243489583,-0.401041667,1,0,0,5.4931,Peridotite_06,7,06,1,3,5.493,2,04,0.18359375,-0.252604167,1,0,0,13.055,Diorite_rect,3,13.055,0,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,
65d306f8b16eb5011ccb2025,SCR,2024-06-25_11h23.20.732,LearnStrategy,2023.2.3,Win32,58.47953216,2,1,4,0.55078125,0.091145833,1,0,0,3.6486,Peridotite_12,7,12,4,8,3.649,3,14,0.059895833,-0.415364583,1,0,0,13.4552,Peridotite_rect,7,13.455,1,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,
65d306f8b16eb5011ccb2025,SCR,2024-06-25_11h23.20.732,LearnStrategy,2023.2.3,Win32,58.47953216,2,1,5,-0.2265625,-0.09375,1,0,0,6.1964,Andesite_05,1,05,3,3,6.196,6,05,0.098958333,-0.40625,1,0,0,10.3288,Peridotite_rect,7,10.329,0,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,
65d306f8b16eb5011ccb2025,SCR,2024-06-25_11h23.20.732,LearnStrategy,2023.2.3,Win32,58.47953216,2,1,6,-0.233072917,0.096354167,1,0,0,6.7594,Peridotite_15,7,15,4,3,6.759,2,08,-0.3984375,-0.247395833,1,0,0,14.1308,Andesite_rect,1,14.131,0,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,
65d306f8b16eb5011ccb2025,SCR,2024-06-25_11h23.20.732,LearnStrategy,2023.2.3,Win32,58.47953216,2,1,7,-0.239583333,0.40625,1,0,0,3.828,Diorite_06,3,06,6,3,3.828,3,06,0.096354167,-0.244791667,1,0,0,18.7338,Diorite_rect,3,18.734,1,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,
65d306f8b16eb5011ccb2025,SCR,2024-06-25_11h23.20.732,LearnStrategy,2023.2.3,Win32,58.47953216,2,1,8,0.227864583,0.08984375,1,0,0,5.1986,Gabbro_15,4,15,4,6,5.199,1,06,0.109375,-0.25390625,1,0,0,5.9146,Diorite_rect,3,5.915,0,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,
65d306f8b16eb5011ccb2025,SCR,2024-06-25_11h23.20.732,LearnStrategy,2023.2.3,Win32,58.47953216,2,1,9,0.385416667,-0.415364583,1,0,0,9.1451,Peridotite_14,7,14,1,7,9.145,1,06,0.39453125,-0.25390625,1,0,0,11.5564,Gabbro_rect,4,11.556,0,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,
65d306f8b16eb5011ccb2025,SCR,2024-06-25_11h23.20.732,LearnStrategy,2023.2.3,Win32,58.47953216,2,1,10,-0.57421875,-0.401041667,1,0,0,2.6614,Diorite_07,3,07,1,1,2.661,7,10,0.078125,-0.393229167,1,0,0,6.8286,Peridotite_rect,7,6.829,0,9,0,9,0,1,,,,,,,,,,,,,,,,,,,,
65d306f8b16eb5011ccb2025,SCR,2024-06-25_11h23.20.732,LearnStrategy,2023.2.3,Win32,58.47953216,2,1,11,0.201822917,-0.11328125,1,0,0,2.9959,Obsidian_02,5,02,3,6,2.996,5,02,-0.381510417,-0.395833333,1,0,0,7.2833,Obsidian_rect,5,7.283,1,10,0,10,0,1,,,,,,,,,,,,,,,,,,,,
65d306f8b16eb5011ccb2025,SCR,2024-06-25_11h23.20.732,LearnStrategy,2023.2.3,Win32,58.47953216,2,1,12,-0.529947917,-0.088541667,1,0,0,3.2831,Pumice_09,8,09,3,1,3.283,1,10,0.40234375,-0.388020833,1,0,0,6.0172,Pumice_rect,8,6.017,1,11,0,11,0,1,,,,,,,,,,,,,,,,,,,,
65d306f8b16eb5011ccb2025,SCR,2024-06-25_11h23.20.732,LearnStrategy,2023.2.3,Win32,58.47953216,2,1,13,-0.377604167,0.098958333,1,0,0,2.2298,Pegmatite_09,6,09,4,2,2.23,4,03,-0.11328125,-0.38671875,1,0,0,6.4594,Pegmatite_rect,6,6.459,1,12,0,12,0,1,,,,,,,,,,,,,,,,,,,,
65d306f8b16eb5011ccb2025,SCR,2024-06-25_11h23.20.732,LearnStrategy,2023.2.3,Win32,58.47953216,2,1,14,0.09765625,0.083333333,1,0,0,4.7586,Gabbro_03,4,03,4,5,4.759,6,15,-0.154947917,-0.2578125,1,0,0,2.0272,Basalt_rect,2,2.027,0,13,0,13,0,1,,,,,,,,,,,,,,,,,,,,
65d306f8b16eb5011ccb2025,SCR,2024-06-25_11h23.20.732,LearnStrategy,2023.2.3,Win32,58.47953216,2,1,15,0.243489583,-0.109375,1,0,0,1.7114,Obsidian_02,5,02,3,6,1.711,7,14,-0.3671875,-0.40625,1,0,0,3.9714,Obsidian_rect,5,3.971,1,14,0,14,0,1,,,,,,,,,,,,,,,,,,,,
65d306f8b16eb5011ccb2025,SCR,2024-06-25_11h23.20.732,LearnStrategy,2023.2.3,Win32,58.47953216,2,1,16,-0.104166667,-0.2421875,1,0,0,2.2466,Gabbro_13,4,13,2,4,2.247,7,15,0.087239583,-0.403645833,1,0,0,5.9321,Peridotite_rect,7,5.932,0,15,0,15,0,1,,,,,,,,,,,,,,,,,,,,
65d306f8b16eb5011ccb2025,SCR,2024-06-25_11h23.20.732,LearnStrategy,2023.2.3,Win32,58.47953216,2,2,1,,,,,,,,4,11,,,,,,,,,,,,,4,16.938,1,,,,,,0.416666667,-0.236979167,1,0,0,16.9384,Gabbro_rect,0,0,0,0,1,,,,,,,,
65d306f8b16eb5011ccb2025,SCR,2024-06-25_11h23.20.732,LearnStrategy,2023.2.3,Win32,58.47953216,2,2,2,,,,,,,,5,14,,,,,,,,,,,,,5,3.983,1,,,,,,-0.40234375,-0.39453125,1,0,0,3.9826,Obsidian_rect,1,0,1,0,1,,,,,,,,
65d306f8b16eb5011ccb2025,SCR,2024-06-25_11h23.20.732,LearnStrategy,2023.2.3,Win32,58.47953216,2,2,3,,,,,,,,8,08,,,,,,,,,,,,,8,9.411,1,,,,,,0.39453125,-0.393229167,1,0,0,9.4111,Pumice_rect,2,0,2,0,1,,,,,,,,
65d306f8b16eb5011ccb2025,SCR,2024-06-25_11h23.20.732,LearnStrategy,2023.2.3,Win32,58.47953216,2,2,4,,,,,,,,2,01,,,,,,,,,,,,,2,10.866,1,,,,,,-0.106770833,-0.235677083,1,0,0,10.8664,Basalt_rect,3,0,3,0,1,,,,,,,,
65d306f8b16eb5011ccb2025,SCR,2024-06-25_11h23.20.732,LearnStrategy,2023.2.3,Win32,58.47953216,2,2,5,,,,,,,,3,13,,,,,,,,,,,,,7,17.617,0,,,,,,0.10546875,-0.380208333,1,0,0,17.6166,Peridotite_rect,4,0,4,0,1,,,,,,,,
65d306f8b16eb5011ccb2025,SCR,2024-06-25_11h23.20.732,LearnStrategy,2023.2.3,Win32,58.47953216,2,2,6,,,,,,,,6,10,,,,,,,,,,,,,6,16.463,1,,,,,,-0.131510417,-0.40234375,1,0,0,16.4633,Pegmatite_rect,5,0,5,0,1,,,,,,,,
65d306f8b16eb5011ccb2025,SCR,2024-06-25_11h23.20.732,LearnStrategy,2023.2.3,Win32,58.47953216,2,2,7,,,,,,,,1,03,,,,,,,,,,,,,7,22.686,0,,,,,,0.140625,-0.408854167,1,0,0,22.6862,Peridotite_rect,6,0,6,0,1,,,,,,,,
65d306f8b16eb5011ccb2025,SCR,2024-06-25_11h23.20.732,LearnStrategy,2023.2.3,Win32,58.47953216,2,2,8,,,,,,,,4,10,,,,,,,,,,,,,4,25.692,1,,,,,,0.375,-0.2578125,1,0,0,25.6917,Gabbro_rect,7,0,7,0,1,,,,,,,,
65d306f8b16eb5011ccb2025,SCR,2024-06-25_11h23.20.732,LearnStrategy,2023.2.3,Win32,58.47953216,2,2,9,,,,,,,,3,10,,,,,,,,,,,,,3,23.317,1,,,,,,0.114583333,-0.247395833,1,0,0,23.3166,Diorite_rect,8,0,8,0,1,,,,,,,,
65d306f8b16eb5011ccb2025,SCR,2024-06-25_11h23.20.732,LearnStrategy,2023.2.3,Win32,58.47953216,2,2,10,,,,,,,,1,09,,,,,,,,,,,,,3,18.025,0,,,,,,0.114583333,-0.251302083,1,0,0,18.0246,Diorite_rect,9,0,9,0,1,,,,,,,,
65d306f8b16eb5011ccb2025,SCR,2024-06-25_11h23.20.732,LearnStrategy,2023.2.3,Win32,58.47953216,2,2,11,,,,,,,,8,04,,,,,,,,,,,,,8,7.552,1,,,,,,0.385416667,-0.395833333,1,0,0,7.5522,Pumice_rect,10,0,10,0,1,,,,,,,,
65d306f8b16eb5011ccb2025,SCR,2024-06-25_11h23.20.732,LearnStrategy,2023.2.3,Win32,58.47953216,2,2,12,,,,,,,,2,11,,,,,,,,,,,,,8,5.748,0,,,,,,0.389322917,-0.39453125,1,0,0,5.7483,Pumice_rect,11,0,11,0,1,,,,,,,,
65d306f8b16eb5011ccb2025,SCR,2024-06-25_11h23.20.732,LearnStrategy,2023.2.3,Win32,58.47953216,2,2,13,,,,,,,,6,16,,,,,,,,,,,,,6,7.559,1,,,,,,-0.122395833,-0.395833333,1,0,0,7.5586,Pegmatite_rect,12,0,12,0,1,,,,,,,,
65d306f8b16eb5011ccb2025,SCR,2024-06-25_11h23.20.732,LearnStrategy,2023.2.3,Win32,58.47953216,2,2,14,,,,,,,,7,16,,,,,,,,,,,,,3,29.359,0,,,,,,0.1484375,-0.236979167,1,0,0,29.3587,Diorite_rect,13,0,13,0,1,,,,,,,,
65d306f8b16eb5011ccb2025,SCR,2024-06-25_11h23.20.732,LearnStrategy,2023.2.3,Win32,58.47953216,2,2,15,,,,,,,,5,16,,,,,,,,,,,,,5,4.512,1,,,,,,-0.393229167,-0.390625,1,0,0,4.5123,Obsidian_rect,14,0,14,0,1,,,,,,,,
65d306f8b16eb5011ccb2025,SCR,2024-06-25_11h23.20.732,LearnStrategy,2023.2.3,Win32,58.47953216,2,2,16,,,,,,,,7,04,,,,,,,,,,,,,7,16.258,1,,,,,,0.153645833,-0.4140625,1,0,0,16.2581,Peridotite_rect,15,0,15,0,1,,,,,,,,
65d306f8b16eb5011ccb2025,SCR,2024-06-25_11h23.20.732,LearnStrategy,2023.2.3,Win32,58.47953216,3,1,1,0.373697917,-0.23828125,1,0,0,6.6647,Pegmatite_08,6,08,2,7,6.665,8,15,-0.157552083,-0.39453125,1,0,0,8.4297,Pegmatite_rect,6,8.43,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
65d306f8b16eb5011ccb2025,SCR,2024-06-25_11h23.20.732,LearnStrategy,2023.2.3,Win32,58.47953216,3,1,2,-0.2265625,-0.0859375,1,0,0,7.3462,Andesite_05,1,05,3,3,7.346,1,05,0.131510417,-0.236979167,1,0,0,5.6151,Diorite_rect,3,5.615,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,
65d306f8b16eb5011ccb2025,SCR,2024-06-25_11h23.20.732,LearnStrategy,2023.2.3,Win32,58.47953216,3,1,3,0.235677083,0.083333333,1,0,0,3.2475,Gabbro_15,4,15,4,6,3.247,2,14,0.390625,-0.252604167,1,0,0,10.4779,Gabbro_rect,4,10.478,1,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,
65d306f8b16eb5011ccb2025,SCR,2024-06-25_11h23.20.732,LearnStrategy,2023.2.3,Win32,58.47953216,3,1,4,0.069010417,0.087239583,1,0,0,1.61,Gabbro_03,4,03,4,5,1.61,3,07,0.346354167,-0.23828125,1,0,0,3.6915,Gabbro_rect,4,3.692,1,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,
65d306f8b16eb5011ccb2025,SCR,2024-06-25_11h23.20.732,LearnStrategy,2023.2.3,Win32,58.47953216,3,1,5,0.084635417,-0.388020833,1,0,0,1.5475,Basalt_05,2,05,1,5,1.548,6,08,-0.157552083,-0.244791667,1,0,0,4.8105,Basalt_rect,2,4.811,1,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,
65d306f8b16eb5011ccb2025,SCR,2024-06-25_11h23.20.732,LearnStrategy,2023.2.3,Win32,58.47953216,3,1,6,-0.06640625,-0.421875,1,0,0,3.2785,Pumice_02,8,02,1,4,3.278,7,07,-0.0625,-0.40234375,1,0,0,3.3621,Pegmatite_rect,6,3.362,0,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,
65d306f8b16eb5011ccb2025,SCR,2024-06-25_11h23.20.732,LearnStrategy,2023.2.3,Win32,58.47953216,3,1,7,0.540364583,-0.412760417,1,0,0,1.8789,Pumice_10,8,10,1,8,1.879,3,06,0.390625,-0.391927083,1,0,0,5.4453,Pumice_rect,8,5.445,1,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,
65d306f8b16eb5011ccb2025,SCR,2024-06-25_11h23.20.732,LearnStrategy,2023.2.3,Win32,58.47953216,3,1,8,-0.541666667,-0.401041667,1,0,0,1.8445,Diorite_07,3,07,1,1,1.845,1,01,0.118489583,-0.403645833,1,0,0,3.4354,Peridotite_rect,7,3.435,0,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,
65d306f8b16eb5011ccb2025,SCR,2024-06-25_11h23.20.732,LearnStrategy,2023.2.3,Win32,58.47953216,3,1,9,0.384114583,0.25390625,1,0,0,5.2333,Diorite_02,3,02,5,7,5.233,1,05,0.399739583,-0.231770833,1,0,0,2.9602,Gabbro_rect,4,2.96,0,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,
65d306f8b16eb5011ccb2025,SCR,2024-06-25_11h23.20.732,LearnStrategy,2023.2.3,Win32,58.47953216,3,1,10,-0.38671875,0.260416667,1,0,0,4.6868,Andesite_01,1,01,5,2,4.687,7,07,0.40625,-0.24609375,1,0,0,7.2959,Gabbro_rect,4,7.296,0,9,0,9,0,1,,,,,,,,,,,,,,,,,,,,
65d306f8b16eb5011ccb2025,SCR,2024-06-25_11h23.20.732,LearnStrategy,2023.2.3,Win32,58.47953216,3,1,11,0.104166667,0.260416667,1,0,0,1.3768,Pumice_05,8,05,5,5,1.377,2,02,0.45703125,-0.403645833,1,0,0,8.7139,Pumice_rect,8,8.714,1,10,0,10,0,1,,,,,,,,,,,,,,,,,,,,
