participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,blocks.order,train_trials.order
65a91d4a92194759e6a7597c,SCN,2024-06-11_12h11.14.595,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,5,,,,,,,,6,12,,,,,,,,,,,6,1.399,1,,,,,,-0.147135417,-0.3984375,1,0,0,1.3986,Pegmatite_rect,4,0,4,0,1,,,,,,,,
65a91d4a92194759e6a7597c,SCN,2024-06-11_12h11.14.595,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,6,,,,,,,,2,14,,,,,,,,,,,4,1.848,0,,,,,,0.334635417,-0.236979167,1,0,0,1.8478,Gabbro_rect,5,0,5,0,1,,,,,,,,
65a91d4a92194759e6a7597c,SCN,2024-06-11_12h11.14.595,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,7,,,,,,,,5,08,,,,,,,,,,,5,1.796,1,,,,,,-0.369791667,-0.385416667,1,0,0,1.7963,Obsidian_rect,6,0,6,0,1,,,,,,,,
65a91d4a92194759e6a7597c,SCN,2024-06-11_12h11.14.595,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,8,,,,,,,,5,09,,,,,,,,,,,7,1.6,0,,,,,,0.10546875,-0.40234375,1,0,0,1.6004,Peridotite_rect,7,0,7,0,1,,,,,,,,
65a91d4a92194759e6a7597c,SCN,2024-06-11_12h11.14.595,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,9,,,,,,,,8,05,,,,,,,,,,,8,1.319,1,,,,,,0.432291667,-0.412760417,1,0,0,1.3188,Pumice_rect,8,0,8,0,1,,,,,,,,
65a91d4a92194759e6a7597c,SCN,2024-06-11_12h11.14.595,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,10,,,,,,,,1,07,,,,,,,,,,,6,2.491,0,,,,,,-0.126302083,-0.38671875,1,0,0,2.4915,Pegmatite_rect,9,0,9,0,1,,,,,,,,
65a91d4a92194759e6a7597c,SCN,2024-06-11_12h11.14.595,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,11,,,,,,,,2,11,,,,,,,,,,,2,2.312,1,,,,,,-0.157552083,-0.260416667,1,0,0,2.3117,Basalt_rect,10,0,10,0,1,,,,,,,,
65a91d4a92194759e6a7597c,SCN,2024-06-11_12h11.14.595,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,12,,,,,,,,4,09,,,,,,,,,,,6,2.657,0,,,,,,-0.127604167,-0.411458333,1,0,0,2.657,Pegmatite_rect,11,0,11,0,1,,,,,,,,
65a91d4a92194759e6a7597c,SCN,2024-06-11_12h11.14.595,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,13,,,,,,,,6,11,,,,,,,,,,,5,1.978,0,,,,,,-0.328125,-0.404947917,1,0,0,1.9781,Obsidian_rect,12,0,12,0,1,,,,,,,,
65a91d4a92194759e6a7597c,SCN,2024-06-11_12h11.14.595,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,14,,,,,,,,8,14,,,,,,,,,,,3,3.843,0,,,,,,0.143229167,-0.255208333,1,0,0,3.8432,Diorite_rect,13,0,13,0,1,,,,,,,,
65a91d4a92194759e6a7597c,SCN,2024-06-11_12h11.14.595,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,15,,,,,,,,1,01,,,,,,,,,,,8,2.954,0,,,,,,0.34765625,-0.4140625,1,0,0,2.9538,Pumice_rect,14,0,14,0,1,,,,,,,,
65a91d4a92194759e6a7597c,SCN,2024-06-11_12h11.14.595,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,16,,,,,,,,3,09,,,,,,,,,,,3,5.407,1,,,,,,0.166666667,-0.234375,1,0,0,5.4072,Diorite_rect,15,0,15,0,1,,,,,,,,
65a91d4a92194759e6a7597c,SCN,2024-06-11_12h11.14.595,LearnStrategy,2023.2.3,Win32,60.24096386,2,1,1,-0.55078125,0.416666667,1,0,0,2.1819,Basalt_01,2,01,6,1,2.182,-0.15234375,-0.235677083,1,0,0,1.4158,Basalt_rect,2,1.416,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
65a91d4a92194759e6a7597c,SCN,2024-06-11_12h11.14.595,LearnStrategy,2023.2.3,Win32,60.24096386,2,1,2,-0.229166667,-0.106770833,1,0,0,2.7397,Pegmatite_13,6,13,3,3,2.74,-0.08203125,-0.3828125,1,0,0,1.5485,Pegmatite_rect,6,1.548,1,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,
65a91d4a92194759e6a7597c,SCN,2024-06-11_12h11.14.595,LearnStrategy,2023.2.3,Win32,60.24096386,2,1,3,0.049479167,-0.231770833,1,0,0,1.1484,Pegmatite_08,6,08,2,5,1.148,-0.057291667,-0.401041667,1,0,0,0.8813,Pegmatite_rect,6,0.881,1,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,
65a91d4a92194759e6a7597c,SCN,2024-06-11_12h11.14.595,LearnStrategy,2023.2.3,Win32,60.24096386,2,1,4,0.407552083,-0.11328125,1,0,0,3.4542,Basalt_02,2,02,3,7,3.454,-0.100260417,-0.248697917,1,0,0,1.3187,Basalt_rect,2,1.319,1,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,
65a91d4a92194759e6a7597c,SCN,2024-06-11_12h11.14.595,LearnStrategy,2023.2.3,Win32,60.24096386,2,1,5,-0.541666667,-0.38671875,1,0,0,3.7136,Gabbro_11,4,11,1,1,3.714,-0.178385417,-0.25,1,0,0,1.7273,Basalt_rect,2,1.727,0,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,
65a91d4a92194759e6a7597c,SCN,2024-06-11_12h11.14.595,LearnStrategy,2023.2.3,Win32,60.24096386,2,1,6,0.223958333,0.369791667,1,0,0,1.8819,Obsidian_07,5,07,6,6,1.882,-0.388020833,-0.401041667,1,0,0,1.0107,Obsidian_rect,5,1.011,1,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,
65a91d4a92194759e6a7597c,SCN,2024-06-11_12h11.14.595,LearnStrategy,2023.2.3,Win32,60.24096386,2,1,7,0.385416667,0.25,1,0,0,3.6487,Obsidian_12,5,12,5,7,3.649,-0.380208333,-0.390625,1,0,0,1.639,Obsidian_rect,5,1.639,1,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,
65a91d4a92194759e6a7597c,SCN,2024-06-11_12h11.14.595,LearnStrategy,2023.2.3,Win32,60.24096386,2,1,8,-0.376302083,0.100260417,1,0,0,1.4152,Obsidian_02,5,02,4,2,1.415,-0.375,-0.397135417,1,0,0,1.325,Obsidian_rect,5,1.325,1,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,
65a91d4a92194759e6a7597c,SCN,2024-06-11_12h11.14.595,LearnStrategy,2023.2.3,Win32,60.24096386,2,1,9,0.05859375,-0.100260417,1,0,0,1.4315,Obsidian_04,5,04,3,5,1.432,-0.345052083,-0.388020833,1,0,0,1.3815,Obsidian_rect,5,1.381,1,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,
65a91d4a92194759e6a7597c,SCN,2024-06-11_12h11.14.595,LearnStrategy,2023.2.3,Win32,60.24096386,2,1,10,-0.37890625,0.4140625,1,0,0,4.1981,Obsidian_14,5,14,6,2,4.198,-0.33984375,-0.41015625,1,0,0,1.2552,Obsidian_rect,5,1.255,1,9,0,9,0,1,,,,,,,,,,,,,,,,,,,,
65a91d4a92194759e6a7597c,SCN,2024-06-11_12h11.14.595,LearnStrategy,2023.2.3,Win32,60.24096386,2,1,11,-0.240885417,0.360677083,1,0,0,5.6307,Diorite_16,3,16,6,3,5.631,0.122395833,-0.385416667,1,0,0,2.0972,Peridotite_rect,7,2.097,0,10,0,10,0,1,,,,,,,,,,,,,,,,,,,,
