width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_type,trial_index,plugin_version,time_elapsed,subjID,condition,stimID,rt,url,success,value,timeout,failed_images,failed_audio,failed_video,view_history,stimulus,response,trialType,cycle,phase,trial,resp,cat,token,corr,resp_num,cat_num,ref_cat_num,paired_cat_num,time_obs,ref_cat,paired_cat,ref_prob_dist,paired_prob_dist,text_Diorite,text_Pegmatite,time_resp,text_Peridotite,text_Andesite,text_Basalt,time_fb1,time_fb2,text_Gabbro,text_Pumice
,,,,,,,,,,,html-keyboard-response,80,2.0.0,197273,66908eecc135ec77905c2810,3,38,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,37,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,81,2.0.0,199545,66908eecc135ec77905c2810,3,38,2271,,,,,,,,,"<img src= ""rock_img/I_Andesite_02.jpg"" style=""width:8cm; height:8.5cm;""><p>What type of rock is this?</p>",2,class_response,0,test,38,Diorite,Andesite,2,FALSE,3,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,82,2.0.0,200059,66908eecc135ec77905c2810,3,38,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,38,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,83,2.0.0,202363,66908eecc135ec77905c2810,3,38,2304,,,,,,,,,"<img src= ""rock_img/I_Peridotite_02.jpg"" style=""width:8cm; height:5.859999999999999cm;""><p>What type of rock is this?</p>",3,class_response,0,test,39,Gabbro,Peridotite,2,FALSE,4,7,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,84,2.0.0,202867,66908eecc135ec77905c2810,3,38,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,39,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,85,2.0.0,204627,66908eecc135ec77905c2810,3,38,1759,,,,,,,,,"<img src= ""rock_img/I_Pegmatite_16.jpg"" style=""width:8cm; height:5.8cm;""><p>What type of rock is this?</p>",0,class_response,0,test,40,Andesite,Pegmatite,16,FALSE,1,6,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,86,2.0.0,205138,66908eecc135ec77905c2810,3,38,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,40,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,87,2.0.0,206469,66908eecc135ec77905c2810,3,38,1329,,,,,,,,,"<img src= ""rock_img/I_Pumice_02.jpg"" style=""width:8cm; height:7.3999999999999995cm;""><p>What type of rock is this?</p>",7,class_response,0,test,41,Pumice,Pumice,2,TRUE,8,8,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,88,2.0.0,206972,66908eecc135ec77905c2810,3,38,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,41,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,89,2.0.0,208125,66908eecc135ec77905c2810,3,38,1152,,,,,,,,,"<img src= ""rock_img/I_Pegmatite_06.jpg"" style=""width:8cm; height:5.17cm;""><p>What type of rock is this?</p>",1,class_response,0,test,42,Basalt,Pegmatite,6,FALSE,2,6,,,,,,,,,,,,,,,,,
