width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_type,trial_index,plugin_version,time_elapsed,subjID,condition,stimID,rt,url,success,value,timeout,failed_images,failed_audio,failed_video,view_history,stimulus,response,trialType,cycle,phase,trial,resp,cat,token,corr,resp_num,cat_num,ref_cat_num,paired_cat_num,time_obs,ref_cat,paired_cat,ref_prob_dist,paired_prob_dist,text_Diorite,text_Gabbro,time_resp,text_Pegmatite,text_Peridotite,text_Andesite,text_Pumice,time_fb1,time_fb2
,,,,,,,,,,,html-keyboard-response,48,2.0.0,392505,66aa67e1fb6c20fb6beae30e,3,21,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,21,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,49,2.0.0,396036,66aa67e1fb6c20fb6beae30e,3,21,3509,,,,,,,,,"<img src= ""rock_img/I_Peridotite_07.jpg"" style=""width:8cm; height:4.83cm;""><p>What type of rock is this?</p>",5,class_response,0,test,22,Pegmatite,Peridotite,7,FALSE,6,7,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,50,2.0.0,396563,66aa67e1fb6c20fb6beae30e,3,21,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,22,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,51,2.0.0,439862,66aa67e1fb6c20fb6beae30e,3,21,43235,,,,,,,,,"<img src= ""rock_img/I_Pumice_10.jpg"" style=""width:8cm; height:7.609999999999999cm;""><p>What type of rock is this?</p>",7,class_response,0,test,23,Pumice,Pumice,10,TRUE,8,8,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,52,2.0.0,440417,66aa67e1fb6c20fb6beae30e,3,21,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,23,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,53,2.0.0,468085,66aa67e1fb6c20fb6beae30e,3,21,27642,,,,,,,,,"<img src= ""rock_img/I_Andesite_06.jpg"" style=""width:8cm; height:6.840000000000001cm;""><p>What type of rock is this?</p>",2,class_response,0,test,24,Diorite,Andesite,6,FALSE,3,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,54,2.0.0,468612,66aa67e1fb6c20fb6beae30e,3,21,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,24,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,55,2.0.0,501489,66aa67e1fb6c20fb6beae30e,3,21,32829,,,,,,,,,"<img src= ""rock_img/I_Pumice_16.jpg"" style=""width:8cm; height:6.79cm;""><p>What type of rock is this?</p>",0,class_response,0,test,25,Andesite,Pumice,16,FALSE,1,8,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,56,2.0.0,502040,66aa67e1fb6c20fb6beae30e,3,21,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,25,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,57,2.0.0,524541,66aa67e1fb6c20fb6beae30e,3,21,22475,,,,,,,,,"<img src= ""rock_img/I_Diorite_16.jpg"" style=""width:8cm; height:6.74cm;""><p>What type of rock is this?</p>",3,class_response,0,test,26,Gabbro,Diorite,16,FALSE,4,3,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,58,2.0.0,525069,66aa67e1fb6c20fb6beae30e,3,21,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,26,,,,,,,,,,,,,,,,,,,,,,
