width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_type,trial_index,plugin_version,time_elapsed,subjID,condition,stimID,rt,url,success,value,timeout,failed_images,failed_audio,failed_video,view_history,stimulus,response,trialType,cycle,phase,trial,resp,cat,token,corr,resp_num,cat_num,rt_ref,rt_paired,ref_cat_num,paired_cat_num,ref_cat,paired_cat,text_Pegmatite,text_Andesite,time_obs,time_resp,text_Peridotite,text_Diorite,text_Gabbro,text_Basalt,time_fb1,time_fb2,text_Pumice
,,,,,,,,,,,html-button-response,107,2.0.0,384696,5ffb8c5b60571908f3ac19fa,4,45,9213,,,,,,,,,"<img src= rock_img/I_Peridotite_13.jpg style=""width:8cm; height:7.58cm;""><p style='font-size: 30px; color: red;'><strong>Incorrect!</strong></p><p style='font-size: 30px;'><strong>This rock is peridotite</strong></p>",0,corr_feedback,1,train,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,108,2.0.0,395099,5ffb8c5b60571908f3ac19fa,4,45,10399,,,,,,,,,"<img src= ""rock_img/I_Peridotite_04.jpg"" style=""width:8cm; height:6.680000000000001cm;""><p>What type of rock is this?</p>",2,class_response,1,train,2,Diorite,Peridotite,4,FALSE,3,7,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,109,2.0.0,399360,5ffb8c5b60571908f3ac19fa,4,45,4259,,,,,,,,,"<img src= rock_img/I_Peridotite_04.jpg style=""width:8cm; height:6.680000000000001cm;""><p style='font-size: 30px; color: red;'><strong>Incorrect!</strong></p><p style='font-size: 30px;'><strong>This rock is peridotite</strong></p>",0,corr_feedback,1,train,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,110,2.0.0,404294,5ffb8c5b60571908f3ac19fa,4,45,4930,,,,,,,,,"<img src= ""rock_img/I_Gabbro_12.jpg"" style=""width:8cm; height:7.800000000000001cm;""><p>What type of rock is this?</p>",0,class_response,1,train,3,Andesite,Gabbro,12,FALSE,1,4,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,111,2.0.0,409801,5ffb8c5b60571908f3ac19fa,4,45,5504,,,,,,,,,"<img src= rock_img/I_Gabbro_12.jpg style=""width:8cm; height:7.800000000000001cm;""><p style='font-size: 30px; color: red;'><strong>Incorrect!</strong></p><p style='font-size: 30px;'><strong>This rock is gabbro</strong></p>",0,corr_feedback,1,train,3,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,112,2.0.0,424236,5ffb8c5b60571908f3ac19fa,4,45,14431,,,,,,,,,"<img src= ""rock_img/I_Diorite_11.jpg"" style=""width:8cm; height:7.11cm;""><p>What type of rock is this?</p>",3,class_response,1,train,4,Gabbro,Diorite,11,FALSE,4,3,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,113,2.0.0,429243,5ffb8c5b60571908f3ac19fa,4,45,5003,,,,,,,,,"<img src= rock_img/I_Diorite_11.jpg style=""width:8cm; height:7.11cm;""><p style='font-size: 30px; color: red;'><strong>Incorrect!</strong></p><p style='font-size: 30px;'><strong>This rock is diorite</strong></p>",0,corr_feedback,1,train,4,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,114,2.0.0,442964,5ffb8c5b60571908f3ac19fa,4,45,13716,,,,,,,,,"<img src= ""rock_img/I_Basalt_09.jpg"" style=""width:8cm; height:6.2cm;""><p>What type of rock is this?</p>",1,class_response,1,train,5,Basalt,Basalt,9,TRUE,2,2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,115,2.0.0,448141,5ffb8c5b60571908f3ac19fa,4,45,5174,,,,,,,,,"<img src= rock_img/I_Basalt_09.jpg style=""width:8cm; height:6.2cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is basalt</strong></p>",0,corr_feedback,1,train,5,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,116,2.0.0,455003,5ffb8c5b60571908f3ac19fa,4,45,6858,,,,,,,,,"<img src= ""rock_img/I_Pegmatite_11.jpg"" style=""width:8cm; height:8.14cm;""><p>What type of rock is this?</p>",0,class_response,1,train,6,Andesite,Pegmatite,11,FALSE,1,6,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,117,2.0.0,458805,5ffb8c5b60571908f3ac19fa,4,45,3800,,,,,,,,,"<img src= rock_img/I_Pegmatite_11.jpg style=""width:8cm; height:8.14cm;""><p style='font-size: 30px; color: red;'><strong>Incorrect!</strong></p><p style='font-size: 30px;'><strong>This rock is pegmatite</strong></p>",0,corr_feedback,1,train,6,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,118,2.0.0,474125,5ffb8c5b60571908f3ac19fa,4,45,15315,,,,,,,,,"<img src= ""rock_img/I_Pumice_03.jpg"" style=""width:8cm; height:6.64cm;""><p>What type of rock is this?</p>",7,class_response,1,train,7,Pumice,Pumice,3,TRUE,8,8,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,119,2.0.0,476557,5ffb8c5b60571908f3ac19fa,4,45,2429,,,,,,,,,"<img src= rock_img/I_Pumice_03.jpg style=""width:8cm; height:6.64cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is pumice</strong></p>",0,corr_feedback,1,train,7,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,120,2.0.0,490605,5ffb8c5b60571908f3ac19fa,4,45,14045,,,,,,,,,"<img src= ""rock_img/I_Diorite_14.jpg"" style=""width:8cm; height:5.71cm;""><p>What type of rock is this?</p>",2,class_response,1,train,8,Diorite,Diorite,14,TRUE,3,3,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,121,2.0.0,492650,5ffb8c5b60571908f3ac19fa,4,45,2041,,,,,,,,,"<img src= rock_img/I_Diorite_14.jpg style=""width:8cm; height:5.71cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is diorite</strong></p>",0,corr_feedback,1,train,8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,122,2.0.0,496864,5ffb8c5b60571908f3ac19fa,4,45,4210,,,,,,,,,"<img src= ""rock_img/I_Andesite_11.jpg"" style=""width:8cm; height:4.92cm;""><p>What type of rock is this?</p>",1,class_response,1,train,9,Basalt,Andesite,11,FALSE,2,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,123,2.0.0,503082,5ffb8c5b60571908f3ac19fa,4,45,6215,,,,,,,,,"<img src= rock_img/I_Andesite_11.jpg style=""width:8cm; height:4.92cm;""><p style='font-size: 30px; color: red;'><strong>Incorrect!</strong></p><p style='font-size: 30px;'><strong>This rock is andesite</strong></p>",0,corr_feedback,1,train,9,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,124,2.0.0,506171,5ffb8c5b60571908f3ac19fa,4,45,3083,,,,,,,,,"<img src= ""rock_img/I_Andesite_14.jpg"" style=""width:8cm; height:5.449999999999999cm;""><p>What type of rock is this?</p>",6,class_response,1,train,10,Peridotite,Andesite,14,FALSE,7,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,125,2.0.0,510084,5ffb8c5b60571908f3ac19fa,4,45,3910,,,,,,,,,"<img src= rock_img/I_Andesite_14.jpg style=""width:8cm; height:5.449999999999999cm;""><p style='font-size: 30px; color: red;'><strong>Incorrect!</strong></p><p style='font-size: 30px;'><strong>This rock is andesite</strong></p>",0,corr_feedback,1,train,10,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,126,2.0.0,511885,5ffb8c5b60571908f3ac19fa,4,45,1796,,,,,,,,,"<img src= ""rock_img/I_Obsidian_10.jpg"" style=""width:8cm; height:6.260000000000001cm;""><p>What type of rock is this?</p>",4,class_response,1,train,11,Obsidian,Obsidian,10,TRUE,5,5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,127,2.0.0,515322,5ffb8c5b60571908f3ac19fa,4,45,3433,,,,,,,,,"<img src= rock_img/I_Obsidian_10.jpg style=""width:8cm; height:6.260000000000001cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is obsidian</strong></p>",0,corr_feedback,1,train,11,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,128,2.0.0,554855,5ffb8c5b60571908f3ac19fa,4,45,39530,,,,,,,,,"<img src= ""rock_img/I_Pumice_08.jpg"" style=""width:8cm; height:6.67cm;""><p>What type of rock is this?</p>",7,class_response,1,train,12,Pumice,Pumice,8,TRUE,8,8,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,129,2.0.0,557043,5ffb8c5b60571908f3ac19fa,4,45,2185,,,,,,,,,"<img src= rock_img/I_Pumice_08.jpg style=""width:8cm; height:6.67cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is pumice</strong></p>",0,corr_feedback,1,train,12,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,instructions,130,2.0.0,634801,5ffb8c5b60571908f3ac19fa,4,45,77756,,,,,,,,"[{""page_index"":0,""viewing_time"":27059},{""page_index"":1,""viewing_time"":17138},{""page_index"":2,""viewing_time"":24631},{""page_index"":3,""viewing_time"":8929}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,131,2.0.0,636966,5ffb8c5b60571908f3ac19fa,4,45,2162,,,,,,,,,,0,start_train,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,132,2.0.0,660077,5ffb8c5b60571908f3ac19fa,4,45,,,,,,,,,,,,cat_selection,1,train,1,,,,,,,12908.1,10200.5,6,1,Pegmatite,Andesite,,,,,,,,,,,
,,,,,,,,,,,paired-cat-display,133,1.0.0,859476,5ffb8c5b60571908f3ac19fa,4,45,,,,,,,,,,,,paired_cat_display,1,train,1,,,,,,,,,,,,,"Has more distinct colors, smooth stone surfaces embedded in rough, hard looking rock. Has black smooth stone scattered throughout rock. Has large mineral grains.","More of a neutral, gray tone. Has specks or dots scattered throughout that are mostly white. Has small mineral grains/specks. ",13981.8,185405.5,,,,,,,
,,,,,,,,,,,html-button-response,134,2.0.0,892044,5ffb8c5b60571908f3ac19fa,4,45,,,,,,,,,,,,cat_selection,1,train,2,,,,,,,23015.9,9548.6,7,3,Peridotite,Diorite,,,,,,,,,,,
,,,,,,,,,,,paired-cat-display,135,1.0.0,977695,5ffb8c5b60571908f3ac19fa,4,45,,,,,,,,,,,,paired_cat_display,1,train,2,,,,,,,,,,,,,,,6313.6,79330,Has color mineral clustered closely together. Looks rough and phosphorus in texture.,"Has black and white dotted patterns, looking like mold. Looks to have a smoother surface. ",,,,,
,,,,,,,,,,,html-button-response,136,2.0.0,1003821,5ffb8c5b60571908f3ac19fa,4,45,,,,,,,,,,,,cat_selection,1,train,3,,,,,,,24263.2,1859.9,4,2,Gabbro,Basalt,,,,,,,,,,,
,,,,,,,,,,,paired-cat-display,137,1.0.0,1108939,5ffb8c5b60571908f3ac19fa,4,45,,,,,,,,,,,,paired_cat_display,1,train,3,,,,,,,,,,,,,,,6172.6,98939.6,,,Has little imperfections in color. More coarse looking. ,More monotoned and muted in color. smoother texture.,,,
,,,,,,,,,,,instructions,138,2.0.0,1136658,5ffb8c5b60571908f3ac19fa,4,45,27714,,,,,,,,"[{""page_index"":0,""viewing_time"":8426},{""page_index"":1,""viewing_time"":19287}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,139,2.0.0,1139083,5ffb8c5b60571908f3ac19fa,4,45,2422,,,,,,,,,,0,start_test,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,140,2.0.0,1204301,5ffb8c5b60571908f3ac19fa,4,45,65214,,,,,,,,,"<img src= ""rock_img/I_Andesite_05.jpg"" style=""width:8cm; height:4.12cm;""><p>What type of rock is this?</p>",0,class_response,1,test,1,Andesite,Andesite,5,TRUE,1,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,141,2.0.0,1204806,5ffb8c5b60571908f3ac19fa,4,45,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,1,test,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,142,2.0.0,1254765,5ffb8c5b60571908f3ac19fa,4,45,49956,,,,,,,,,"<img src= ""rock_img/I_Diorite_15.jpg"" style=""width:8cm; height:5.54cm;""><p>What type of rock is this?</p>",7,class_response,1,test,2,Pumice,Diorite,15,FALSE,8,3,,,,,,,,,,,,,,,,,
