width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_type,trial_index,plugin_version,time_elapsed,subjID,condition,stimID,rt,url,success,value,timeout,failed_images,failed_audio,failed_video,view_history,stimulus,response,trialType,cycle,phase,trial,resp,cat,token,corr,resp_num,cat_num,ref_cat_num,paired_cat_num,time_obs,ref_cat,paired_cat,ref_prob_dist,paired_prob_dist,text_Diorite,text_Gabbro,time_resp,text_Peridotite,text_Basalt,text_Pumice,time_fb1,time_fb2,text_Andesite,text_Pegmatite
,,,,,,,,,,,html-keyboard-response,24,2.0.0,117976,614b3d6a4f76b8dfc939adf0,3,5,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,9,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,25,2.0.0,121628,614b3d6a4f76b8dfc939adf0,3,5,3646,,,,,,,,,"<img src= ""rock_img/I_Peridotite_16.jpg"" style=""width:8cm; height:6.989999999999999cm;""><p>What type of rock is this?</p>",6,class_response,0,test,10,Peridotite,Peridotite,16,TRUE,7,7,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,26,2.0.0,122137,614b3d6a4f76b8dfc939adf0,3,5,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,10,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,27,2.0.0,125018,614b3d6a4f76b8dfc939adf0,3,5,2877,,,,,,,,,"<img src= ""rock_img/I_Diorite_07.jpg"" style=""width:8cm; height:5.239999999999999cm;""><p>What type of rock is this?</p>",1,class_response,0,test,11,Basalt,Diorite,7,FALSE,2,3,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,28,2.0.0,125520,614b3d6a4f76b8dfc939adf0,3,5,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,11,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,29,2.0.0,127617,614b3d6a4f76b8dfc939adf0,3,5,2094,,,,,,,,,"<img src= ""rock_img/I_Obsidian_07.jpg"" style=""width:8cm; height:4.76cm;""><p>What type of rock is this?</p>",4,class_response,0,test,12,Obsidian,Obsidian,7,TRUE,5,5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,30,2.0.0,128119,614b3d6a4f76b8dfc939adf0,3,5,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,12,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,31,2.0.0,132819,614b3d6a4f76b8dfc939adf0,3,5,4696,,,,,,,,,"<img src= ""rock_img/I_Diorite_16.jpg"" style=""width:8cm; height:6.74cm;""><p>What type of rock is this?</p>",6,class_response,0,test,13,Peridotite,Diorite,16,FALSE,7,3,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,32,2.0.0,133334,614b3d6a4f76b8dfc939adf0,3,5,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,13,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,33,2.0.0,137116,614b3d6a4f76b8dfc939adf0,3,5,3777,,,,,,,,,"<img src= ""rock_img/I_Pegmatite_03.jpg"" style=""width:8cm; height:5.239999999999999cm;""><p>What type of rock is this?</p>",6,class_response,0,test,14,Peridotite,Pegmatite,3,FALSE,7,6,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,34,2.0.0,137623,614b3d6a4f76b8dfc939adf0,3,5,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,14,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,35,2.0.0,139618,614b3d6a4f76b8dfc939adf0,3,5,1991,,,,,,,,,"<img src= ""rock_img/I_Basalt_11.jpg"" style=""width:8cm; height:5.359999999999999cm;""><p>What type of rock is this?</p>",0,class_response,0,test,15,Andesite,Basalt,11,FALSE,1,2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,36,2.0.0,140132,614b3d6a4f76b8dfc939adf0,3,5,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,15,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,37,2.0.0,142204,614b3d6a4f76b8dfc939adf0,3,5,2069,,,,,,,,,"<img src= ""rock_img/I_Andesite_03.jpg"" style=""width:8cm; height:5.73cm;""><p>What type of rock is this?</p>",7,class_response,0,test,16,Pumice,Andesite,3,FALSE,8,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,38,2.0.0,142711,614b3d6a4f76b8dfc939adf0,3,5,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,16,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,39,2.0.0,144698,614b3d6a4f76b8dfc939adf0,3,5,1983,,,,,,,,,"<img src= ""rock_img/I_Diorite_11.jpg"" style=""width:8cm; height:7.11cm;""><p>What type of rock is this?</p>",5,class_response,0,test,17,Pegmatite,Diorite,11,FALSE,6,3,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,40,2.0.0,145208,614b3d6a4f76b8dfc939adf0,3,5,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,17,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,41,2.0.0,146419,614b3d6a4f76b8dfc939adf0,3,5,1208,,,,,,,,,"<img src= ""rock_img/I_Pumice_02.jpg"" style=""width:8cm; height:7.3999999999999995cm;""><p>What type of rock is this?</p>",1,class_response,0,test,18,Basalt,Pumice,2,FALSE,2,8,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,42,2.0.0,146929,614b3d6a4f76b8dfc939adf0,3,5,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,18,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,43,2.0.0,148208,614b3d6a4f76b8dfc939adf0,3,5,1277,,,,,,,,,"<img src= ""rock_img/I_Gabbro_05.jpg"" style=""width:8cm; height:6cm;""><p>What type of rock is this?</p>",2,class_response,0,test,19,Diorite,Gabbro,5,FALSE,3,4,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,44,2.0.0,148712,614b3d6a4f76b8dfc939adf0,3,5,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,19,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,45,2.0.0,151192,614b3d6a4f76b8dfc939adf0,3,5,2477,,,,,,,,,"<img src= ""rock_img/I_Pegmatite_11.jpg"" style=""width:8cm; height:8.14cm;""><p>What type of rock is this?</p>",4,class_response,0,test,20,Obsidian,Pegmatite,11,FALSE,5,6,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,46,2.0.0,151693,614b3d6a4f76b8dfc939adf0,3,5,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,20,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,47,2.0.0,153120,614b3d6a4f76b8dfc939adf0,3,5,1424,,,,,,,,,"<img src= ""rock_img/I_Diorite_12.jpg"" style=""width:8cm; height:4.88cm;""><p>What type of rock is this?</p>",6,class_response,0,test,21,Peridotite,Diorite,12,FALSE,7,3,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,48,2.0.0,153631,614b3d6a4f76b8dfc939adf0,3,5,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,21,,,,,,,,,,,,,,,,,,,,,,,
