width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_type,trial_index,plugin_version,time_elapsed,subjID,condition,stimID,rt,url,success,value,timeout,failed_images,failed_audio,failed_video,view_history,stimulus,response,trialType,cycle,phase,trial,resp,cat,token,corr,resp_num,cat_num,ref_cat_num,paired_cat_num,time_obs,ref_cat,paired_cat,ref_prob_dist,paired_prob_dist,text_Basalt,text_Gabbro,time_resp,text_Andesite,text_Obsidian,text_Diorite,text_Pegmatite,time_fb1,time_fb2,text_Peridotite
,,,,,,,,,,,html-keyboard-response,36,2.0.0,660266,5b233660648d5b0001b7de87,3,33,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,15,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,37,2.0.0,668322,5b233660648d5b0001b7de87,3,33,8048,,,,,,,,,"<img src= ""rock_img/I_Obsidian_08.jpg"" style=""width:8cm; height:7.39cm;""><p>What type of rock is this?</p>",2,class_response,0,test,16,Diorite,Obsidian,8,FALSE,3,5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,38,2.0.0,668842,5b233660648d5b0001b7de87,3,33,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,16,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,39,2.0.0,670751,5b233660648d5b0001b7de87,3,33,1904,,,,,,,,,"<img src= ""rock_img/I_Pegmatite_05.jpg"" style=""width:8cm; height:7.300000000000001cm;""><p>What type of rock is this?</p>",5,class_response,0,test,17,Pegmatite,Pegmatite,5,TRUE,6,6,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,40,2.0.0,671256,5b233660648d5b0001b7de87,3,33,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,17,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,41,2.0.0,673812,5b233660648d5b0001b7de87,3,33,2552,,,,,,,,,"<img src= ""rock_img/I_Obsidian_16.jpg"" style=""width:8cm; height:9.3cm;""><p>What type of rock is this?</p>",3,class_response,0,test,18,Gabbro,Obsidian,16,FALSE,4,5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,42,2.0.0,674320,5b233660648d5b0001b7de87,3,33,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,18,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,43,2.0.0,675669,5b233660648d5b0001b7de87,3,33,1345,,,,,,,,,"<img src= ""rock_img/I_Peridotite_07.jpg"" style=""width:8cm; height:4.83cm;""><p>What type of rock is this?</p>",7,class_response,0,test,19,Pumice,Peridotite,7,FALSE,8,7,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,44,2.0.0,676187,5b233660648d5b0001b7de87,3,33,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,19,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,45,2.0.0,679671,5b233660648d5b0001b7de87,3,33,3479,,,,,,,,,"<img src= ""rock_img/I_Gabbro_13.jpg"" style=""width:8cm; height:5.08cm;""><p>What type of rock is this?</p>",4,class_response,0,test,20,Obsidian,Gabbro,13,FALSE,5,4,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,46,2.0.0,680182,5b233660648d5b0001b7de87,3,33,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,20,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,47,2.0.0,683508,5b233660648d5b0001b7de87,3,33,3321,,,,,,,,,"<img src= ""rock_img/I_Pegmatite_03.jpg"" style=""width:8cm; height:5.239999999999999cm;""><p>What type of rock is this?</p>",5,class_response,0,test,21,Pegmatite,Pegmatite,3,TRUE,6,6,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,48,2.0.0,684012,5b233660648d5b0001b7de87,3,33,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,21,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,49,2.0.0,686374,5b233660648d5b0001b7de87,3,33,2356,,,,,,,,,"<img src= ""rock_img/I_Andesite_01.jpg"" style=""width:8cm; height:5.87cm;""><p>What type of rock is this?</p>",2,class_response,0,test,22,Diorite,Andesite,1,FALSE,3,1,,,,,,,,,,,,,,,,,
