"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","ref_cat_num","paired_cat_num","time_obs","ref_cat","paired_cat","ref_prob_dist","paired_prob_dist","text_Diorite","text_Pegmatite","time_resp","text_Andesite","text_Gabbro","text_Peridotite","time_fb1","time_fb2","text_Basalt","text_Pumice"
"","","","","","","","","","","","html-keyboard-response","16","2.0.0","110542","62e19208352cd518d7b2f085","3","48","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","5","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","17","2.0.0","115303","62e19208352cd518d7b2f085","3","48","4759","","","","","","","","","<img src= ""rock_img/I_Pegmatite_08.jpg"" style=""width:8cm; height:7.68cm;""><p>What type of rock is this?</p>","4","class_response","0","test","6","Obsidian","Pegmatite","08","false","5","6","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","18","2.0.0","115805","62e19208352cd518d7b2f085","3","48","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","6","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","19","2.0.0","128004","62e19208352cd518d7b2f085","3","48","12197","","","","","","","","","<img src= ""rock_img/I_Basalt_01.jpg"" style=""width:8cm; height:7.880000000000001cm;""><p>What type of rock is this?</p>","1","class_response","0","test","7","Basalt","Basalt","01","true","2","2","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","20","2.0.0","128506","62e19208352cd518d7b2f085","3","48","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","7","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","21","2.0.0","132258","62e19208352cd518d7b2f085","3","48","3750","","","","","","","","","<img src= ""rock_img/I_Pegmatite_13.jpg"" style=""width:8cm; height:4.95cm;""><p>What type of rock is this?</p>","2","class_response","0","test","8","Diorite","Pegmatite","13","false","3","6","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","22","2.0.0","132760","62e19208352cd518d7b2f085","3","48","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","8","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","23","2.0.0","136483","62e19208352cd518d7b2f085","3","48","3721","","","","","","","","","<img src= ""rock_img/I_Peridotite_16.jpg"" style=""width:8cm; height:6.989999999999999cm;""><p>What type of rock is this?</p>","0","class_response","0","test","9","Andesite","Peridotite","16","false","1","7","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","24","2.0.0","136984","62e19208352cd518d7b2f085","3","48","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","9","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","25","2.0.0","147283","62e19208352cd518d7b2f085","3","48","10297","","","","","","","","","<img src= ""rock_img/I_Peridotite_14.jpg"" style=""width:8cm; height:5.3cm;""><p>What type of rock is this?</p>","5","class_response","0","test","10","Pegmatite","Peridotite","14","false","6","7","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","26","2.0.0","147784","62e19208352cd518d7b2f085","3","48","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","10","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","27","2.0.0","154068","62e19208352cd518d7b2f085","3","48","6282","","","","","","","","","<img src= ""rock_img/I_Obsidian_08.jpg"" style=""width:8cm; height:7.39cm;""><p>What type of rock is this?</p>","4","class_response","0","test","11","Obsidian","Obsidian","08","true","5","5","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","28","2.0.0","154570","62e19208352cd518d7b2f085","3","48","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","11","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","29","2.0.0","160767","62e19208352cd518d7b2f085","3","48","6195","","","","","","","","","<img src= ""rock_img/I_Diorite_15.jpg"" style=""width:8cm; height:5.54cm;""><p>What type of rock is this?</p>","5","class_response","0","test","12","Pegmatite","Diorite","15","false","6","3","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","30","2.0.0","161268","62e19208352cd518d7b2f085","3","48","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","12","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","31","2.0.0","167392","62e19208352cd518d7b2f085","3","48","6123","","","","","","","","","<img src= ""rock_img/I_Diorite_09.jpg"" style=""width:8cm; height:5.27cm;""><p>What type of rock is this?</p>","3","class_response","0","test","13","Gabbro","Diorite","09","false","4","3","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","32","2.0.0","167907","62e19208352cd518d7b2f085","3","48","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","13","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","33","2.0.0","170752","62e19208352cd518d7b2f085","3","48","2843","","","","","","","","","<img src= ""rock_img/I_Obsidian_11.jpg"" style=""width:8cm; height:6.05cm;""><p>What type of rock is this?</p>","4","class_response","0","test","14","Obsidian","Obsidian","11","true","5","5","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","34","2.0.0","171254","62e19208352cd518d7b2f085","3","48","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","14","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","35","2.0.0","172695","62e19208352cd518d7b2f085","3","48","1439","","","","","","","","","<img src= ""rock_img/I_Obsidian_12.jpg"" style=""width:8cm; height:6.53cm;""><p>What type of rock is this?</p>","4","class_response","0","test","15","Obsidian","Obsidian","12","true","5","5","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","36","2.0.0","173197","62e19208352cd518d7b2f085","3","48","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","15","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","37","2.0.0","177131","62e19208352cd518d7b2f085","3","48","3932","","","","","","","","","<img src= ""rock_img/I_Basalt_14.jpg"" style=""width:8cm; height:5.82cm;""><p>What type of rock is this?</p>","6","class_response","0","test","16","Peridotite","Basalt","14","false","7","2","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","38","2.0.0","177633","62e19208352cd518d7b2f085","3","48","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","16","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","39","2.0.0","180687","62e19208352cd518d7b2f085","3","48","3052","","","","","","","","","<img src= ""rock_img/I_Andesite_09.jpg"" style=""width:8cm; height:6cm;""><p>What type of rock is this?</p>","7","class_response","0","test","17","Pumice","Andesite","09","false","8","1","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","40","2.0.0","181189","62e19208352cd518d7b2f085","3","48","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","17","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","41","2.0.0","182812","62e19208352cd518d7b2f085","3","48","1622","","","","","","","","","<img src= ""rock_img/I_Pumice_09.jpg"" style=""width:8cm; height:6.44cm;""><p>What type of rock is this?</p>","7","class_response","0","test","18","Pumice","Pumice","09","true","8","8","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","42","2.0.0","183315","62e19208352cd518d7b2f085","3","48","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","18","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","43","2.0.0","186660","62e19208352cd518d7b2f085","3","48","3341","","","","","","","","","<img src= ""rock_img/I_Diorite_12.jpg"" style=""width:8cm; height:4.88cm;""><p>What type of rock is this?</p>","5","class_response","0","test","19","Pegmatite","Diorite","12","false","6","3","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","44","2.0.0","187162","62e19208352cd518d7b2f085","3","48","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","19","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","45","2.0.0","197038","62e19208352cd518d7b2f085","3","48","9874","","","","","","","","","<img src= ""rock_img/I_Pegmatite_09.jpg"" style=""width:8cm; height:4.03cm;""><p>What type of rock is this?</p>","0","class_response","0","test","20","Andesite","Pegmatite","09","false","1","6","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","46","2.0.0","197540","62e19208352cd518d7b2f085","3","48","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","20","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","47","2.0.0","201763","62e19208352cd518d7b2f085","3","48","4221","","","","","","","","","<img src= ""rock_img/I_Andesite_02.jpg"" style=""width:8cm; height:8.5cm;""><p>What type of rock is this?</p>","7","class_response","0","test","21","Pumice","Andesite","02","false","8","1","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","48","2.0.0","202264","62e19208352cd518d7b2f085","3","48","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","21","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","49","2.0.0","204940","62e19208352cd518d7b2f085","3","48","2674","","","","","","","","","<img src= ""rock_img/I_Diorite_10.jpg"" style=""width:8cm; height:5.949999999999999cm;""><p>What type of rock is this?</p>","6","class_response","0","test","22","Peridotite","Diorite","10","false","7","3","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","50","2.0.0","205442","62e19208352cd518d7b2f085","3","48","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","22","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","51","2.0.0","210469","62e19208352cd518d7b2f085","3","48","5025","","","","","","","","","<img src= ""rock_img/I_Diorite_13.jpg"" style=""width:8cm; height:6.29cm;""><p>What type of rock is this?</p>","6","class_response","0","test","23","Peridotite","Diorite","13","false","7","3","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","52","2.0.0","210970","62e19208352cd518d7b2f085","3","48","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","23","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","53","2.0.0","213578","62e19208352cd518d7b2f085","3","48","2607","","","","","","","","","<img src= ""rock_img/I_Obsidian_06.jpg"" style=""width:8cm; height:6.8cm;""><p>What type of rock is this?</p>","4","class_response","0","test","24","Obsidian","Obsidian","06","true","5","5","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","54","2.0.0","214079","62e19208352cd518d7b2f085","3","48","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","24","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","55","2.0.0","216729","62e19208352cd518d7b2f085","3","48","2648","","","","","","","","","<img src= ""rock_img/I_Pegmatite_15.jpg"" style=""width:8cm; height:6cm;""><p>What type of rock is this?</p>","2","class_response","0","test","25","Diorite","Pegmatite","15","false","3","6","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","56","2.0.0","217230","62e19208352cd518d7b2f085","3","48","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","25","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","57","2.0.0","219833","62e19208352cd518d7b2f085","3","48","2601","","","","","","","","","<img src= ""rock_img/I_Gabbro_05.jpg"" style=""width:8cm; height:6cm;""><p>What type of rock is this?</p>","1","class_response","0","test","26","Basalt","Gabbro","05","false","2","4","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","58","2.0.0","220334","62e19208352cd518d7b2f085","3","48","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","26","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","59","2.0.0","222898","62e19208352cd518d7b2f085","3","48","2562","","","","","","","","","<img src= ""rock_img/I_Gabbro_08.jpg"" style=""width:8cm; height:5.15cm;""><p>What type of rock is this?</p>","5","class_response","0","test","27","Pegmatite","Gabbro","08","false","6","4","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","60","2.0.0","223400","62e19208352cd518d7b2f085","3","48","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","27","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","61","2.0.0","225649","62e19208352cd518d7b2f085","3","48","2247","","","","","","","","","<img src= ""rock_img/I_Pumice_05.jpg"" style=""width:8cm; height:7.25cm;""><p>What type of rock is this?</p>","7","class_response","0","test","28","Pumice","Pumice","05","true","8","8","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","62","2.0.0","226151","62e19208352cd518d7b2f085","3","48","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","28","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","63","2.0.0","228598","62e19208352cd518d7b2f085","3","48","2446","","","","","","","","","<img src= ""rock_img/I_Pumice_06.jpg"" style=""width:8cm; height:6.9399999999999995cm;""><p>What type of rock is this?</p>","7","class_response","0","test","29","Pumice","Pumice","06","true","8","8","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","64","2.0.0","229100","62e19208352cd518d7b2f085","3","48","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","29","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","65","2.0.0","236342","62e19208352cd518d7b2f085","3","48","7240","","","","","","","","","<img src= ""rock_img/I_Diorite_02.jpg"" style=""width:8cm; height:6.27cm;""><p>What type of rock is this?</p>","1","class_response","0","test","30","Basalt","Diorite","02","false","2","3","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","66","2.0.0","236843","62e19208352cd518d7b2f085","3","48","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","30","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","67","2.0.0","239044","62e19208352cd518d7b2f085","3","48","2199","","","","","","","","","<img src= ""rock_img/I_Obsidian_02.jpg"" style=""width:8cm; height:7.51cm;""><p>What type of rock is this?</p>","4","class_response","0","test","31","Obsidian","Obsidian","02","true","5","5","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","68","2.0.0","239547","62e19208352cd518d7b2f085","3","48","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","31","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","69","2.0.0","243337","62e19208352cd518d7b2f085","3","48","3789","","","","","","","","","<img src= ""rock_img/I_Andesite_03.jpg"" style=""width:8cm; height:5.73cm;""><p>What type of rock is this?</p>","0","class_response","0","test","32","Andesite","Andesite","03","true","1","1","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","70","2.0.0","243839","62e19208352cd518d7b2f085","3","48","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","32","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","71","2.0.0","249133","62e19208352cd518d7b2f085","3","48","5291","","","","","","","","","<img src= ""rock_img/I_Peridotite_05.jpg"" style=""width:8cm; height:7.1499999999999995cm;""><p>What type of rock is this?</p>","3","class_response","0","test","33","Gabbro","Peridotite","05","false","4","7","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","72","2.0.0","249635","62e19208352cd518d7b2f085","3","48","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","33","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","73","2.0.0","256439","62e19208352cd518d7b2f085","3","48","6803","","","","","","","","","<img src= ""rock_img/I_Basalt_04.jpg"" style=""width:8cm; height:7.53cm;""><p>What type of rock is this?</p>","5","class_response","0","test","34","Pegmatite","Basalt","04","false","6","2","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","74","2.0.0","256941","62e19208352cd518d7b2f085","3","48","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","34","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","75","2.0.0","258706","62e19208352cd518d7b2f085","3","48","1763","","","","","","","","","<img src= ""rock_img/I_Basalt_06.jpg"" style=""width:8cm; height:7.06cm;""><p>What type of rock is this?</p>","5","class_response","0","test","35","Pegmatite","Basalt","06","false","6","2","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","76","2.0.0","259208","62e19208352cd518d7b2f085","3","48","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","35","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","77","2.0.0","263180","62e19208352cd518d7b2f085","3","48","3971","","","","","","","","","<img src= ""rock_img/I_Pegmatite_06.jpg"" style=""width:8cm; height:5.17cm;""><p>What type of rock is this?</p>","1","class_response","0","test","36","Basalt","Pegmatite","06","false","2","6","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","78","2.0.0","263681","62e19208352cd518d7b2f085","3","48","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","36","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","79","2.0.0","265828","62e19208352cd518d7b2f085","3","48","2145","","","","","","","","","<img src= ""rock_img/I_Basalt_12.jpg"" style=""width:8cm; height:6.010000000000001cm;""><p>What type of rock is this?</p>","7","class_response","0","test","37","Pumice","Basalt","12","false","8","2","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","80","2.0.0","266330","62e19208352cd518d7b2f085","3","48","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","37","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","81","2.0.0","272443","62e19208352cd518d7b2f085","3","48","6112","","","","","","","","","<img src= ""rock_img/I_Gabbro_14.jpg"" style=""width:8cm; height:8.48cm;""><p>What type of rock is this?</p>","0","class_response","0","test","38","Andesite","Gabbro","14","false","1","4","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","82","2.0.0","272944","62e19208352cd518d7b2f085","3","48","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","38","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","83","2.0.0","279942","62e19208352cd518d7b2f085","3","48","6996","","","","","","","","","<img src= ""rock_img/I_Andesite_04.jpg"" style=""width:8cm; height:5.96cm;""><p>What type of rock is this?</p>","3","class_response","0","test","39","Gabbro","Andesite","04","false","4","1","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","84","2.0.0","280443","62e19208352cd518d7b2f085","3","48","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","39","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","85","2.0.0","285433","62e19208352cd518d7b2f085","3","48","4988","","","","","","","","","<img src= ""rock_img/I_Peridotite_06.jpg"" style=""width:8cm; height:7.53cm;""><p>What type of rock is this?</p>","2","class_response","0","test","40","Diorite","Peridotite","06","false","3","7","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","86","2.0.0","285935","62e19208352cd518d7b2f085","3","48","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","40","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","87","2.0.0","300578","62e19208352cd518d7b2f085","3","48","14641","","","","","","","","","<img src= ""rock_img/I_Basalt_11.jpg"" style=""width:8cm; height:5.359999999999999cm;""><p>What type of rock is this?</p>","7","class_response","0","test","41","Pumice","Basalt","11","false","8","2","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","88","2.0.0","301080","62e19208352cd518d7b2f085","3","48","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","41","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","89","2.0.0","309325","62e19208352cd518d7b2f085","3","48","8242","","","","","","","","","<img src= ""rock_img/I_Gabbro_03.jpg"" style=""width:8cm; height:8.52cm;""><p>What type of rock is this?</p>","1","class_response","0","test","42","Basalt","Gabbro","03","false","2","4","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","90","2.0.0","309827","62e19208352cd518d7b2f085","3","48","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","42","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","91","2.0.0","320718","62e19208352cd518d7b2f085","3","48","10890","","","","","","","","","<img src= ""rock_img/I_Peridotite_15.jpg"" style=""width:8cm; height:6cm;""><p>What type of rock is this?</p>","0","class_response","0","test","43","Andesite","Peridotite","15","false","1","7","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","92","2.0.0","321220","62e19208352cd518d7b2f085","3","48","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","43","","","","","","","","","","","","","","","","","","","","","","",""
