"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","ref_cat_num","paired_cat_num","time_obs","ref_cat","paired_cat","ref_prob_dist","paired_prob_dist","text_Obsidian","text_Pegmatite","time_resp","text_Basalt","text_Peridotite","text_Andesite","text_Diorite","time_fb1","time_fb2","text_Gabbro"
"","","","","","","","","","","","html-button-response","387","2.0.0","2240002","5c284ae48e845b0001fc40aa","3","17","3314","","","","","","","","","<img src= rock_img/I_Diorite_16.jpg style=""width:8cm; height:6.74cm;""><p style='font-size: 30px; color: red;'><strong>Incorrect!</strong></p><p style='font-size: 30px;'><strong>This rock is diorite</strong></p>","0","corr_feedback","3","train","7","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","388","2.0.0","2241052","5c284ae48e845b0001fc40aa","3","17","1049","","","","","","","","","<img src= ""rock_img/I_Basalt_08.jpg"" style=""width:8cm; height:10.44cm;""><p>What type of rock is this?</p>","1","class_response","3","train","8","Basalt","Basalt","08","true","2","2","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","389","2.0.0","2242050","5c284ae48e845b0001fc40aa","3","17","997","","","","","","","","","<img src= rock_img/I_Basalt_08.jpg style=""width:8cm; height:10.44cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is basalt</strong></p>","0","corr_feedback","3","train","8","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","390","2.0.0","2243534","5c284ae48e845b0001fc40aa","3","17","1483","","","","","","","","","<img src= ""rock_img/I_Pumice_13.jpg"" style=""width:8cm; height:8.200000000000001cm;""><p>What type of rock is this?</p>","7","class_response","3","train","9","Pumice","Pumice","13","true","8","8","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","391","2.0.0","2244465","5c284ae48e845b0001fc40aa","3","17","930","","","","","","","","","<img src= rock_img/I_Pumice_13.jpg style=""width:8cm; height:8.200000000000001cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is pumice</strong></p>","0","corr_feedback","3","train","9","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","392","2.0.0","2252978","5c284ae48e845b0001fc40aa","3","17","8512","","","","","","","","","<img src= ""rock_img/I_Gabbro_05.jpg"" style=""width:8cm; height:6cm;""><p>What type of rock is this?</p>","3","class_response","3","train","10","Gabbro","Gabbro","05","true","4","4","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","393","2.0.0","2256720","5c284ae48e845b0001fc40aa","3","17","3741","","","","","","","","","<img src= rock_img/I_Gabbro_05.jpg style=""width:8cm; height:6cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is gabbro</strong></p>","0","corr_feedback","3","train","10","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","394","2.0.0","2265653","5c284ae48e845b0001fc40aa","3","17","8932","","","","","","","","","<img src= ""rock_img/I_Pegmatite_06.jpg"" style=""width:8cm; height:5.17cm;""><p>What type of rock is this?</p>","5","class_response","3","train","11","Pegmatite","Pegmatite","06","true","6","6","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","395","2.0.0","2269425","5c284ae48e845b0001fc40aa","3","17","3771","","","","","","","","","<img src= rock_img/I_Pegmatite_06.jpg style=""width:8cm; height:5.17cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is pegmatite</strong></p>","0","corr_feedback","3","train","11","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","396","2.0.0","2270512","5c284ae48e845b0001fc40aa","3","17","1086","","","","","","","","","<img src= ""rock_img/I_Obsidian_07.jpg"" style=""width:8cm; height:4.76cm;""><p>What type of rock is this?</p>","4","class_response","3","train","12","Obsidian","Obsidian","07","true","5","5","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","397","2.0.0","2271862","5c284ae48e845b0001fc40aa","3","17","1350","","","","","","","","","<img src= rock_img/I_Obsidian_07.jpg style=""width:8cm; height:4.76cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is obsidian</strong></p>","0","corr_feedback","3","train","12","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","399","2.0.0","2273280","5c284ae48e845b0001fc40aa","3","17","1417","","","","","","","","","","0","start_train","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","400","2.0.0","2275297","5c284ae48e845b0001fc40aa","3","17","","","","","","","","","","","","cat_selection","3","train","1","","","","","","","3","4","2015.199999988079","Diorite","Gabbro","[0.1433624760011008,0.14124374675051246,0.19633426971157852,0.17647603698567657,0.028672495200220163,0.1499901401304377,0.11638108852869185,0.04753974669178188]","[0.1473192148519361,0.013276595993524959,null,0.5988728201079134,0.015840045889596182,0.017366261723673268,0.19678083631171278,0.01054422512164326]","","","","","","","","","",""
"","","","","","","","","","","","paired-cat-display","401","1.0.0","2338768","5c284ae48e845b0001fc40aa","3","17","","","","","","","","","","","","paired_cat_display","3","train","1","","","","","","","","","14774.100000023842","","","","","","","48696.799999952316","","","","Lighter grey rock with clear dots/sprinkles on it.  Contrasting colors","","","dark, dull colored rock with some additional colors; colors not as contrasting."
"","","","","","","","","","","","html-button-response","402","2.0.0","2340360","5c284ae48e845b0001fc40aa","3","17","","","","","","","","","","","","cat_selection","3","train","2","","","","","","","2","4","1589.699999988079","Basalt","Gabbro","[0.1433624760011008,0.14124374675051246,0.19633426971157852,0.17647603698567657,0.028672495200220163,0.1499901401304377,0.11638108852869185,0.04753974669178188]","[0.01535699021308862,null,0.06803268863141658,0.16660218366768217,0.015998571137546543,0.03992434908390807,0.0992615685902247,0.5948236486761334]","","","","","","","","","",""
"","","","","","","","","","","","paired-cat-display","403","1.0.0","2398415","5c284ae48e845b0001fc40aa","3","17","","","","","","","","","","","","paired_cat_display","3","train","2","","","","","","","","","7484.100000023842","","","","","","","50556.10000002384","Basalt is a dull dark color with a more smooth looking surface.","","","","","","also a dull color, often darker, but with more jagged edges.  Wide range of colors."
"","","","","","","","","","","","html-button-response","404","2.0.0","2399888","5c284ae48e845b0001fc40aa","3","17","","","","","","","","","","","","cat_selection","3","train","3","","","","","","","1","7","1471","Andesite","Peridotite","[0.1433624760011008,0.14124374675051246,0.19633426971157852,0.17647603698567657,0.028672495200220163,0.1499901401304377,0.11638108852869185,0.04753974669178188]","[null,0.2545856986439747,0.3152469267795261,0.16633708788995935,0.016016146359679306,0.06784468494456344,0.16335680939609656,0.016612645986200585]","","","","","","","","","",""
"","","","","","","","","","","","paired-cat-display","405","1.0.0","2453996","5c284ae48e845b0001fc40aa","3","17","","","","","","","","","","","","paired_cat_display","3","train","3","","","","","","","","","6537.599999964237","","","","","","","47563.799999952316","","Most examples have green as a color in the rock","clear spots/freckles and contrasting colors.  Surface appears rough","","","",""
"","","","","","","","","","","","html-button-response","407","2.0.0","2455876","5c284ae48e845b0001fc40aa","3","17","1878","","","","","","","","","","0","start_test","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","408","2.0.0","2471288","5c284ae48e845b0001fc40aa","3","17","15411","","","","","","","","","<img src= ""rock_img/I_Diorite_14.jpg"" style=""width:8cm; height:5.71cm;""><p>What type of rock is this?</p>","2","class_response","3","test","1","Diorite","Diorite","14","true","3","3","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","409","2.0.0","2471797","5c284ae48e845b0001fc40aa","3","17","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","3","test","1","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","410","2.0.0","2479831","5c284ae48e845b0001fc40aa","3","17","8034","","","","","","","","","<img src= ""rock_img/I_Andesite_14.jpg"" style=""width:8cm; height:5.449999999999999cm;""><p>What type of rock is this?</p>","0","class_response","3","test","2","Andesite","Andesite","14","true","1","1","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","411","2.0.0","2480334","5c284ae48e845b0001fc40aa","3","17","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","3","test","2","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","412","2.0.0","2507896","5c284ae48e845b0001fc40aa","3","17","27561","","","","","","","","","<img src= ""rock_img/I_Diorite_08.jpg"" style=""width:8cm; height:6.37cm;""><p>What type of rock is this?</p>","2","class_response","3","test","3","Diorite","Diorite","08","true","3","3","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","413","2.0.0","2508408","5c284ae48e845b0001fc40aa","3","17","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","3","test","3","","","","","","","","","","","","","","","","","","","","","","",""
