"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","ref_cat_num","paired_cat_num","time_obs","ref_cat","paired_cat","ref_prob_dist","paired_prob_dist","text_Andesite","text_Diorite","time_resp","text_Pegmatite","text_Peridotite","text_Gabbro","time_fb1","time_fb2","text_Basalt"
"","","","","","","","","","","","html-button-response","390","2.0.0","1720638","672ef4b87576e39bf4a023b8","3","45","3978","","","","","","","","","<img src= ""rock_img/I_Gabbro_14.jpg"" style=""width:8cm; height:8.48cm;""><p>What type of rock is this?</p>","3","class_response","3","train","9","Gabbro","Gabbro","14","true","4","4","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","391","2.0.0","1721784","672ef4b87576e39bf4a023b8","3","45","1144","","","","","","","","","<img src= rock_img/I_Gabbro_14.jpg style=""width:8cm; height:8.48cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is gabbro</strong></p>","0","corr_feedback","3","train","9","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","392","2.0.0","1727058","672ef4b87576e39bf4a023b8","3","45","5267","","","","","","","","","<img src= ""rock_img/I_Pumice_03.jpg"" style=""width:8cm; height:6.64cm;""><p>What type of rock is this?</p>","7","class_response","3","train","10","Pumice","Pumice","03","true","8","8","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","393","2.0.0","1728774","672ef4b87576e39bf4a023b8","3","45","1711","","","","","","","","","<img src= rock_img/I_Pumice_03.jpg style=""width:8cm; height:6.64cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is pumice</strong></p>","0","corr_feedback","3","train","10","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","394","2.0.0","1731187","672ef4b87576e39bf4a023b8","3","45","2411","","","","","","","","","<img src= ""rock_img/I_Pegmatite_03.jpg"" style=""width:8cm; height:5.239999999999999cm;""><p>What type of rock is this?</p>","6","class_response","3","train","11","Peridotite","Pegmatite","03","false","7","6","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","395","2.0.0","1733320","672ef4b87576e39bf4a023b8","3","45","2129","","","","","","","","","<img src= rock_img/I_Pegmatite_03.jpg style=""width:8cm; height:5.239999999999999cm;""><p style='font-size: 30px; color: red;'><strong>Incorrect!</strong></p><p style='font-size: 30px;'><strong>This rock is pegmatite</strong></p>","0","corr_feedback","3","train","11","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","396","2.0.0","1736183","672ef4b87576e39bf4a023b8","3","45","2858","","","","","","","","","<img src= ""rock_img/I_Peridotite_02.jpg"" style=""width:8cm; height:5.859999999999999cm;""><p>What type of rock is this?</p>","2","class_response","3","train","12","Diorite","Peridotite","02","false","3","7","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","397","2.0.0","1737353","672ef4b87576e39bf4a023b8","3","45","1167","","","","","","","","","<img src= rock_img/I_Peridotite_02.jpg style=""width:8cm; height:5.859999999999999cm;""><p style='font-size: 30px; color: red;'><strong>Incorrect!</strong></p><p style='font-size: 30px;'><strong>This rock is peridotite</strong></p>","0","corr_feedback","3","train","12","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","399","2.0.0","1739014","672ef4b87576e39bf4a023b8","3","45","1659","","","","","","","","","","0","start_train","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","400","2.0.0","1741479","672ef4b87576e39bf4a023b8","3","45","","","","","","","","","","","","cat_selection","3","train","1","","","","","","","6","7","2463.2999999821186","Pegmatite","Peridotite","[0.09422609709229801,0.16765897958608222,0.1559982328605621,0.1256041390053502,0.028469001216227783,0.17931972631160237,0.19903702149913444,0.04968680242874276]","[0.09739750650471453,0.01316006861000012,0.2754153697843272,0.01671005986991841,0.01531755488075854,null,0.5707040136141777,0.011295426736103646]","","","","","","","","",""
"","","","","","","","","","","","paired-cat-display","401","1.0.0","1801256","672ef4b87576e39bf4a023b8","3","45","","","","","","","","","","","","paired_cat_display","3","train","1","","","","","","","","","21876.5","","","","","","","37888.70000001788","Ong lol stop ","O ng bad ratings ","","","",""
"","","","","","","","","","","","html-button-response","402","2.0.0","1805254","672ef4b87576e39bf4a023b8","3","45","","","","","","","","","","","","cat_selection","3","train","2","","","","","","","2","4","3995.2000000178814","Basalt","Gabbro","[0.09422609709229801,0.16765897958608222,0.1559982328605621,0.1256041390053502,0.028469001216227783,0.17931972631160237,0.19903702149913444,0.04968680242874276]","[0.04325783975949584,null,0.040131839085009356,0.7738768672029572,0.015998571137546543,0.03992434908390807,0.04345986949741025,0.04335066423367273]","","","","","","","","",""
"","","","","","","","","","","","paired-cat-display","403","1.0.0","1840288","672ef4b87576e39bf4a023b8","3","45","","","","","","","","","","","","paired_cat_display","3","train","2","","","","","","","","","12662.800000011921","","","","","","","22365.40000000596","","","Good morning rant ","","","Do more like "
